model,category,n,closed_acc,distractor_acc,gap_pp
qwen2.5-7b,accident reason,100,0.19,0.42,23.0
qwen2.5-7b,accident type,100,0.54,0.42,-12.0
qwen2.5-7b,location,100,0.04,0.67,63.0
qwen2.5-7b,prevention method,100,0.42,0.55,13.0
qwen2.5-7b,road type,100,0.17,0.57,40.0
qwen2.5-7b,weather and light,100,0.49,0.6,11.0
llama3-8b,accident reason,100,0.2,0.49,29.0
llama3-8b,accident type,100,0.46,0.45,-1.0
llama3-8b,location,100,0.43,0.77,34.0
llama3-8b,prevention method,100,0.53,0.48,-5.0
llama3-8b,road type,100,0.07,0.49,42.0
llama3-8b,weather and light,100,0.15,0.49,34.0
