clip_id,c1,c2,event_class,source_split,better_view,worse_view,better_area,worse_area,area_ratio,stratum
aihub_multi_angle_cctv:Training:bl_e0122,50916.0,15146.0,경계선을 통한 침입,Training,c1,c2,50916.0,15146.0,3.361679651393107,asymmetric
aihub_multi_angle_cctv:Validation:bl_e0273,72518.0,23338.333333333332,경계선을 통한 침입,Validation,c1,c2,72518.0,23338.333333333332,3.1072484467614085,asymmetric
aihub_multi_angle_cctv:Training:ab_e0491,52437.666666666664,10744.333333333334,비정상적인 경로로의 침범,Training,c1,c2,52437.666666666664,10744.333333333334,4.880495144727453,asymmetric
aihub_multi_angle_cctv:Validation:ab_e0391,35538.333333333336,15650.666666666666,비정상적인 경로로의 침범,Validation,c1,c2,35538.333333333336,15650.666666666666,2.270723291872551,asymmetric
aihub_multi_angle_cctv:Training:ph_e2068,94283.0,22100.333333333332,신체적 충돌을 동반한 싸움,Training,c1,c2,94283.0,22100.333333333332,4.266134749098807,asymmetric
aihub_multi_angle_cctv:Validation:ph_e2069,50542.0,143945.33333333334,신체적 충돌을 동반한 싸움,Validation,c2,c1,143945.33333333334,50542.0,2.8480339783414457,asymmetric
aihub_multi_angle_cctv:Training:ms_e3504,16198.666666666666,42446.333333333336,오토바이 인도 주행,Training,c2,c1,42446.333333333336,16198.666666666666,2.6203597003868633,asymmetric
aihub_multi_angle_cctv:Validation:ms_e3492,14901.333333333334,48781.333333333336,오토바이 인도 주행,Validation,c2,c1,48781.333333333336,14901.333333333334,3.2736220472440944,asymmetric
aihub_multi_angle_cctv:Training:md_e2260,131144.0,32645.666666666668,이륜 이동수단 운전자 1인 헬멧 미착용,Training,c1,c2,131144.0,32645.666666666668,4.017194727222602,asymmetric
aihub_multi_angle_cctv:Validation:md_e2254,95788.0,36601.333333333336,이륜 이동수단 운전자 1인 헬멧 미착용,Validation,c1,c2,95788.0,36601.333333333336,2.6170631306691923,asymmetric
aihub_multi_angle_cctv:Training:mp_e2858,98341.66666666667,38103.666666666664,이륜 이동수단 탑승자 일부 또는 전체 헬멧 미착용,Training,c1,c2,98341.66666666667,38103.666666666664,2.5808977263780393,asymmetric
aihub_multi_angle_cctv:Validation:mp_e2839,104387.0,40555.333333333336,이륜 이동수단 탑승자 일부 또는 전체 헬멧 미착용,Validation,c1,c2,104387.0,40555.333333333336,2.5739401311788006,asymmetric
aihub_multi_angle_cctv:Training:bs_e4276,35870.0,4683.666666666667,자전거 인도 주행,Training,c1,c2,35870.0,4683.666666666667,7.658529642018361,asymmetric
aihub_multi_angle_cctv:Validation:bs_e4301,28517.333333333332,9922.0,자전거 인도 주행,Validation,c1,c2,28517.333333333332,9922.0,2.874151716723779,asymmetric
aihub_multi_angle_cctv:Training:st_e4731,36962.333333333336,80130.0,전동킥보드 앞뒤 2인 탑승,Training,c2,c1,80130.0,36962.333333333336,2.167882619243013,asymmetric
aihub_multi_angle_cctv:Validation:st_e4696,76898.33333333333,25460.666666666668,전동킥보드 앞뒤 2인 탑승,Validation,c1,c2,76898.33333333333,25460.666666666668,3.0202796470372597,asymmetric
aihub_multi_angle_cctv:Training:es_e4074,82569.0,18773.0,전동킥보드 인도 주행,Training,c1,c2,82569.0,18773.0,4.398284770681298,asymmetric
aihub_multi_angle_cctv:Validation:es_e4042,111517.0,24516.333333333332,전동킥보드 인도 주행,Validation,c1,c2,111517.0,24516.333333333332,4.548681831160179,asymmetric
aihub_multi_angle_cctv:Training:lo_e1264,33112.0,12033.333333333334,특정 구역 내 지속 배회,Training,c1,c2,33112.0,12033.333333333334,2.7516897506925204,asymmetric
aihub_multi_angle_cctv:Validation:lo_e1294,27100.333333333332,12115.666666666666,특정 구역 내 지속 배회,Validation,c1,c2,27100.333333333332,12115.666666666666,2.236800836382645,asymmetric
aihub_multi_angle_cctv:Training:fp_e1660,95373.0,41536.0,특정 인물을 뒤따라가며 배회,Training,c1,c2,95373.0,41536.0,2.2961527349768875,asymmetric
aihub_multi_angle_cctv:Validation:fp_e1595,102036.0,13303.0,특정 인물을 뒤따라가며 배회,Validation,c1,c2,102036.0,13303.0,7.6701495903179735,asymmetric
aihub_multi_angle_cctv:Training:bl_e0112,78284.33333333333,20050.0,경계선을 통한 침입,Training,c1,c2,78284.33333333333,20050.0,3.9044555278470487,asymmetric
