strategy,query_id,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,acctv2:night:0002,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.31746031746031744,1.0,1.0,1.0
B0_metadata_only,acctv2:night:0003,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.2698412698412698,1.0,1.0,1.0
B0_metadata_only,acctv2:night:0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,acctv2:night:0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
B0_metadata_only,acctv2:night:0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
B0_metadata_only,acctv2:night:0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0
B0_metadata_only,acctv2:night:0013,0.0,0.0,0.0,0.0,0.0,0.0,0.075,1.0,0.05555555555555555,0.0
B0_metadata_only,acctv2:night:0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0
B0_metadata_only,acctv2:night:0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0
B0_metadata_only,acctv2:night:0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
B0_metadata_only,acctv2:nofilter:0001,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.31746031746031744,1.0,1.0,1.0
B0_metadata_only,acctv2:nofilter:0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,acctv2:nofilter:0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,acctv2:nofilter:0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0
B0_metadata_only,acctv2:nofilter:0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0
B0_metadata_only,acctv2:nofilter:0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,acctv2:place_type:0007,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B0_metadata_only,acctv2:place_type:0008,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.18867924528301888,1.0,1.0,1.0
B1_bm25_only,acctv2:night:0002,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.31746031746031744,1.0,1.0,1.0
B1_bm25_only,acctv2:night:0003,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.31746031746031744,1.0,1.0,1.0
B1_bm25_only,acctv2:night:0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_bm25_only,acctv2:night:0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_bm25_only,acctv2:night:0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_bm25_only,acctv2:night:0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0
B1_bm25_only,acctv2:night:0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0
B1_bm25_only,acctv2:night:0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0
