strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,weak,22,0.001443001443001443,0.09090909090909091,0.007215007215007215,0.09090909090909091,0.01443001443001443,0.09090909090909091,0.02886002886002886,0.09090909090909091,0.09611800163847593,0.09090909090909091
B1_bm25_only,weak,22,0.11930203365023263,0.9545454545454546,0.4677222894632843,0.9545454545454546,0.6205095139915037,0.9545454545454546,0.7492834907929247,0.9545454545454546,0.9557739557739559,0.9545454545454546
B2_vector_only,weak,22,0.12002353437173335,1.0,0.47132979307078793,1.0,0.6277245212065109,1.0,0.763713505222939,1.0,1.0,1.0
B3_vector_postfilter,weak,22,0.12002353437173335,1.0,0.47132979307078793,1.0,0.6277245212065109,1.0,0.763713505222939,1.0,1.0,1.0
B4_prefilter_vector,weak,22,0.12002353437173335,1.0,0.47132979307078793,1.0,0.6277245212065109,1.0,0.763713505222939,1.0,1.0,1.0
B5_hybrid,weak,22,0.12002353437173335,1.0,0.4706082923492872,1.0,0.624838518320508,1.0,0.7572199987294326,1.0,1.0,0.9860800616598202
B0_metadata_only,medium,59,0.13926830354612224,0.559322033898305,0.5896324781825888,0.7627118644067796,0.7874985888012028,0.864406779661017,0.8453735412121124,0.8813559322033898,0.6527913778129841,0.7272267225449078
B1_bm25_only,medium,59,0.25932426140354414,1.0,0.7387117024979466,1.0,0.8616041959563455,1.0,0.9537103664850859,1.0,1.0,1.0
B2_vector_only,medium,59,0.12467266065024847,0.6440677966101694,0.4577447742229427,0.8983050847457628,0.6824964393790239,0.9661016949152542,0.8632927361103531,0.9830508474576272,0.7430418577793527,0.714480636523312
B3_vector_postfilter,medium,59,0.25932426140354414,1.0,0.7387117024979466,1.0,0.8616041959563455,1.0,0.9537103664850859,1.0,1.0,1.0
B4_prefilter_vector,medium,59,0.25932426140354414,1.0,0.7387117024979466,1.0,0.8616041959563455,1.0,0.9537103664850859,1.0,1.0,1.0
B5_hybrid,medium,59,0.25932426140354414,1.0,0.7387117024979466,1.0,0.8616041959563455,1.0,0.9537103664850859,1.0,1.0,1.0
B0_metadata_only,strong,52,0.23548035831689676,0.7884615384615384,0.8194266784623119,0.9807692307692307,0.9664803051398074,1.0,1.0,1.0,0.8740384615384615,0.9230255132690549
B1_bm25_only,strong,52,0.2607568791816529,0.8653846153846154,0.8073100369339057,0.9807692307692307,0.9399405866883241,1.0,1.0,1.0,0.9088369963369964,0.9168833135959864
B2_vector_only,strong,52,0.12368422960900335,0.5,0.42226488475074453,0.75,0.6391217803689523,0.8846153846153846,0.8516730237459875,0.9615384615384616,0.6091336548067317,0.5602404442327751
B3_vector_postfilter,strong,52,0.3157782467030205,1.0,0.8641476437715127,1.0,0.9676115268592645,1.0,1.0,1.0,1.0,1.0
B4_prefilter_vector,strong,52,0.3157782467030205,1.0,0.8641476437715127,1.0,0.9676115268592645,1.0,1.0,1.0,1.0,1.0
B5_hybrid,strong,52,0.3157782467030205,1.0,0.8641476437715127,1.0,0.9676115268592645,1.0,1.0,1.0,1.0,1.0
B0_metadata_only,all,133,0.15408687649207425,0.5714285714285714,0.5831370951243843,0.7368421052631579,0.7296003979248216,0.7894736842105263,0.7707666132814682,0.7969924812030075,0.6472126866692672,0.6985240851138377
B1_bm25_only,all,133,0.2367228111320314,0.9398496240601504,0.7207067874897308,0.9849624060150376,0.8523516344137619,0.9924812030075187,0.9379935971433414,0.9924812030075187,0.9570417356131642,0.9599844534360248
B2_vector_only,all,133,0.12351717800158624,0.6466165413533834,0.4461200837124035,0.8571428571428571,0.6564779095420389,0.9398496240601504,0.842277938197044,0.9774436090225563,0.7331911252551266,0.7014049673306745
B3_vector_postfilter,all,133,0.2583542707334158,1.0,0.7435257396319913,1.0,0.8643638077041306,1.0,0.9403805168234941,1.0,1.0,1.0
B4_prefilter_vector,all,133,0.2583542707334158,1.0,0.7435257396319913,1.0,0.8643638077041306,1.0,0.9403805168234941,1.0,1.0,1.0
B5_hybrid,all,133,0.2583542707334158,1.0,0.7434063936479837,1.0,0.8638864237681001,1.0,0.9393064029674254,1.0,1.0,0.9976974538083915
