strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,nofilter,15,0.00033840947546531303,0.06666666666666667,0.01750259460725521,0.2,0.018298139555544785,0.2,0.020068529937931342,0.2,0.10222222222222221,0.06870490643219958
B1_bm25_only,nofilter,15,0.004073743681236991,0.13333333333333333,0.02086923438782555,0.4,0.05309431201694862,0.6,0.0837172044495335,0.6666666666666666,0.25734168234168237,0.12017467308139526
B2_vector_only,nofilter,15,0.014649519337561572,0.3333333333333333,0.05183293339160924,0.4666666666666667,0.08298809447100848,0.5333333333333333,0.1405545689732423,0.6666666666666666,0.4102338445983126,0.23368141798542197
B3_vector_postfilter,nofilter,15,0.014649519337561572,0.3333333333333333,0.05183293339160924,0.4666666666666667,0.08298809447100848,0.5333333333333333,0.1405545689732423,0.6666666666666666,0.4102338445983126,0.23368141798542197
B4_prefilter_vector,nofilter,15,0.014649519337561572,0.3333333333333333,0.05183293339160924,0.4666666666666667,0.08298809447100848,0.5333333333333333,0.1405545689732423,0.6666666666666666,0.4102338445983126,0.23368141798542197
B5_hybrid,nofilter,15,0.0020833333333333333,0.06666666666666667,0.03794049653418577,0.4666666666666667,0.0744005772798297,0.6,0.12053043588227713,0.6,0.23341476357780702,0.18677456144066926
B0_metadata_only,weather_light,25,0.009976538734896944,0.2,0.0539171855010661,0.32,0.07637104352188637,0.44,0.15163170230228776,0.52,0.26197491397491396,0.1886625123751583
B1_bm25_only,weather_light,25,0.004681305013394565,0.16,0.024285861179930306,0.36,0.05526174443645873,0.48,0.09030750064673182,0.52,0.2828776022208034,0.11851104730433203
B2_vector_only,weather_light,25,0.022477813696494486,0.32,0.05806808362557038,0.52,0.08199809823062644,0.64,0.13026361281456947,0.72,0.41531422825540476,0.18726194216062914
B3_vector_postfilter,weather_light,25,0.028727813696494485,0.4,0.10577342353443513,0.68,0.171973264555863,0.76,0.2630718958369744,0.84,0.5177245263696877,0.3368241404055422
