query_id,intent,difficulty,cluster
522vis:low:0001,parked_vehicle,time_of_day,parked_vehicle|time_of_day
522vis:low:0002,parked_vehicle,time_of_day,parked_vehicle|time_of_day
522vis:low:0003,crowded_scene,time_of_day,crowded_scene|time_of_day
522vis:low:0004,crowded_scene,time_of_day,crowded_scene|time_of_day
522vis:low:0005,crowded_scene,time_of_day,crowded_scene|time_of_day
522vis:low:0006,buses,time_of_day,buses|time_of_day
522vis:low:0007,buses,time_of_day,buses|time_of_day
522vis:low:0008,buses,time_of_day,buses|time_of_day
522vis:contrast:0009,stopped_vehicle,time_of_day,stopped_vehicle|time_of_day
522vis:contrast:0010,stopped_vehicle,time_of_day,stopped_vehicle|time_of_day
522vis:low:0011,two_wheeler,time_of_day,two_wheeler|time_of_day
522vis:low:0012,two_wheeler,time_of_day,two_wheeler|time_of_day
522vis:low:0013,two_wheeler,time_of_day,two_wheeler|time_of_day
522vis:low:0014,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0015,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0016,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0017,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0018,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0019,parked_vehicle,hour,parked_vehicle|hour
522vis:low:0020,crowded_scene,hour,crowded_scene|hour
522vis:low:0021,crowded_scene,hour,crowded_scene|hour
522vis:low:0022,crowded_scene,hour,crowded_scene|hour
522vis:low:0023,crowded_scene,hour,crowded_scene|hour
522vis:low:0024,crowded_scene,hour,crowded_scene|hour
522vis:low:0025,buses,hour,buses|hour
522vis:low:0026,buses,hour,buses|hour
522vis:low:0027,buses,hour,buses|hour
522vis:low:0028,buses,hour,buses|hour
522vis:low:0029,buses,hour,buses|hour
522vis:low:0030,buses,hour,buses|hour
522vis:low:0031,buses,hour,buses|hour
522vis:low:0032,buses,hour,buses|hour
522vis:low:0033,buses,hour,buses|hour
522vis:low:0034,buses,hour,buses|hour
522vis:contrast:0035,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0036,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0037,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0038,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0039,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0040,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0041,stopped_vehicle,hour,stopped_vehicle|hour
522vis:contrast:0042,stopped_vehicle,hour,stopped_vehicle|hour
522vis:low:0043,two_wheeler,hour,two_wheeler|hour
522vis:low:0044,two_wheeler,hour,two_wheeler|hour
522vis:low:0045,two_wheeler,hour,two_wheeler|hour
522vis:low:0046,two_wheeler,hour,two_wheeler|hour
522vis:low:0047,two_wheeler,hour,two_wheeler|hour
522vis:low:0048,two_wheeler,hour,two_wheeler|hour
