query_id,difficulty,relevance_def,stratum,normal_stratum,degenerate,phi_value_level,V_field_level,positive_count,positive_count_semantic,distinct_videos,filter_value,containment,outside_positives
uca:video_class:0001,video_class,falls,label_stratum,False,False,0.0473,0.1609,9,90,7,Abuse,0.1,81
uca:video_class:0002,video_class,fight,label_stratum,False,False,0.1142,0.3653,36,297,23,Abuse,0.121,261
uca:video_class:0003,video_class,running,label_stratum,False,False,0.0229,0.2079,15,307,12,Abuse,0.049,292
uca:video_class:0004,video_class,door,label_stratum,False,False,0.0205,0.1869,29,703,16,Abuse,0.041,674
uca:video_class:0005,video_class,take,label_stratum,False,False,0.0341,0.1381,22,409,17,Abuse,0.054,387
uca:video_class:0006,video_class,falls,label_stratum,False,False,0.0246,0.1609,6,90,6,Arrest,0.067,84
uca:video_class:0007,video_class,fight,label_stratum,False,False,0.0008,0.3653,9,297,9,Arrest,0.03,288
uca:video_class:0008,video_class,weapon,label_stratum,False,False,0.0157,0.3271,7,143,6,Arrest,0.049,136
uca:video_class:0009,video_class,running,label_stratum,False,False,0.0147,0.2079,6,307,6,Arrest,0.02,301
uca:video_class:0010,video_class,door,label_stratum,False,False,0.0036,0.1869,23,703,17,Arrest,0.033,680
uca:video_class:0011,video_class,take,label_stratum,False,False,0.0024,0.1381,12,409,11,Arrest,0.029,397
uca:video_class:0012,video_class,fire,label_stratum,False,False,0.4464,0.5712,72,137,44,Arson,0.526,65
uca:video_class:0013,video_class,running,label_stratum,False,False,0.0508,0.2079,20,307,17,Arson,0.065,287
uca:video_class:0014,video_class,door,label_stratum,False,False,0.0861,0.1869,48,703,24,Arson,0.068,655
uca:video_class:0015,video_class,enterexit,label_stratum,False,False,0.0046,0.1251,8,326,7,Arson,0.025,318
uca:video_class:0016,video_class,falls,label_stratum,False,False,0.0759,0.1609,11,90,10,Assault,0.122,79
uca:video_class:0017,video_class,fight,label_stratum,False,False,0.2205,0.3653,53,297,36,Assault,0.178,244
uca:video_class:0018,video_class,running,label_stratum,False,False,0.0643,0.2079,21,307,17,Assault,0.068,286
uca:video_class:0019,video_class,door,label_stratum,False,False,0.0066,0.1869,15,703,11,Assault,0.021,688
uca:video_class:0020,video_class,enterexit,label_stratum,False,False,0.0004,0.1251,8,326,7,Assault,0.025,318
uca:video_class:0021,video_class,fight,label_stratum,False,False,0.0253,0.3653,10,297,10,Burglary,0.034,287
uca:video_class:0022,video_class,weapon,label_stratum,False,False,0.0055,0.3271,10,143,5,Burglary,0.07,133
uca:video_class:0023,video_class,running,label_stratum,False,False,0.0249,0.2079,27,307,20,Burglary,0.088,280
uca:video_class:0024,video_class,money,label_stratum,False,False,0.0623,0.1451,20,117,13,Burglary,0.171,97
uca:video_class:0025,video_class,door,label_stratum,False,False,0.0955,0.1869,89,703,53,Burglary,0.127,614
uca:video_class:0026,video_class,take,label_stratum,False,False,0.0078,0.1381,28,409,23,Burglary,0.068,381
uca:video_class:0027,video_class,enterexit,label_stratum,False,False,0.0799,0.1251,47,326,39,Burglary,0.144,279
uca:video_class:0028,video_class,fight,label_stratum,False,False,0.0078,0.3653,5,297,5,Explosion,0.017,292
