predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
time_of_day==morning,natural,0.25724,36999,42.5,postfilter_hnsw_K2x,0.668,0.609,0.7265,0.0507,0.0497,0.0523,0.0751,0.0714,0.0838,78.0,False,,,
time_of_day==morning,natural,0.25724,36999,42.5,postfilter_hnsw_K4x,0.814,0.7635,0.8615,0.0649,0.0633,0.0663,0.093,0.0859,0.1013,156.0,False,,,
time_of_day==morning,natural,0.25724,36999,42.5,prefilter_flat,1.0,1.0,1.0,3.6234,3.6138,3.6295,3.7496,3.7156,3.7847,,,0.027,,
time_of_day==morning,natural,0.25724,36999,42.5,single_stage_ivf_batch_np8,0.9415,0.911,0.9675,0.0812,0.0779,0.0833,0.1052,0.1018,0.1095,,,,1.89,
time_of_day==morning,natural,0.25724,36999,42.5,single_stage_ivf_batch_np32,0.9945,0.9895,0.9985,0.1653,0.156,0.1744,0.2836,0.2516,0.2975,,,,1.89,
time_of_day==morning,natural,0.25724,36999,42.5,single_stage_ivf_bitmap_np32,0.9945,0.9895,0.9985,0.1497,0.1376,0.1561,0.2221,0.2071,0.258,,,,17.74,
time_of_day==morning,natural,0.25724,36999,42.5,postfilter_hnsw_K1x,0.4955,0.4325,0.556,0.0463,0.0451,0.0478,0.0713,0.066,0.0787,39.0,False,,,
time_of_day==morning,natural,0.25724,36999,42.5,prefilter_hnsw_ef64,0.998,0.994,1.0,0.0393,0.0379,0.0407,0.0608,0.0555,0.0652,,,9.496,,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,single_stage_ivf_batch_np8,0.997,0.994,0.9995,0.0825,0.0814,0.0838,0.1007,0.0962,0.1044,,,,2.22,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.1855,0.1806,0.1906,0.2485,0.2334,0.2561,,,,2.22,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.1648,0.1633,0.1682,0.224,0.2027,0.239,,,,17.05,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,postfilter_hnsw_K1x,0.8975,0.8775,0.9165,0.045,0.0442,0.0465,0.0695,0.0639,0.0781,39.0,False,,,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0503,0.049,0.0517,0.0746,0.0697,0.0837,78.0,False,,,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,prefilter_flat,1.0,1.0,1.0,3.6677,3.6535,3.6913,4.115,3.9403,4.2765,,,0.029,,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0421,0.0401,0.0437,0.0633,0.0611,0.066,,,10.371,,
CTRL(s=0.2572)|time_of_day==morning,control,0.25724,36999,20.9,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0641,0.0625,0.0661,0.091,0.0847,0.1001,156.0,False,,,
time_of_day==afternoon,natural,0.34762,49998,42.0,prefilter_flat,1.0,1.0,1.0,4.9447,4.9195,4.9633,5.2398,5.1766,5.3707,,,0.037,,
time_of_day==afternoon,natural,0.34762,49998,42.0,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0426,0.0409,0.0438,0.066,0.0614,0.0705,,,13.593,,
time_of_day==afternoon,natural,0.34762,49998,42.0,postfilter_hnsw_K2x,0.6195,0.5605,0.675,0.0475,0.0465,0.0489,0.0752,0.0668,0.0808,58.0,False,,,
time_of_day==afternoon,natural,0.34762,49998,42.0,postfilter_hnsw_K1x,0.475,0.414,0.5375,0.0455,0.0443,0.0465,0.0679,0.0631,0.0766,29.0,False,,,
time_of_day==afternoon,natural,0.34762,49998,42.0,single_stage_ivf_batch_np8,0.985,0.975,0.993,0.0921,0.0869,0.0946,0.1178,0.114,0.1237,,,,2.5,
time_of_day==afternoon,natural,0.34762,49998,42.0,single_stage_ivf_batch_np32,0.9985,0.9965,1.0,0.2166,0.1993,0.2325,0.3289,0.3088,0.3499,,,,2.5,
time_of_day==afternoon,natural,0.34762,49998,42.0,single_stage_ivf_bitmap_np32,0.9985,0.9965,1.0,0.1993,0.1847,0.2099,0.2757,0.2585,0.326,,,,23.26,
time_of_day==afternoon,natural,0.34762,49998,42.0,postfilter_hnsw_K4x,0.791,0.742,0.8375,0.0581,0.0568,0.0601,0.0871,0.0812,0.0899,116.0,False,,,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0412,0.0396,0.0438,0.0645,0.0589,0.069,,,14.593,,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,postfilter_hnsw_K1x,0.916,0.8975,0.934,0.0444,0.0431,0.0454,0.0676,0.061,0.0747,29.0,False,,,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,single_stage_ivf_batch_np8,0.9965,0.991,1.0,0.0892,0.0878,0.0911,0.1096,0.1024,0.1153,,,,3.11,
CTRL(s=0.3476)|time_of_day==afternoon,control,0.34762,49998,14.9,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.2226,0.2167,0.2284,0.3053,0.2939,0.3168,,,,3.11,
