fold,family,predicate,relevance_def,train_cramers_v,eligible_queries,total_queries,mean_delta_b4_b2
0,hour::dense_frame,hour,dense_frame,0.08645657429057436,5,5,0.16026394146034714
0,hour::multiple_buses,hour,multiple_buses,0.041443620235172646,10,10,-0.018201146794830807
0,hour::parked_vehicle,hour,parked_vehicle,0.11803671150820338,6,6,0.0607907097885241
0,hour::stopped_vehicles,hour,stopped_vehicles,0.44625238800789074,7,8,0.16726402409972715
0,hour::two_plus_bikes,hour,two_plus_bikes,0.21378822745432088,10,11,-0.08151941032763484
0,sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.05945619563656732,2,2,-0.011961620533273626
0,sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.08807952819860257,2,2,-0.08052129391196994
0,sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.026485056074182625,2,2,0.0
0,sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.05420139864582228,2,2,0.0029938333749613966
0,sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.0,2,2,0.017639494789053717
0,sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.07409609567950641,1,1,0.06362078819895173
0,sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.07788416144393887,2,2,-0.056611440815714176
0,sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.0,2,2,0.03668196104968003
0,sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,2,2,-0.07533027218065147
0,sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.07897969831579585,2,2,0.047166993722098184
0,time_of_day::dense_frame,time_of_day,dense_frame,0.050673091459737835,3,3,0.17929301705320647
0,time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,3,3,-0.09845077563939016
0,time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.09643642462914606,2,2,0.042571558820810505
0,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.3944716251464135,2,2,0.11028252408446101
0,time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.21394784560242647,3,3,-0.08533254682974999
0,veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.15016719291062144,1,1,0.0
0,veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.2037321362611157,3,3,-0.19512652941872524
0,veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.02019652984143027,3,3,0.008300921835806363
0,veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,3,3,0.008300921835806377
0,veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.13783464390734967,3,3,-0.029540480292949783
1,hour::dense_frame,hour,dense_frame,0.10266594267339148,0,5,
1,hour::multiple_buses,hour,multiple_buses,0.062311117803719056,10,10,-0.04629349245765894
1,hour::parked_vehicle,hour,parked_vehicle,0.13397721829017867,6,6,-0.07313943622267706
1,hour::stopped_vehicles,hour,stopped_vehicles,0.44272088039600016,8,8,-0.037447687830475807
1,hour::two_plus_bikes,hour,two_plus_bikes,0.19343756541055462,11,11,0.16220131679249183
1,sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.058956124808910416,0,2,
1,sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.07971392567224767,2,2,-0.014267070457580876
1,sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.031046880177109198,2,2,0.042571558820810505
1,sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.0960709415613228,2,2,0.006361257096191869
1,sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.055346562465659076,2,2,0.0
