dose,scoring,replicates,mean_ndcg_at_10,assignment_sd,assignment_percentile_2_5,assignment_percentile_97_5,min,max
0.0,semantic,1,0.050068014870119415,0.0,0.050068014870119415,0.050068014870119415,0.050068014870119415,0.050068014870119415
0.0,strict,1,0.016455267986256964,0.0,0.016455267986256964,0.016455267986256964,0.016455267986256964,0.016455267986256964
0.25,semantic,200,0.812706894868827,0.026367746468797852,0.7511792436751255,0.8581678357579146,0.725207219358479,0.8719170204406494
0.25,strict,200,0.2422152684674599,0.008053003920835822,0.2268997891993291,0.2559585584873318,0.21734229787063575,0.26766001004582823
0.5,semantic,200,0.8043261898651641,0.020455440139281196,0.764749697603003,0.8382077711649796,0.7443801319332439,0.8494919391108838
0.5,strict,200,0.24400235854112853,0.006642780392982964,0.23123134663817257,0.2561776916498314,0.2231905626734625,0.262065033925741
0.75,semantic,200,0.7747907380479659,0.01625680106457934,0.7443608133450784,0.8061677346694509,0.7384681773206822,0.8130019919289656
0.75,strict,200,0.23976437931987946,0.005095216020625178,0.2300316047015663,0.24904958195926472,0.22593895174149395,0.25318278295069563
1.0,semantic,1,0.7457943953099498,0.0,0.7457943953099498,0.7457943953099498,0.7457943953099498,0.7457943953099498
1.0,strict,1,0.234924136055632,0.0,0.234924136055632,0.234924136055632,0.234924136055632,0.234924136055632
