dataset,model,label,n,prevalence,predicted_rate,precision,recall,specificity,balanced_accuracy,tp,tn,fp,fn
522,qwen25vl_7b,parked_vehicle,3000,0.023,0.113,0.02064896755162242,0.10144927536231885,0.8867280791538724,0.49408867725809563,7,2599,332,62
522,qwen25vl_7b,stopped_vehicle,3000,0.212,0.19133333333333333,0.2804878048780488,0.2531446540880503,0.8252961082910322,0.5392203811895413,161,1951,413,475
522,qwen25vl_7b,bus_present,3000,0.42633333333333334,0.6256666666666667,0.5082578582844965,0.7458952306489445,0.46368390470656595,0.6047895676777553,954,798,923,325
522,qwen25vl_7b,multiple_buses,3000,0.08233333333333333,0.2843333333333333,0.17116060961313012,0.5910931174089069,0.7431892480929895,0.6671411827509481,146,2046,707,101
522,qwen25vl_7b,two_plus_bikes,3000,0.115,0.017666666666666667,0.3018867924528302,0.0463768115942029,0.9860640301318268,0.5162204208630148,16,2618,37,329
522,qwen25vl_7b,dense_frame,3000,0.023333333333333334,0.09933333333333333,0.15771812080536912,0.6714285714285714,0.9143344709897611,0.7928815212091662,47,2679,251,23
522,qwen3vl_8b,parked_vehicle,3000,0.023,0.28833333333333333,0.017341040462427744,0.21739130434782608,0.7099965881951552,0.46369394627149063,15,2081,850,54
522,qwen3vl_8b,stopped_vehicle,3000,0.212,0.534,0.21223470661672908,0.5345911949685535,0.46615905245346867,0.500375123711011,340,1102,1262,296
522,qwen3vl_8b,bus_present,3000,0.42633333333333334,0.5006666666666667,0.5585885486018641,0.6559812353401094,0.6147588611272516,0.6353700482336806,839,1058,663,440
522,qwen3vl_8b,multiple_buses,3000,0.08233333333333333,0.24866666666666667,0.17292225201072386,0.5222672064777328,0.77588085724664,0.6490740318621864,129,2136,617,118
522,qwen3vl_8b,two_plus_bikes,3000,0.115,0.051333333333333335,0.23376623376623376,0.10434782608695652,0.9555555555555556,0.529951690821256,36,2537,118,309
522,qwen3vl_8b,dense_frame,3000,0.023333333333333334,0.292,0.07876712328767123,0.9857142857142858,0.7245733788395905,0.8551438322769381,69,2123,807,1
522,qwen35_9b,parked_vehicle,3000,0.023,0.187,0.0213903743315508,0.17391304347826086,0.812691914022518,0.4933024787503894,12,2382,549,57
522,qwen35_9b,stopped_vehicle,3000,0.212,0.448,0.22247023809523808,0.470125786163522,0.5579526226734348,0.5140392044184784,299,1319,1045,337
522,qwen35_9b,bus_present,3000,0.42633333333333334,0.4766666666666667,0.5636363636363636,0.6301798279906177,0.6374201045903545,0.6337999662904861,806,1097,624,473
522,qwen35_9b,multiple_buses,3000,0.08233333333333333,0.175,0.2361904761904762,0.5020242914979757,0.8543407192154013,0.6781825053566886,124,2352,401,123
522,qwen35_9b,two_plus_bikes,3000,0.115,0.017,0.27450980392156865,0.04057971014492753,0.9860640301318268,0.5133218701383772,14,2618,37,331
522,qwen35_9b,dense_frame,3000,0.023333333333333334,0.04633333333333333,0.2158273381294964,0.42857142857142855,0.9627986348122867,0.6956850316918576,30,2821,109,40
uca,qwen25vl_7b,falls,6432,0.013992537313432836,0.0010883084577114428,0.14285714285714285,0.011111111111111112,0.9990539262062441,0.5050825186586776,1,6336,6,89
uca,qwen25vl_7b,fight,6432,0.04617537313432836,0.0009328358208955224,0.0,0.0,0.9990220048899755,0.49951100244498775,0,6129,6,297
uca,qwen25vl_7b,fire,6432,0.021299751243781095,0.026896766169154228,0.26011560693641617,0.3284671532846715,0.9796664019062749,0.6540667775954732,45,6167,128,92
uca,qwen25vl_7b,weapon,6432,0.022232587064676616,0.0009328358208955224,0.3333333333333333,0.013986013986013986,0.9993639688344729,0.5066749914102434,2,6285,4,141
uca,qwen25vl_7b,running,6432,0.047730099502487564,0.016480099502487564,0.11320754716981132,0.03908794788273615,0.9846530612244898,0.5118705045536129,12,6031,94,295
uca,qwen25vl_7b,crash,6432,0.011194029850746268,0.014769900497512438,0.09473684210526316,0.125,0.9864779874213836,0.5557389937106918,9,6274,86,63
uca,qwen25vl_7b,money,6432,0.018190298507462687,0.054104477611940295,0.14655172413793102,0.4358974358974359,0.9529691211401425,0.6944332785187892,51,6018,297,66
uca,qwen25vl_7b,door,6432,0.10929726368159204,0.0914179104477612,0.2976190476190476,0.24893314366998578,0.9279106301274219,0.5884218868987039,175,5316,413,528
