engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w1,time_of_day==morning,natural,time_of_day==morning,0.25724,36999,42.5,1.0,1.0,1.0,13.268,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.2572)|time_of_day==morning,control,time_of_day==morning,0.25724,36999,20.4,0.9995,0.9985,1.0,14.784,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,time_of_day==afternoon,natural,time_of_day==afternoon,0.34762,49998,42.0,0.9955,0.9915,0.9985,6.165,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.3476)|time_of_day==afternoon,control,time_of_day==afternoon,0.34762,49998,15.1,0.9895,0.9845,0.994,5.953,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,time_of_day==evening,natural,time_of_day==evening,0.29478,42398,621.8,0.951,0.927,0.9725,5.952,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.2948)|time_of_day==evening,control,time_of_day==evening,0.29478,42398,17.6,0.9865,0.981,0.991,5.915,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,sig_has_yellow==True,natural,sig_has_yellow==True,0.62846,90392,8.1,0.9995,0.9985,1.0,3.03,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.6285)|sig_has_yellow==True,control,sig_has_yellow==True,0.62846,90392,8.5,0.9995,0.9985,1.0,3.078,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,sig_has_pedestrian==True,natural,sig_has_pedestrian==True,0.39096,56232,15.3,0.984,0.9755,0.991,3.319,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.3910)|sig_has_pedestrian==True,control,sig_has_pedestrian==True,0.39096,56232,13.0,0.9855,0.979,0.991,3.299,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,sig_has_yellow==False,natural,sig_has_yellow==False,0.27117,39003,23.6,1.0,1.0,1.0,13.686,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.2712)|sig_has_yellow==False,control,sig_has_yellow==False,0.27117,39003,19.9,1.0,1.0,1.0,14.796,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,sig_has_pedestrian==False,natural,sig_has_pedestrian==False,0.50868,73163,9.3,1.0,1.0,1.0,3.705,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.5087)|sig_has_pedestrian==False,control,sig_has_pedestrian==False,0.50868,73163,10.2,0.9995,0.9985,1.0,3.585,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,veh_density_bin==low,natural,veh_density_bin==low,0.29764,42810,34.2,0.952,0.932,0.969,3.746,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.2976)|veh_density_bin==low,control,veh_density_bin==low,0.29764,42810,18.5,0.9885,0.983,0.9935,3.497,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,veh_density_bin==mid,natural,veh_density_bin==mid,0.27268,39220,30.9,1.0,1.0,1.0,13.532,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.2727)|veh_density_bin==mid,control,veh_density_bin==mid,0.27268,39220,19.6,1.0,1.0,1.0,14.292,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,veh_density_bin==high,natural,veh_density_bin==high,0.32931,47365,58.1,0.941,0.9145,0.9645,3.53,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.3293)|veh_density_bin==high,control,veh_density_bin==high,0.32931,47365,16.4,0.986,0.977,0.993,3.397,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,hour==6,natural,hour==6,0.06983,10043,188.9,1.0,1.0,1.0,5.873,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0698)|hour==6,control,hour==6,0.06983,10043,77.1,1.0,1.0,1.0,6.795,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==7,natural,hour==7,0.07033,10115,107.6,1.0,1.0,1.0,5.61,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0703)|hour==7,control,hour==7,0.07033,10115,74.7,1.0,1.0,1.0,6.579,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==8,natural,hour==8,0.07039,10124,104.8,1.0,1.0,1.0,5.804,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0704)|hour==8,control,hour==8,0.07039,10124,75.2,1.0,1.0,1.0,6.804,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==9,natural,hour==9,0.0467,6717,162.6,1.0,1.0,1.0,5.079,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0467)|hour==9,control,hour==9,0.0467,6717,120.6,1.0,1.0,1.0,5.878,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==13,natural,hour==13,0.02319,3336,278.2,1.0,1.0,1.0,4.116,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0232)|hour==13,control,hour==13,0.02319,3336,230.3,1.0,1.0,1.0,4.607,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==14,natural,hour==14,0.11434,16446,104.7,1.0,1.0,1.0,7.289,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.1143)|hour==14,control,hour==14,0.11434,16446,46.0,1.0,1.0,1.0,8.197,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==15,natural,hour==15,0.11256,16190,117.7,1.0,1.0,1.0,7.379,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.1126)|hour==15,control,hour==15,0.11256,16190,47.2,1.0,1.0,1.0,8.482,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==16,natural,hour==16,0.01943,2794,311.7,1.0,1.0,1.0,3.974,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0194)|hour==16,control,hour==16,0.01943,2794,263.7,1.0,1.0,1.0,4.142,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==17,natural,hour==17,0.07809,11232,121.6,1.0,1.0,1.0,6.066,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0781)|hour==17,control,hour==17,0.07809,11232,67.9,1.0,1.0,1.0,6.945,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==18,natural,hour==18,0.10885,15656,715.0,1.0,1.0,1.0,7.416,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.1089)|hour==18,control,hour==18,0.10885,15656,47.6,1.0,1.0,1.0,8.218,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==19,natural,hour==19,0.11023,15854,689.5,1.0,1.0,1.0,7.278,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.1102)|hour==19,control,hour==19,0.11023,15854,48.7,1.0,1.0,1.0,8.256,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,hour==20,natural,hour==20,0.0757,10888,748.3,1.0,1.0,1.0,6.285,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,CTRL(s=0.0757)|hour==20,control,hour==20,0.0757,10888,69.1,1.0,1.0,1.0,7.126,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,"hour in [11,14] (midday)",composite,"hour in [11,14] (midday)",0.13754,19782,95.5,1.0,1.0,1.0,8.216,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,"CTRL(s=0.1375)|hour in [11,14] (midday)",control,"hour in [11,14] (midday)",0.13754,19782,39.4,1.0,1.0,1.0,9.189,40000,True,VectorFilterStrategy.ACORN
weaviate,w1,"hour in [8,18] (working)",composite,"hour in [8,18] (working)",0.57356,82495,8.6,1.0,1.0,1.0,3.206,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,"CTRL(s=0.5736)|hour in [8,18] (working)",control,"hour in [8,18] (working)",0.57356,82495,9.1,0.9995,0.9985,1.0,3.531,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,"time_of_day in {morning,evening}",composite,"time_of_day in {morning,evening}",0.55202,79397,8.2,0.9995,0.9985,1.0,3.753,40000,False,VectorFilterStrategy.ACORN
weaviate,w1,"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,"time_of_day in {morning,evening}",0.55202,79397,9.6,1.0,1.0,1.0,3.656,40000,False,VectorFilterStrategy.ACORN
