query_id,difficulty,positive_count,p2_minus_b2__recall_at_10,p2_minus_b2__recall_at_20,p2_minus_b2__mrr,p2_minus_b2__ndcg_at_10,p2_minus_b2__hit_at_10,p2_minus_b2__latency_ms,p4_minus_b4__recall_at_10,p4_minus_b4__recall_at_20,p4_minus_b4__mrr,p4_minus_b4__ndcg_at_10,p4_minus_b4__hit_at_10,p4_minus_b4__latency_ms
vru:medium:0040,medium,269,0.0,0.0,0.0,0.0,0.0,-96.94424690678716,0.0,0.0,0.0,0.0,0.0,-69.68669407069683
vru:medium:0041,medium,148,0.0,0.0,0.0,0.0,0.0,-92.88398222997785,0.0,0.0,0.0,0.0,0.0,-54.82805427163839
vru:medium:0042,medium,101,0.0,0.0,0.0,0.0,0.0,-93.96424889564514,0.0,0.0,0.0,0.0,0.0,-21.479495335370302
vru:medium:0043,medium,61,0.0,0.0,0.0,0.0,0.0,-95.53539101034403,0.0,0.0,0.0,0.0,0.0,-21.91445278003812
vru:medium:0044,medium,44,0.0,0.0,0.0,0.0,0.0,-97.85553580150008,0.0,0.0,0.0,0.0,0.0,-11.481843888759613
vru:medium:0045,medium,35,0.0,0.0,0.0,0.0,0.0,-97.06266736611724,0.0,0.0,0.0,0.0,0.0,-55.720215663313866
vru:medium:0046,medium,31,0.0,0.0,0.0,0.0,0.0,-99.09787261858582,0.0,0.0,0.0,0.0,0.0,-56.23869597911835
vru:medium:0047,medium,28,0.0,0.0,0.0,0.0,0.0,-99.36561528593302,0.0,0.0,0.0,0.0,0.0,-22.717799991369247
vru:medium:0048,medium,24,0.0,0.0,0.0,0.0,0.0,-99.36755476519465,0.0,0.0,0.0,0.0,0.0,-57.22717475146055
vru:medium:0049,medium,21,0.0,0.0,0.0,0.0,0.0,-99.2998881265521,0.0,0.0,0.0,0.0,0.0,-11.736508924514055
vru:medium:0050,medium,21,0.0,0.0,0.0,0.0,0.0,-100.02085287123919,0.0,0.0,0.0,0.0,0.0,-12.287253979593515
vru:medium:0051,medium,18,0.05555555555555555,-0.05555555555555555,0.25,0.11004588314904008,1.0,-100.26986850425601,0.0,0.0,0.0,0.0,0.0,-11.905187740921974
vru:medium:0052,medium,15,0.0,0.13333333333333336,-0.19047619047619047,-0.03668196104968002,0.0,-99.12669192999601,0.0,0.0,0.0,0.0,0.0,-21.62341959774494
vru:medium:0053,medium,14,0.07142857142857142,0.0,0.6666666666666667,0.1670197098575248,0.0,-100.00106040388346,0.0,0.0,0.0,0.0,0.0,-55.481708608567715
vru:medium:0054,medium,13,0.0,0.0,0.0,0.0,0.0,-101.4226721599698,0.0,0.0,0.0,0.0,0.0,-55.17733143642545
vru:medium:0055,medium,8,0.0,0.0,0.0,0.0,0.0,-101.21418302878737,0.0,0.0,0.0,0.0,0.0,-55.54978875443339
vru:medium:0056,medium,7,0.0,0.0,0.0,0.0,0.0,-101.04693891480565,0.0,0.0,0.0,0.0,0.0,-2.2691497579216957
vru:medium:0057,medium,7,0.0,-0.14285714285714285,-0.03571428571428571,0.0,0.0,-99.31861702352762,0.0,0.0,0.0,0.0,0.0,-1.1364761739969254
vru:medium:0058,medium,6,0.0,0.0,0.0,0.0,0.0,-99.43583700805902,0.0,0.0,0.0,0.0,0.0,-12.18718895688653
vru:medium:0059,medium,6,0.0,0.0,0.0,0.0,0.0,-100.53510405123234,0.0,0.0,0.0,0.0,0.0,-22.226892411708832
vru:medium:0060,medium,6,0.0,0.0,0.0,0.0,0.0,-101.56450467184186,0.0,0.0,0.0,0.0,0.0,-12.49784417450428
