comparison,metric,mean_diff,mean_abs_diff,max_abs_diff
P2 pgvector vector vs B2 vector,recall_at_10,-0.005379906672725366,0.012913093587488008,0.5
P2 pgvector vector vs B2 vector,recall_at_20,-0.008867426140181217,0.016400603345489567,0.6666666666666667
P2 pgvector vector vs B2 vector,mrr,0.010349447563750568,0.027553394863455784,0.9230769230769231
P2 pgvector vector vs B2 vector,ndcg_at_10,-0.0002662966385032854,0.016474896242636636,0.6058107827699378
P2 pgvector vector vs B2 vector,hit_at_10,-0.012295081967213115,0.028688524590163935,1.0
P2 pgvector vector vs B2 vector,latency_ms,-97.98678985155631,97.98678985155631,132.03408801928163
P4 pgvector prefilter vs B4 prefilter,recall_at_10,0.0,0.0,0.0
P4 pgvector prefilter vs B4 prefilter,recall_at_20,0.0,0.0,0.0
P4 pgvector prefilter vs B4 prefilter,mrr,0.0,0.0,0.0
P4 pgvector prefilter vs B4 prefilter,ndcg_at_10,0.0,0.0,0.0
P4 pgvector prefilter vs B4 prefilter,hit_at_10,0.0,0.0,0.0
P4 pgvector prefilter vs B4 prefilter,latency_ms,-39.203680754013234,39.30056249707571,126.15831103175879
