model_id,difficulty,strategy_label,queries,recall_at_10,recall_at_20,mrr,ndcg_at_10
bge-m3,medium,B0 Metadata,119,0.1481925088384219,0.2161293631142438,0.2028676505254463,0.1697621912932775
bge-m3,medium,B1 BM25,119,0.4527639674202063,0.5831484597581779,0.4901697332515889,0.4630925769156935
bge-m3,medium,B2 Vector,119,0.4551510519946912,0.5691423037047946,0.5239641028798455,0.4851702107232948
bge-m3,medium,B3 Postfilter,119,0.7494315691440702,0.8326051809891617,0.9668963173504695,0.965045475219018
bge-m3,medium,B4 Prefilter,119,0.7662382918331458,0.8539130223075071,0.9752996786950074,0.9794865934949843
bge-m3,medium,B5 Hybrid,119,0.7534861480557296,0.8508449819788376,0.9643086289774376,0.9561314497085917
bge-m3,strong,B0 Metadata,86,0.397713010810498,0.5098068745757538,0.3664521210575913,0.3403091397502879
bge-m3,strong,B1 BM25,86,0.2723403856562629,0.4104693735624229,0.2585353687577405,0.2051741551080983
bge-m3,strong,B2 Vector,86,0.2412701323301677,0.3893136296600853,0.2536363456253644,0.1850692889804548
bge-m3,strong,B3 Postfilter,86,0.8242881809408514,0.8720556383431957,0.9748062015503876,0.9432287865386718
bge-m3,strong,B4 Prefilter,86,0.8823372765480866,0.9486447856300172,0.9864341085271318,0.9935041604963364
bge-m3,strong,B5 Hybrid,86,0.878746305275857,0.9420989337415132,0.994186046511628,0.98719325210706
bge-m3,weak,B0 Metadata,39,0.0102476225261117,0.0176033485787593,0.0896861120999052,0.0468138294606257
bge-m3,weak,B1 BM25,39,0.5191228786003931,0.7154455287953599,0.931965811965812,0.9466058907880752
bge-m3,weak,B2 Vector,39,0.4895286120244104,0.6771954735635887,0.9002479901265326,0.9117901658308676
bge-m3,weak,B3 Postfilter,39,0.4895286120244104,0.6771954735635887,0.9002479901265326,0.9117901658308676
bge-m3,weak,B4 Prefilter,39,0.4895286120244104,0.6771954735635887,0.9002479901265326,0.9117901658308676
bge-m3,weak,B5 Hybrid,39,0.498095045590844,0.7100159863841015,0.9505681246857716,0.944015133198759
e5-large-v2,medium,B0 Metadata,119,0.1481925088384219,0.2161293631142438,0.2028676505254463,0.1697621912932775
e5-large-v2,medium,B1 BM25,119,0.4527639674202063,0.5831484597581779,0.4901697332515889,0.4630925769156935
e5-large-v2,medium,B2 Vector,119,0.3764076955649348,0.5462472974306617,0.3613177114579292,0.3436804250069674
e5-large-v2,medium,B3 Postfilter,119,0.6794268809536389,0.7908624052220408,0.738350460931631,0.7615216261733136
e5-large-v2,medium,B4 Prefilter,119,0.7004352843149835,0.8120372117783268,0.7467538222761688,0.7778999351199826
e5-large-v2,medium,B5 Hybrid,119,0.7306554418337934,0.830300493082862,0.9027678626309458,0.900745157732102
e5-large-v2,strong,B0 Metadata,86,0.397713010810498,0.5098068745757538,0.3664521210575913,0.3403091397502879
e5-large-v2,strong,B1 BM25,86,0.2723403856562629,0.4104693735624229,0.2585353687577405,0.2051741551080983
e5-large-v2,strong,B2 Vector,86,0.2070496205897575,0.320382447832808,0.1877009806386755,0.1536889702309132
e5-large-v2,strong,B3 Postfilter,86,0.7316193048927028,0.7755608838111656,0.8586378737541528,0.832196606196558
e5-large-v2,strong,B4 Prefilter,86,0.8376335167790075,0.9124270488818452,0.9063607419712072,0.9231206929432024
e5-large-v2,strong,B5 Hybrid,86,0.8627390567104689,0.9344233994011072,0.9649547803617572,0.9581871723020162
e5-large-v2,weak,B0 Metadata,39,0.0102476225261117,0.0176033485787593,0.0896861120999052,0.0468138294606257
e5-large-v2,weak,B1 BM25,39,0.5191228786003931,0.7154455287953599,0.931965811965812,0.9466058907880752
e5-large-v2,weak,B2 Vector,39,0.4837972936587175,0.6773350179264908,0.7331576003062841,0.7906471168938635
e5-large-v2,weak,B3 Postfilter,39,0.4837972936587175,0.6773350179264908,0.7331576003062841,0.7906471168938635
e5-large-v2,weak,B4 Prefilter,39,0.4837972936587175,0.6773350179264908,0.7331576003062841,0.7906471168938635
e5-large-v2,weak,B5 Hybrid,39,0.4919132478704758,0.7125827751269003,0.9174358974358976,0.9129205808085236
