dataset,encoder,difficulty,queries,m2_r10,m4_r10,delta_r10,m2_ndcg10,m4_ndcg10,delta_ndcg10
VRU,CLIP ViT-B/32,weak,39,0.0265795391552233,0.0265795391552233,0.0,0.0897333346886533,0.0897333346886533,0.0
VRU,CLIP ViT-B/32,medium,119,0.0473932054334423,0.16749073366827,0.1200975282348277,0.0872648541538135,0.1940868021972247,0.1068219480434112
VRU,CLIP ViT-B/32,strong,86,0.0970761223814538,0.4561533800872312,0.3590772577057774,0.0891547555072853,0.3864212982693988,0.2972665427621135
VRU,CLIP ViT-B/32,all,244,0.0615776229444195,0.2467097951683595,0.18513217222394002,0.0883255191425731,0.2451973818258013,0.15687186268322822
VRU,SigLIP base p16-224,weak,39,0.0099144683934833,0.0099144683934833,0.0,0.0508729480669129,0.0508729480669129,0.0
VRU,SigLIP base p16-224,medium,119,0.0208862592005424,0.1846741960475001,0.1637879368469577,0.0371034494314782,0.1865957506334508,0.1494923012019726
VRU,SigLIP base p16-224,strong,86,0.0071249948877449,0.4329342248854729,0.425809229997728,0.0110205014008082,0.3510583617294848,0.3400378603286766
VRU,SigLIP base p16-224,all,244,0.0142822896416248,0.244242774332578,0.22996048469095318,0.0301111417107583,0.2228686820029752,0.1927575402922169
AI Hub CCTV,CLIP ViT-B/32,weak,22,0.1288698489427477,0.1288698489427477,0.0,0.2333481806750404,0.2333481806750404,0.0
AI Hub CCTV,CLIP ViT-B/32,medium,59,0.0594823603722992,0.7963099528276081,0.7368275924553089,0.1043496752296884,0.7646580340401079,0.6603083588104195
AI Hub CCTV,CLIP ViT-B/32,strong,52,0.1336805555555555,0.9664803051398074,0.832799749584252,0.1233375186519153,0.9358306746975266,0.8124931560456112
AI Hub CCTV,CLIP ViT-B/32,all,133,0.0999698107337969,0.7524390959461603,0.6524692852123635,0.1331115923556549,0.7436968350938995,0.6105852427382445
AI Hub CCTV,SigLIP base p16-224,weak,22,0.0175610614847321,0.0175610614847321,0.0,0.0631992645896941,0.0631992645896941,0.0
AI Hub CCTV,SigLIP base p16-224,medium,59,0.040588077038725,0.788242786414313,0.747654709375588,0.0598991471449555,0.7188552787292634,0.6589561315843079
AI Hub CCTV,SigLIP base p16-224,strong,52,0.0176597488107669,0.9664803051398074,0.9488205563290405,0.020993181756075,0.908618328784964,0.887625147028889
AI Hub CCTV,SigLIP base p16-224,all,133,0.0278146378654794,0.7304484482584855,0.7026338103930061,0.0452336763446733,0.6845939726527664,0.6393602963080931
