dataset,budget,frames_per_clip,task,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10
VRU,K=1 seq2,1,text-to-video M4,,,0.2581399642524348,0.3416801737617845,0.2499032872655811
VRU,"K=2 seq1,2",2,text-to-video M4,,,0.2553871235625062,0.327406661269912,0.2505426782304322
VRU,K=4 all,4,text-to-video M4,,,0.2467097951683595,0.3152847176096577,0.2451973818258013
VRU,"K=2 seq1,2",2,image-to-video IM1,0.637,0.886,0.921,0.7540574575161699,0.793830249485009
VRU,K=4 all,4,image-to-video IM1,0.755,0.966,0.98,0.8566700571624492,0.8874971932348847
AI Hub CCTV,K=1 seq2,1,text-to-video M4,,,0.755476113517676,0.762819063952412,0.7446351284681759
AI Hub CCTV,"K=2 seq1,2",2,text-to-video M4,,,0.7524987556893925,0.7408323109085122,0.7359322298288449
AI Hub CCTV,K=4 all,4,text-to-video M4,,,0.7524390959461603,0.7616045166546267,0.7436968350938995
AI Hub CCTV,"K=2 seq1,2",2,image-to-video IM1,0.8141263940520446,0.9553903345724908,0.9888475836431226,0.8782284371241909,0.904797798257454
AI Hub CCTV,K=4 all,4,image-to-video IM1,0.8810408921933085,0.9851301115241636,1.0,0.9258246297279754,0.9441803538857668
