predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
location==BC2000801,natural,0.08644,11455,1000.0,prefilter_hnsw_ef64,0.9593,0.9523,0.966,0.0393,0.0382,0.0401,0.0532,0.0513,0.0553,0.0601,1.844,,,,
location==BC2000801,natural,0.08644,11455,1000.0,single_stage_ivf_batch_np8,0.128,0.1079,0.149,0.0619,0.0618,0.0623,0.1403,0.1303,0.1478,0.1637,,0.73,,,
location==BC2000801,natural,0.08644,11455,1000.0,single_stage_ivf_batch_np32,0.1959,0.1724,0.2211,0.0713,0.071,0.0716,0.4397,0.3976,0.467,0.5629,,0.73,,,
location==BC2000801,natural,0.08644,11455,1000.0,single_stage_ivf_batch_np128,0.587,0.5579,0.615,0.1314,0.1265,0.1446,1.1512,1.0549,1.1813,1.2792,,0.73,True,,
location==BC2000801,natural,0.08644,11455,1000.0,prefilter_flat,1.0,1.0,1.0,1.0346,1.029,1.0376,1.1192,1.113,1.1517,1.1996,0.008,,,,
location==BC2000801,natural,0.08644,11455,1000.0,postfilter_hnsw_K4x,0.1337,0.1138,0.1541,0.095,0.0928,0.0976,0.1281,0.1246,0.1322,0.1439,,,,464.0,False
location==BC2000801,natural,0.08644,11455,1000.0,postfilter_hnsw_K1x,0.1218,0.102,0.142,0.0556,0.0547,0.057,0.0726,0.0712,0.075,0.0832,,,,116.0,False
location==BC2000801,natural,0.08644,11455,1000.0,postfilter_hnsw_K2x,0.126,0.1059,0.1465,0.0747,0.0735,0.0757,0.096,0.0933,0.0997,0.1085,,,,232.0,False
CTRL(s=0.0864)|location==BC2000801,control,0.08644,11455,59.8,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.033,0.0321,0.0342,0.0476,0.0466,0.0487,0.0506,1.964,,,,
CTRL(s=0.0864)|location==BC2000801,control,0.08644,11455,59.8,single_stage_ivf_batch_np8,0.9807,0.9769,0.9844,0.068,0.0677,0.0683,0.0756,0.0743,0.0769,0.081,,0.88,,,
CTRL(s=0.0864)|location==BC2000801,control,0.08644,11455,59.8,single_stage_ivf_batch_np32,0.999,0.9983,0.9996,0.1056,0.105,0.1061,0.1209,0.118,0.1275,0.1365,,0.88,,,
