index,params,recall_at_10,p50_ms,p95_ms,build_s,index_mb
exact_seqscan,,1.0,218.167,221.122,0.0,0.0
b3_hnsw_m16,"{""ef"": 16}",0.9872,0.258,0.364,49.0,333.5
b3_hnsw_m16,"{""ef"": 64}",0.9954,0.402,0.552,49.0,333.5
b3_hnsw_m16,"{""ef"": 256}",0.9964,0.778,1.13,49.0,333.5
b3_hnsw_m32,"{""ef"": 16}",0.995,0.348,0.438,88.1,333.5
b3_hnsw_m32,"{""ef"": 64}",0.997,0.484,0.641,88.1,333.5
b3_hnsw_m32,"{""ef"": 256}",0.9981,0.976,1.567,88.1,333.5
b3_ivf_l364,"{""probes"": 1}",0.8771,0.43,0.797,9.7,347.0
b3_ivf_l364,"{""probes"": 8}",0.9955,1.886,3.09,9.7,347.0
b3_ivf_l364,"{""probes"": 32}",0.9979,6.724,10.905,9.7,347.0
b3_ivf_l1024,"{""probes"": 1}",0.7939,0.385,0.511,29.5,350.5
b3_ivf_l1024,"{""probes"": 8}",0.9965,0.935,1.586,29.5,350.5
b3_ivf_l1024,"{""probes"": 32}",0.9983,2.763,4.726,29.5,350.5
