engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path
milvus,m1,location==BC2000801,natural,location==BC2000801,0.08644,11455,1000.0,0.9658,0.9608,0.9706,4.054,,False
milvus,m1,CTRL(s=0.0864)|location==BC2000801,control,location==BC2000801,0.08644,11455,61.0,0.998,0.9971,0.9988,2.024,,False
milvus,m1,location==중동사거리,natural,location==중동사거리,0.04851,6429,1000.0,0.999,0.9983,0.9996,3.548,,False
milvus,m1,CTRL(s=0.0485)|location==중동사거리,control,location==중동사거리,0.04851,6429,109.0,1.0,1.0,1.0,3.478,,False
milvus,m1,location==원골네거리,natural,location==원골네거리,0.04678,6199,1000.0,0.9999,0.9997,1.0,3.414,,False
milvus,m1,CTRL(s=0.0468)|location==원골네거리,control,location==원골네거리,0.04678,6199,111.9,1.0,1.0,1.0,3.495,,False
milvus,m1,location==연구단지네거리,natural,location==연구단지네거리,0.04417,5853,1000.0,0.9994,0.9989,0.9998,2.989,,False
milvus,m1,CTRL(s=0.0442)|location==연구단지네거리,control,location==연구단지네거리,0.04417,5853,117.2,0.9999,0.9997,1.0,3.461,,False
milvus,m1,location==삼정고가교,natural,location==삼정고가교,0.04187,5548,1000.0,1.0,1.0,1.0,2.552,,False
milvus,m1,CTRL(s=0.0419)|location==삼정고가교,control,location==삼정고가교,0.04187,5548,123.8,0.9998,0.9995,1.0,3.445,,False
milvus,m1,location==계룡대교네거리,natural,location==계룡대교네거리,0.03898,5166,1000.0,0.9997,0.9993,1.0,2.504,,False
milvus,m1,CTRL(s=0.0390)|location==계룡대교네거리,control,location==계룡대교네거리,0.03898,5166,130.5,1.0,1.0,1.0,3.891,,False
milvus,m1,date==20200907,natural,date==20200907,0.0769,10191,1000.0,0.9858,0.9834,0.9881,4.04,,False
milvus,m1,CTRL(s=0.0769)|date==20200907,control,date==20200907,0.0769,10191,68.5,0.9984,0.9976,0.9991,2.702,,False
milvus,m1,date==20200908,natural,date==20200908,0.06477,8583,1000.0,0.9995,0.999,0.9999,3.169,,False
milvus,m1,CTRL(s=0.0648)|date==20200908,control,date==20200908,0.06477,8583,81.7,1.0,1.0,1.0,4.396,,False
milvus,m1,date==20200909,natural,date==20200909,0.06105,8090,1000.0,0.9991,0.9985,0.9996,2.948,,False
milvus,m1,CTRL(s=0.0610)|date==20200909,control,date==20200909,0.06105,8090,85.4,0.9999,0.9997,1.0,3.975,,False
milvus,m1,date==20200915,natural,date==20200915,0.04934,6538,1000.0,0.999,0.9984,0.9996,2.742,,False
milvus,m1,CTRL(s=0.0493)|date==20200915,control,date==20200915,0.04934,6538,109.7,1.0,1.0,1.0,3.674,,False
milvus,m1,hour==01,natural,hour==01,0.02637,3494,1000.0,0.9986,0.9978,0.9993,2.497,,False
milvus,m1,CTRL(s=0.0264)|hour==01,control,hour==01,0.02637,3494,197.6,1.0,1.0,1.0,3.358,,False
milvus,m1,hour==02,natural,hour==02,0.06573,8711,1000.0,0.9988,0.9981,0.9994,3.106,,False
milvus,m1,CTRL(s=0.0657)|hour==02,control,hour==02,0.06573,8711,75.0,0.9999,0.9997,1.0,4.121,,False
milvus,m1,hour==05,natural,hour==05,0.05311,7038,1000.0,0.9987,0.998,0.9994,2.821,,False
milvus,m1,CTRL(s=0.0531)|hour==05,control,hour==05,0.05311,7038,95.5,1.0,1.0,1.0,4.175,,False
milvus,m1,hour==06,natural,hour==06,0.18291,24239,233.0,0.9936,0.9906,0.9959,2.196,,False
milvus,m1,CTRL(s=0.1829)|hour==06,control,hour==06,0.18291,24239,28.2,0.9976,0.9964,0.9986,2.105,,False
milvus,m1,hour==07,natural,hour==07,0.0474,6281,1000.0,0.9996,0.9992,0.9999,3.483,,False
milvus,m1,CTRL(s=0.0474)|hour==07,control,hour==07,0.0474,6281,110.8,1.0,1.0,1.0,3.67,,False
milvus,m1,hour==08,natural,hour==08,0.02978,3947,1000.0,0.9995,0.999,0.9999,2.709,,False
milvus,m1,CTRL(s=0.0298)|hour==08,control,hour==08,0.02978,3947,170.1,0.9999,0.9997,1.0,2.808,,False
milvus,m1,hour==11,natural,hour==11,0.05464,7241,1000.0,0.9995,0.999,0.9999,2.791,,False
milvus,m1,CTRL(s=0.0546)|hour==11,control,hour==11,0.05464,7241,96.1,1.0,1.0,1.0,3.741,,False
milvus,m1,hour==12,natural,hour==12,0.15815,20958,175.4,0.9852,0.9817,0.9883,2.108,,False
milvus,m1,CTRL(s=0.1581)|hour==12,control,hour==12,0.15815,20958,32.0,0.9981,0.9972,0.9989,2.104,,False
milvus,m1,hour==13,natural,hour==13,0.04921,6522,1000.0,0.9999,0.9997,1.0,3.047,,False
milvus,m1,CTRL(s=0.0492)|hour==13,control,hour==13,0.04921,6522,105.9,1.0,1.0,1.0,3.602,,False
milvus,m1,hour==14,natural,hour==14,0.0449,5950,1000.0,0.9998,0.9995,1.0,3.266,,False
milvus,m1,CTRL(s=0.0449)|hour==14,control,hour==14,0.0449,5950,116.5,0.9999,0.9997,1.0,3.497,,False
milvus,m1,hour==16,natural,hour==16,0.03445,4565,1000.0,0.9994,0.9989,0.9998,3.337,,False
milvus,m1,CTRL(s=0.0344)|hour==16,control,hour==16,0.03445,4565,148.7,1.0,1.0,1.0,3.152,,False
milvus,m1,hour==17,natural,hour==17,0.12603,16702,218.4,0.9917,0.9893,0.9938,2.334,,False
