engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path
milvus,m1,time_of_day==morning,natural,time_of_day==morning,0.25724,36999,42.5,0.9995,0.9985,1.0,1.996,,False
milvus,m1,CTRL(s=0.2572)|time_of_day==morning,control,time_of_day==morning,0.25724,36999,20.4,0.9975,0.995,0.9995,2.985,,False
milvus,m1,time_of_day==afternoon,natural,time_of_day==afternoon,0.34762,49998,42.0,0.999,0.9975,1.0,2.011,,False
milvus,m1,CTRL(s=0.3476)|time_of_day==afternoon,control,time_of_day==afternoon,0.34762,49998,15.1,0.999,0.9975,1.0,1.932,,False
milvus,m1,time_of_day==evening,natural,time_of_day==evening,0.29478,42398,621.8,0.994,0.9905,0.997,2.734,,False
milvus,m1,CTRL(s=0.2948)|time_of_day==evening,control,time_of_day==evening,0.29478,42398,17.6,0.9985,0.9965,1.0,2.335,,False
milvus,m1,sig_has_yellow==True,natural,sig_has_yellow==True,0.62846,90392,8.1,0.998,0.996,0.9995,1.836,,False
milvus,m1,CTRL(s=0.6285)|sig_has_yellow==True,control,sig_has_yellow==True,0.62846,90392,8.5,0.9975,0.995,0.9995,1.973,,False
milvus,m1,sig_has_pedestrian==True,natural,sig_has_pedestrian==True,0.39096,56232,15.3,0.999,0.9975,1.0,2.756,,False
milvus,m1,CTRL(s=0.3910)|sig_has_pedestrian==True,control,sig_has_pedestrian==True,0.39096,56232,13.0,0.9985,0.9965,1.0,2.111,,False
milvus,m1,sig_has_yellow==False,natural,sig_has_yellow==False,0.27117,39003,23.6,0.997,0.9945,0.999,2.252,,False
milvus,m1,CTRL(s=0.2712)|sig_has_yellow==False,control,sig_has_yellow==False,0.27117,39003,19.9,0.9995,0.9985,1.0,2.659,,False
milvus,m1,sig_has_pedestrian==False,natural,sig_has_pedestrian==False,0.50868,73163,9.3,0.999,0.9975,1.0,1.82,,False
milvus,m1,CTRL(s=0.5087)|sig_has_pedestrian==False,control,sig_has_pedestrian==False,0.50868,73163,10.2,0.9985,0.9965,1.0,1.811,,False
milvus,m1,veh_density_bin==low,natural,veh_density_bin==low,0.29764,42810,34.2,0.996,0.993,0.9985,2.971,,False
milvus,m1,CTRL(s=0.2976)|veh_density_bin==low,control,veh_density_bin==low,0.29764,42810,18.5,0.9985,0.9965,1.0,2.01,,False
milvus,m1,veh_density_bin==mid,natural,veh_density_bin==mid,0.27268,39220,30.9,0.9955,0.9915,0.9985,2.099,,False
milvus,m1,CTRL(s=0.2727)|veh_density_bin==mid,control,veh_density_bin==mid,0.27268,39220,19.6,0.998,0.996,0.9995,1.994,,False
milvus,m1,veh_density_bin==high,natural,veh_density_bin==high,0.32931,47365,58.1,0.998,0.996,0.9995,3.964,,False
