query_id,family,predicate,relevance_def,strategy,scoring,ndcg_at_10_task_aware,ndcg_at_10_task_neutral,mrr_task_aware,mrr_task_neutral,recall_at_20_task_aware,recall_at_20_task_neutral,ndcg_at_10_neutral_minus_aware,mrr_neutral_minus_aware,recall_at_20_neutral_minus_aware
522vis:contrast:0009,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B2_vector_only,semantic,0.14465249243306438,0.08514311764162101,0.16666666666666666,0.2,0.0110062893081761,0.0031446540880503146,-0.05950937479144337,0.033333333333333354,-0.007861635220125784
522vis:contrast:0009,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B2_vector_only,strict,0.06625422345438904,0.08514311764162101,0.1111111111111111,0.2,0.005025125628140704,0.002512562814070352,0.01888889418723197,0.0888888888888889,-0.002512562814070352
522vis:contrast:0009,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B4_prefilter_vector,semantic,0.4085359184257956,0.5875502863571092,1.0,1.0,0.015723270440251572,0.015723270440251572,0.17901436793131353,0.0,0.0
522vis:contrast:0009,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B4_prefilter_vector,strict,0.4085359184257956,0.5875502863571092,1.0,1.0,0.02512562814070352,0.02512562814070352,0.17901436793131353,0.0,0.0
522vis:contrast:0010,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B2_vector_only,semantic,0.17630010660342915,0.06625422345438904,0.3333333333333333,0.1111111111111111,0.006289308176100629,0.0031446540880503146,-0.11004588314904011,-0.2222222222222222,-0.0031446540880503146
522vis:contrast:0010,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B2_vector_only,strict,0.1100458831490401,0.0,0.3333333333333333,0.05263157894736842,0.012605042016806723,0.004201680672268907,-0.1100458831490401,-0.2807017543859649,-0.008403361344537816
522vis:contrast:0010,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B4_prefilter_vector,semantic,0.6242322474067891,0.3101713436465379,1.0,0.25,0.01729559748427673,0.0110062893081761,-0.31406090376025114,-0.75,-0.006289308176100629
522vis:contrast:0010,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,B4_prefilter_vector,strict,0.6242322474067891,0.3101713436465379,1.0,0.25,0.046218487394957986,0.029411764705882353,-0.31406090376025114,-0.75,-0.016806722689075633
522vis:contrast:0035,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.4381081808305046,0.3301376494471203,1.0,1.0,0.009433962264150943,0.006289308176100629,-0.1079705313833843,0.0,-0.0031446540880503138
522vis:contrast:0035,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.2863459897524693,0.0,1.0,0.07692307692307693,0.016129032258064516,0.008064516129032258,-0.2863459897524693,-0.9230769230769231,-0.008064516129032258
522vis:contrast:0035,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.6870165078530993,0.5326208815196266,1.0,1.0,0.015723270440251572,0.012578616352201259,-0.1543956263334727,0.0,-0.0031446540880503138
522vis:contrast:0035,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.6870165078530993,0.5326208815196266,1.0,1.0,0.08064516129032258,0.06451612903225806,-0.1543956263334727,0.0,-0.016129032258064516
522vis:contrast:0036,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.37576775259321094,0.3398414932237255,0.5,0.3333333333333333,0.009433962264150943,0.0110062893081761,-0.03592625936948546,-0.16666666666666669,0.0015723270440251569
522vis:contrast:0036,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.0,0.14465249243306438,0.02127659574468085,0.16666666666666666,0.0,0.015748031496062992,0.14465249243306438,0.1453900709219858,0.015748031496062992
522vis:contrast:0036,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.5847192329112589,0.7034066032439749,0.5,1.0,0.015723270440251572,0.020440251572327043,0.11868737033271592,0.5,0.004716981132075471
522vis:contrast:0036,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.5847192329112589,0.7034066032439749,0.5,1.0,0.07874015748031496,0.10236220472440945,0.11868737033271592,0.5,0.023622047244094488
522vis:contrast:0037,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.4034826666009929,0.18844415212771543,0.5,0.3333333333333333,0.007861635220125786,0.009433962264150943,-0.2150385144732775,-0.16666666666666669,0.0015723270440251569
522vis:contrast:0037,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.06943122193677728,0.0,0.125,0.09090909090909091,0.011235955056179775,0.033707865168539325,-0.06943122193677728,-0.03409090909090909,0.02247191011235955
522vis:contrast:0037,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.6621137423456802,0.8482378089219648,1.0,1.0,0.01729559748427673,0.0220125786163522,0.18612406657628455,0.0,0.004716981132075471
522vis:contrast:0037,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.6621137423456802,0.8482378089219648,1.0,1.0,0.12359550561797752,0.15730337078651685,0.18612406657628455,0.0,0.033707865168539325
522vis:contrast:0038,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.5473983622993503,0.45953262310069537,1.0,1.0,0.0110062893081761,0.007861635220125786,-0.08786573919865498,0.0,-0.0031446540880503138
522vis:contrast:0038,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.2200917662980802,0.07839826897867534,1.0,0.16666666666666666,0.017094017094017096,0.008547008547008548,-0.14169349731940484,-0.8333333333333334,-0.008547008547008548
522vis:contrast:0038,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.7819835854675756,0.4479321408033599,1.0,1.0,0.01729559748427673,0.014150943396226415,-0.3340514446642157,0.0,-0.0031446540880503138
522vis:contrast:0038,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.7819835854675756,0.4479321408033599,1.0,1.0,0.09401709401709402,0.07692307692307693,-0.3340514446642157,0.0,-0.01709401709401709
522vis:contrast:0039,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.2297956100746854,0.08514311764162101,0.2,0.2,0.007861635220125786,0.006289308176100629,-0.14465249243306438,0.0,-0.0015723270440251569
522vis:contrast:0039,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.0,0.0,0.019230769230769232,0.027777777777777776,0.0,0.0,0.0,0.008547008547008544,0.0
522vis:contrast:0039,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.14782949091545264,0.2122263659729146,0.16666666666666666,0.5,0.006289308176100629,0.007861635220125786,0.06439687505746197,0.33333333333333337,0.0015723270440251569
522vis:contrast:0039,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.14782949091545264,0.2122263659729146,0.16666666666666666,0.5,0.057971014492753624,0.07246376811594203,0.06439687505746197,0.33333333333333337,0.014492753623188408
522vis:contrast:0040,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.605504765619221,0.3764459522792427,1.0,0.5,0.009433962264150943,0.012578616352201259,-0.22905881333997824,-0.5,0.0031446540880503155
522vis:contrast:0040,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.0,0.06943122193677728,0.02631578947368421,0.125,0.0,0.023529411764705882,0.06943122193677728,0.09868421052631579,0.023529411764705882
522vis:contrast:0040,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.6214990811334173,0.841492960259019,0.5,1.0,0.0220125786163522,0.01729559748427673,0.21999387912560164,0.5,-0.004716981132075471
522vis:contrast:0040,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.6214990811334173,0.841492960259019,0.5,1.0,0.16470588235294117,0.12941176470588237,0.21999387912560164,0.5,-0.03529411764705881
522vis:contrast:0041,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.35623158861460097,0.2200917662980802,0.3333333333333333,1.0,0.007861635220125786,0.007861635220125786,-0.13613982231652078,0.6666666666666667,0.0
522vis:contrast:0041,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.0,0.0,0.018518518518518517,0.024390243902439025,0.0,0.0,0.0,0.005871725383920508,0.0
522vis:contrast:0041,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.2614432242450502,0.33405144466421566,0.3333333333333333,0.5,0.006289308176100629,0.0110062893081761,0.07260822041916548,0.16666666666666669,0.004716981132075471
522vis:contrast:0041,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.2614432242450502,0.33405144466421566,0.3333333333333333,0.5,0.3076923076923077,0.5384615384615384,0.07260822041916548,0.16666666666666669,0.23076923076923073
522vis:contrast:0042,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,semantic,0.2614432242450502,0.14201905717762706,0.3333333333333333,0.16666666666666666,0.006289308176100629,0.0031446540880503146,-0.11942416706742312,-0.16666666666666666,-0.0031446540880503146
522vis:contrast:0042,hour::stopped_vehicles,hour,stopped_vehicles,B2_vector_only,strict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522vis:contrast:0042,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,semantic,0.09478836436955079,0.32824101092639013,0.25,0.3333333333333333,0.0015723270440251573,0.0110062893081761,0.23345264655683934,0.08333333333333331,0.009433962264150943
522vis:contrast:0042,hour::stopped_vehicles,hour,stopped_vehicles,B4_prefilter_vector,strict,0.09478836436955079,0.32824101092639013,0.25,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.23345264655683934,0.08333333333333331,0.5
522vis:low:0001,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B2_vector_only,semantic,0.06625422345438904,0.06943122193677728,0.1111111111111111,0.125,0.028985507246376812,0.028985507246376812,0.003176998482388241,0.013888888888888895,0.0
522vis:low:0001,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B2_vector_only,strict,0.0,0.06943122193677728,0.025,0.125,0.0,0.02702702702702703,0.06943122193677728,0.1,0.02702702702702703
522vis:low:0001,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B4_prefilter_vector,semantic,0.06625422345438904,0.2200917662980802,0.1111111111111111,1.0,0.014492753623188406,0.014492753623188406,0.15383754284369117,0.8888888888888888,0.0
522vis:low:0001,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B4_prefilter_vector,strict,0.06625422345438904,0.2200917662980802,0.1111111111111111,1.0,0.02702702702702703,0.02702702702702703,0.15383754284369117,0.8888888888888888,0.0
522vis:low:0002,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B2_vector_only,semantic,0.0,0.14201905717762706,0.047619047619047616,0.16666666666666666,0.0,0.028985507246376812,0.14201905717762706,0.11904761904761904,0.028985507246376812
522vis:low:0002,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B2_vector_only,strict,0.0,0.07839826897867534,0.047619047619047616,0.16666666666666666,0.0,0.03125,0.07839826897867534,0.11904761904761904,0.03125
522vis:low:0002,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B4_prefilter_vector,semantic,0.08514311764162101,0.2024832320725063,0.2,0.5,0.028985507246376812,0.028985507246376812,0.11734011443088528,0.3,0.0
522vis:low:0002,time_of_day::parked_vehicle,time_of_day,parked_vehicle,B4_prefilter_vector,strict,0.08514311764162101,0.2024832320725063,0.2,0.5,0.0625,0.0625,0.11734011443088528,0.3,0.0
522vis:low:0003,time_of_day::dense_frame,time_of_day,dense_frame,B2_vector_only,semantic,0.35895421017163476,0.0,1.0,0.07692307692307693,0.04285714285714286,0.02857142857142857,-0.35895421017163476,-0.9230769230769231,-0.014285714285714287
522vis:low:0003,time_of_day::dense_frame,time_of_day,dense_frame,B2_vector_only,strict,0.35895421017163476,0.0,1.0,0.07692307692307693,0.2727272727272727,0.18181818181818182,-0.35895421017163476,-0.9230769230769231,-0.09090909090909088
522vis:low:0003,time_of_day::dense_frame,time_of_day,dense_frame,B4_prefilter_vector,semantic,0.35895421017163476,0.0,1.0,0.07692307692307693,0.05714285714285714,0.02857142857142857,-0.35895421017163476,-0.9230769230769231,-0.02857142857142857
522vis:low:0003,time_of_day::dense_frame,time_of_day,dense_frame,B4_prefilter_vector,strict,0.35895421017163476,0.0,1.0,0.07692307692307693,0.36363636363636365,0.18181818181818182,-0.35895421017163476,-0.9230769230769231,-0.18181818181818182
522vis:low:0004,time_of_day::dense_frame,time_of_day,dense_frame,B2_vector_only,semantic,0.20483424751859092,0.0,0.3333333333333333,0.08333333333333333,0.02857142857142857,0.02857142857142857,-0.20483424751859092,-0.25,0.0
522vis:low:0004,time_of_day::dense_frame,time_of_day,dense_frame,B2_vector_only,strict,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0
522vis:low:0004,time_of_day::dense_frame,time_of_day,dense_frame,B4_prefilter_vector,semantic,0.0,0.22716217481924805,0.047619047619047616,0.2,0.0,0.1,0.22716217481924805,0.1523809523809524,0.1
