protocol,repeat,steady_ok,worker_errors,waves_completed,queries_all,queries_update,error_rate_all,error_rate_update,stale_rate_update,mixed_rate_update,missing_rate_update,p50_latency_ms_update,p95_latency_ms_update,p95_update_wave_ms,ideal_changed_rows,dense_rows_written,sparse_rows_written,manifest_rows_written,write_amplification
naive_eager,0,True,[],8,513,450,0.6003898635477583,0.6844444444444444,0.6844444444444444,0.3244444444444444,0.2511111111111111,11.300165206193924,33.81742546334861,278.9688088465482,336,336,336,128,1.0
naive_eager,1,True,[],8,557,492,0.599640933572711,0.6788617886178862,0.6788617886178862,0.29878048780487804,0.25609756097560976,11.089318431913853,29.985309764742848,257.8280294314027,336,336,336,128,1.0
naive_eager,2,True,[],8,549,488,0.6338797814207651,0.7131147540983607,0.7131147540983607,0.3114754098360656,0.27049180327868855,11.303910054266453,30.940201506018635,268.86039078235626,333,333,333,128,1.0
naive_eager,3,True,[],8,547,486,0.6453382084095064,0.7263374485596708,0.7263374485596708,0.3045267489711934,0.25308641975308643,11.379917617887259,29.43052863702178,272.57568230852485,327,327,327,128,1.0
naive_eager,4,True,[],8,526,466,0.6254752851711026,0.7060085836909872,0.7060085836909872,0.2982832618025751,0.2510729613733906,11.780147906392813,31.49956790730357,283.0554485321045,325,325,325,128,1.0
read_version_filter,0,True,[],8,526,468,0.13307984790874525,0.14957264957264957,0,0,0.14957264957264957,11.94480201229453,32.322687888517976,265.93515118584037,336,336,336,128,1.0
read_version_filter,1,True,[],8,521,462,0.1343570057581574,0.15151515151515152,0,0,0.15151515151515152,12.104215566068888,30.63814700581133,258.55679102241993,336,336,336,128,1.0
read_version_filter,2,True,[],8,524,465,0.13931297709923665,0.15698924731182795,0,0,0.15698924731182795,12.006537988781929,31.482912227511395,266.90631634555757,333,333,333,128,1.0
read_version_filter,3,True,[],8,525,465,0.13904761904761906,0.15698924731182795,0,0,0.15698924731182795,11.899366043508053,31.702193804085248,272.25076272152364,327,327,327,128,1.0
read_version_filter,4,True,[],8,517,458,0.1276595744680851,0.14410480349344978,0,0,0.14410480349344978,11.83315645903349,31.787486933171742,287.53045299090445,325,325,325,128,1.0
blue_green_epoch,0,True,[],8,459,396,0,0,0,0,0,12.081343680620193,94.70505826175213,299.4183024857193,336,2784,2784,136,8.285714285714286
blue_green_epoch,1,True,[],8,488,420,0,0,0,0,0,11.29058189690113,86.90686021000145,302.4659452959895,336,2808,2808,136,8.357142857142858
blue_green_epoch,2,True,[],8,472,404,0,0,0,0,0,11.441851034760475,88.56217167340218,285.657379636541,333,2805,2805,136,8.423423423423424
blue_green_epoch,3,True,[],8,453,388,0,0,0,0,0,11.66944345459342,93.4106811415404,298.68998853489757,327,2772,2772,136,8.477064220183486
blue_green_epoch,4,True,[],8,490,426,0,0,0,0,0,11.825666297227144,90.65918857231736,294.0219507087022,325,2737,2737,136,8.42153846153846
staged_manifest,0,True,[],8,482,418,0,0,0,0,0,12.110950890928507,30.23262214846909,240.57500530034304,336,336,336,128,1.0
staged_manifest,1,True,[],8,468,405,0,0,0,0,0,12.14961614459753,31.15094564855098,228.0403551645577,336,336,336,128,1.0
staged_manifest,2,True,[],8,464,399,0,0,0,0,0,11.958028189837933,31.295269634574645,222.5071968510747,333,333,333,128,1.0
staged_manifest,3,True,[],8,465,401,0,0,0,0,0,12.023020535707474,32.94058423489332,234.59406150504947,327,327,327,128,1.0
staged_manifest,4,True,[],8,456,392,0,0,0,0,0,12.098528910428286,32.398242549970746,218.59518284909427,325,325,325,128,1.0
