domain,protocol,repeat,steady_ok,readiness_ok,worker_errors,waves_completed,queries_update,error_rate,stale_rate,mixed_rate,missing_rate,p95_latency_ms,p95_wave_ms,write_amplification
flask,weaviate_naive,0,True,True,[],5,340,0.9088235294117647,0.8176470588235294,0.014705882352941176,0.9088235294117647,21.92271198146046,315.58567825704813,1.0
flask,weaviate_naive,1,True,True,[],5,181,0.9337016574585635,0.7955801104972375,0.0055248618784530384,0.9337016574585635,23.61296396702528,214.6326495334506,1.0
flask,weaviate_naive,2,True,True,[],5,214,0.9252336448598131,0.7570093457943925,0.009345794392523364,0.9252336448598131,19.73251653835177,234.48300957679749,1.0
flask,weaviate_read_filter,0,True,True,[],5,203,0.9310344827586207,0,0,0.9310344827586207,22.25782079622147,232.11367428302765,1.0
flask,weaviate_read_filter,1,True,True,[],5,260,0.9230769230769231,0,0,0.9230769230769231,24.789680121466496,317.23958142101765,1.0
flask,weaviate_read_filter,2,True,True,[],5,184,0.8858695652173914,0,0,0.8858695652173914,27.97325174324214,183.6416509002447,1.0
flask,weaviate_staged,0,True,True,[],5,2005,0,0,0,0,12.852101586759082,1008.3413027226925,1.0
flask,weaviate_staged,1,True,True,[],5,2145,0,0,0,0,13.06071691215038,1023.8033792003989,1.0
flask,weaviate_staged,2,True,True,[],5,1935,0,0,0,0,16.119831614196297,1017.9820764809847,1.0
kubernetes,weaviate_naive,0,True,True,[],5,303,0.9273927392739274,0.7821782178217822,0.0297029702970297,0.9273927392739274,21.79316338151693,324.3370462208986,1.0
kubernetes,weaviate_naive,1,True,True,[],5,368,0.8994565217391305,0.782608695652174,0.01358695652173913,0.8994565217391305,30.329374223947518,471.36225886642933,1.0
kubernetes,weaviate_naive,2,True,True,[],5,565,0.9274336283185841,0.831858407079646,0.05486725663716814,0.9274336283185841,21.00964821875094,562.6039454713464,1.0
kubernetes,weaviate_read_filter,0,True,True,[],5,294,0.9285714285714286,0,0,0.9285714285714286,30.097800353541945,382.9088147729635,1.0
kubernetes,weaviate_read_filter,1,True,True,[],5,295,0.9152542372881356,0,0,0.9152542372881356,21.439727209508423,274.9096643179655,1.0
kubernetes,weaviate_read_filter,2,True,True,[],5,283,0.9045936395759717,0,0,0.9045936395759717,22.65052469447254,289.1393207013607,1.0
kubernetes,weaviate_staged,0,True,True,[],5,1985,0,0,0,0,16.0697529092431,1081.226964853704,1.0
kubernetes,weaviate_staged,1,True,True,[],5,1504,0,0,0,0,23.827847046777585,1041.5650714188814,1.0
kubernetes,weaviate_staged,2,True,True,[],5,2121,0,0,0,0,14.38602153211832,1024.0280453115702,1.0
