domain,protocol,repeat,observations,errors,error_rate,graph_errors,cache_errors,readiness_ok,update_ms,logical_bytes,writes
flask,eager,0,175,125,0.7142857142857143,125,125,True,1193.7688421458006,57236,225
flask,eager,1,175,125,0.7142857142857143,125,125,True,1111.715193837881,57236,225
flask,eager,2,175,125,0.7142857142857143,125,125,True,1152.7537433430552,57236,225
flask,read_filter,0,175,100,0.5714285714285714,75,100,True,1142.6971862092614,57236,225
flask,read_filter,1,175,100,0.5714285714285714,75,100,True,1179.1487941518426,57236,225
flask,read_filter,2,175,100,0.5714285714285714,75,100,True,1134.1672977432609,57236,225
flask,staged_all,0,200,0,0.0,0,0,True,1415.0333404541016,57236,225
flask,staged_all,1,200,0,0.0,0,0,True,1466.2871258333325,57236,225
flask,staged_all,2,200,0,0.0,0,0,True,1366.09657574445,57236,225
flask,pg_atomic_all,0,50,0,0.0,0,0,True,7.985666394233704,57236,225
flask,pg_atomic_all,1,50,0,0.0,0,0,True,4.147734493017197,57236,225
flask,pg_atomic_all,2,50,0,0.0,0,0,True,11.947796680033207,57236,225
kubernetes,eager,0,175,125,0.7142857142857143,125,125,True,1090.3176432475448,59356,225
kubernetes,eager,1,175,125,0.7142857142857143,125,125,True,1122.0452217385173,59356,225
kubernetes,eager,2,175,125,0.7142857142857143,125,125,True,1190.1669558137655,59356,225
kubernetes,read_filter,0,175,100,0.5714285714285714,75,100,True,1120.7792358472943,59356,225
kubernetes,read_filter,1,175,100,0.5714285714285714,75,100,True,1118.9657617360353,59356,225
kubernetes,read_filter,2,175,100,0.5714285714285714,75,100,True,1167.9852344095707,59356,225
kubernetes,staged_all,0,200,0,0.0,0,0,True,1343.117301352322,59356,225
kubernetes,staged_all,1,200,0,0.0,0,0,True,1398.2768692076206,59356,225
kubernetes,staged_all,2,200,0,0.0,0,0,True,1323.9791430532932,59356,225
kubernetes,pg_atomic_all,0,50,0,0.0,0,0,True,4.4966572895646095,59356,225
kubernetes,pg_atomic_all,1,50,0,0.0,0,0,True,10.28493233025074,59356,225
kubernetes,pg_atomic_all,2,50,0,0.0,0,0,True,14.470221474766731,59356,225
