fact_id,L1_surface,L2_alias,L3_inverse,L4_alt_path,L5_prompt,S1_fact_parity,S2_world_parity,S3_token_ratio,S3_within_tol
2e07d12fb292c3f6,False,False,False,False,False,True,True,1.115,False
6299cee824cdf38b,False,False,False,False,False,True,True,1.086,True
451ec57f42137e89,False,False,False,False,False,True,True,1.091,True
98a0e1ea7f397a93,False,False,False,False,False,True,True,1.088,True
2d912dc16f96085f,False,False,False,False,False,True,True,1.081,True
f9d76f3155ee6ccb,False,False,False,False,False,True,True,1.107,False
9b4a534f0f1ed661,False,False,False,False,False,True,True,1.081,True
27354b5493822952,False,False,False,False,False,True,True,1.081,True
fd28f6eb6f02bf48,False,False,False,False,False,True,True,1.1,True
85f89f3acdca7b24,False,False,False,False,False,True,True,1.088,True
9bf11c6372ca612a,False,False,False,False,False,True,True,1.111,False
75d58210def2a393,False,False,False,False,False,True,True,1.083,True
7764b379469e8921,False,False,False,False,False,True,True,1.088,True
a2f34e526d368fc9,False,False,False,False,False,True,True,1.111,False
7ec7ace573b4f635,False,False,False,False,False,True,True,1.088,True
351c3ac88670d400,False,False,False,False,False,True,True,1.073,True
c9f6d566a7651047,False,False,False,False,False,True,True,1.086,True
be883de0190c1203,False,False,False,False,False,True,True,1.086,True
ceddc81e7b5e25a8,False,False,False,False,False,True,True,1.115,False
8c07a68b76710256,False,False,False,False,False,True,True,1.088,True
78682cacb5cd9652,False,False,False,False,False,True,True,1.079,True
69d297e3531edf99,False,False,False,False,False,True,True,1.094,True
25d0cbafbfd2fd89,False,False,False,False,False,True,True,1.094,True
bf8a9cb7f84f2a1f,False,False,False,False,False,True,True,1.097,True
d4a5a81825288854,False,False,False,False,False,True,True,1.081,True
9751616d1c6c471c,False,False,False,False,False,True,True,1.073,True
e6dce88e41b402c8,False,False,False,False,False,True,True,1.083,True
28d31d89698e8271,False,False,False,False,False,True,True,1.107,False
3a1b5cdac4e1b1e0,False,False,False,False,False,True,True,1.086,True
df5b6904b0d7f386,False,False,False,False,False,True,True,1.083,True
a71a302fbf1b84d4,False,False,False,False,False,True,True,1.081,True
3b1518481fae8055,False,False,False,False,False,True,True,1.107,False
3689912e1659809a,False,False,False,False,False,True,True,1.086,True
24cc340a8b8c706e,False,False,False,False,False,True,True,1.081,True
208a9d8501942a6e,False,False,False,False,False,True,True,1.083,True
6f601f07bed1d9f1,False,False,False,False,False,True,True,1.103,True
2e33d722ef9f37f1,False,False,False,False,False,True,True,1.079,True
599b4b17553bbb5a,False,False,False,False,False,True,True,1.091,True
4baec3428b67289b,False,False,False,False,False,True,True,1.094,True
81fc809004d71576,False,False,False,False,False,True,True,1.079,True
40dd6dde65709501,False,False,False,False,False,True,True,1.073,True
e0eedc99bc09611d,False,False,False,False,False,True,True,1.097,True
4f0fcf3fee785dcf,False,False,False,False,False,True,True,1.086,True
d3237d8c3972c8f1,False,False,False,False,False,True,True,1.107,False
48f06c3b74921b39,False,False,False,False,False,True,True,1.083,True
fa0ba4774a5aacb1,False,False,False,False,False,True,True,1.086,True
5af0e594af0381d2,False,False,False,False,False,True,True,1.088,True
ee4ab39998fc2776,False,False,False,False,False,True,True,1.081,True
b88fe745a8c92588,False,False,False,False,False,True,True,1.081,True
dc2419717aea7a6a,False,False,False,False,False,True,True,1.111,False
18cea57d8f332568,False,False,False,False,False,True,True,1.107,False
2d319c43ae2680fe,False,False,False,False,False,True,True,1.103,True
f8dc61524d8cfcdd,False,False,False,False,False,True,True,1.073,True
a864e052edfcfb9f,False,False,False,False,False,True,True,1.1,True
257c045cb4d88121,False,False,False,False,False,True,True,1.091,True
59833abc03a8355e,False,False,False,False,False,True,True,1.103,True
ac679e58460098d5,False,False,False,False,False,True,True,1.077,True
1c6af27ec0c3fa6a,False,False,False,False,False,True,True,1.081,True
20d8079a15b5972c,False,False,False,False,False,True,True,1.107,False
f63db75e8f5b941d,False,False,False,False,False,True,True,1.086,True
a976d7d893913197,False,False,False,False,False,True,True,1.1,True
bad7e9184d5f6a13,False,False,False,False,False,True,True,1.088,True
bc47818d317b78c0,False,False,False,False,False,True,True,1.088,True
590bb7fb4f1c0470,False,False,False,False,False,True,True,1.091,True
ee89e26345e9a5d6,False,False,False,False,False,True,True,1.079,True
aaa0d051ead39339,False,False,False,False,False,True,True,1.079,True
936b2a855999dd6d,False,False,False,False,False,True,True,1.094,True
be1a54308d407975,False,False,False,False,False,True,True,1.075,True
f44e74ef73f83c04,False,False,False,False,False,True,True,1.073,True
029e77d8bf427400,False,False,False,False,False,True,True,1.081,True
a5052ef41f5b5ce8,False,False,False,False,False,True,True,1.091,True
44e8031e9c05a0d6,False,False,False,False,False,True,True,1.1,True
f26e4c576126c69e,False,False,False,False,False,True,True,1.079,True
d64f073be03ed4aa,False,False,False,False,False,True,True,1.088,True
8be6a7be0e4eb49f,False,False,False,False,False,True,True,1.103,True
b00250ea7ea94af7,False,False,False,False,False,True,True,1.091,True
76ee151623d17862,False,False,False,False,False,True,True,1.088,True
2efb83ff53858e2f,False,False,False,False,False,True,True,1.086,True
d84ec814319daea3,False,False,False,False,False,True,True,1.1,True
4c81054647e407d0,False,False,False,False,False,True,True,1.083,True
5b82c43e26fa0128,False,False,False,False,False,True,True,1.091,True
9fc26a07c9d1a81c,False,False,False,False,False,True,True,1.1,True
