domain,protocol,repeat,steady_ok,readiness_ok,worker_errors,waves_completed,queries_all,queries_update,error_rate_update,stale_rate_update,mixed_rate_update,missing_rate_update,p50_latency_ms_update,p95_latency_ms_update,p99_latency_ms_update,p50_wave_ms,p95_wave_ms,ideal_changed_rows,dense_rows_written,sparse_rows_written,physical_rows_written,manifest_rows_written,write_amplification
flask,cross_naive,0,True,True,[],10,2092,2045,0.7706601466992665,0.7706601466992665,0.6929095354523227,0.767237163814181,18.119044601917267,52.843604236841195,93.46143014729016,634.3456823378801,948.7900056876242,4352,4352,4352,8704,100,1.0
flask,cross_naive,1,True,True,[],10,2100,2052,0.7597465886939572,0.7597465886939572,0.6739766081871345,0.7582846003898636,17.37513253465295,54.343379056081076,82.80794569291174,634.0990541502833,935.6954445596783,4352,4352,4352,8704,100,1.0
flask,cross_naive,2,True,True,[],10,2201,2159,0.7600741083835109,0.7600741083835109,0.683186660490968,0.7559055118110236,18.25773809105158,51.60138029605135,89.88478206098081,636.7845819331706,1105.4293383844195,4352,4352,4352,8704,100,1.0
flask,cross_read_filter,0,True,True,[],10,2208,2167,0.7074296262113521,0,0,0.7074296262113521,18.10611132532358,54.59123151376842,90.60154026374234,694.3734176456928,1038.6456124018873,4352,4352,4352,8704,100,1.0
flask,cross_read_filter,1,True,True,[],10,2117,2067,0.7073052733430092,0,0,0.7073052733430092,17.572779208421707,55.63924368470907,87.00546097010373,639.4734340719879,964.3946205731481,4352,4352,4352,8704,100,1.0
flask,cross_read_filter,2,True,True,[],10,2068,2029,0.7057663873829473,0,0,0.7057663873829473,19.362769089639187,57.0197882130742,94.5166284963489,652.120201382786,1003.7323348689824,4352,4352,4352,8704,100,1.0
flask,cross_staged,0,True,True,[],10,2311,2265,0,0,0,0,16.036259941756725,46.29114158451548,85.01319903880362,616.889881901443,1046.0492992307989,4352,4352,4352,8704,100,1.0
flask,cross_staged,1,True,True,[],10,2147,2103,0,0,0,0,17.11063366383314,52.65819411724806,83.41431299224496,622.5931481458247,973.8007476553319,4352,4352,4352,8704,100,1.0
flask,cross_staged,2,True,True,[],10,2424,2381,0,0,0,0,17.65154767781496,49.16819836944342,87.47392650693655,653.578158468008,1156.6587777342645,4352,4352,4352,8704,100,1.0
flask,cross_blue_green,0,True,True,[],10,17100,17050,0,0,0,0,18.30300549045205,64.14137030951677,89.80768230743695,5768.417392857373,6141.315768100321,4352,43405,43405,86810,110,9.973575367647058
flask,cross_blue_green,1,True,True,[],10,16418,16380,0,0,0,0,18.662993796169758,67.52101774327456,92.82813723199065,5719.416109379381,6053.656515292823,4352,43405,43405,86810,110,9.973575367647058
flask,cross_blue_green,2,True,True,[],10,17351,17309,0,0,0,0,18.99766083806753,66.51516538113347,94.28500078618508,6013.926092069596,6283.9749135077,4352,43405,43405,86810,110,9.973575367647058
flask,pg_atomic,0,True,True,[],10,2050,1962,0,0,0,0,7.735561113804579,21.426333067938682,57.482104850932956,256.45381631329656,399.67475859448314,4352,4352,4352,4352,100,1.0
flask,pg_atomic,1,True,True,[],10,2295,2207,0,0,0,0,7.141482084989548,19.312653969973272,55.26990773156289,265.9781314432621,418.8060633372515,4352,4352,4352,4352,100,1.0
flask,pg_atomic,2,True,True,[],10,1913,1805,0,0,0,0,6.7899879068136215,20.088688656687733,55.64294315874579,221.2552772834897,325.47039794735605,4352,4352,4352,4352,100,1.0
kubernetes,cross_naive,0,True,True,[],10,2363,2323,0.7417133017649591,0.7412828239345673,0.6599225139905295,0.7378390012914335,19.25432961434126,59.96518768370153,92.15990073978908,764.2628154717386,1089.2012731172142,4720,4720,4720,9440,100,1.0
kubernetes,cross_naive,1,True,True,[],10,2615,2570,0.7093385214007782,0.7070038910505837,0.6256809338521401,0.7038910505836576,19.424660596996546,54.386038612574325,93.35961547680196,929.5244012027979,1091.1778346635401,4720,4720,4720,9440,100,1.0
