domain,protocol,repeat,checkpoint,fact_id,active_version,dense_versions,sparse_versions,graph_versions,cache_versions,snapshot_error,graph_error,cache_error
flask,eager,0,initial,0,1,1,1,1,1,0,0,0
flask,eager,0,initial,1,1,1,1,1,1,0,0,0
flask,eager,0,initial,2,1,1,1,1,1,0,0,0
flask,eager,0,initial,3,1,1,1,1,1,0,0,0
flask,eager,0,initial,4,1,1,1,1,1,0,0,0
flask,eager,0,initial,5,1,1,1,1,1,0,0,0
flask,eager,0,initial,6,1,1,1,1,1,0,0,0
flask,eager,0,initial,7,1,1,1,1,1,0,0,0
flask,eager,0,initial,8,1,1,1,1,1,0,0,0
flask,eager,0,initial,9,1,1,1,1,1,0,0,0
flask,eager,0,initial,10,1,1,1,1,1,0,0,0
flask,eager,0,initial,11,1,1,1,1,1,0,0,0
flask,eager,0,initial,12,1,1,1,1,1,0,0,0
flask,eager,0,initial,13,1,1,1,1,1,0,0,0
flask,eager,0,initial,14,1,1,1,1,1,0,0,0
flask,eager,0,initial,15,1,1,1,1,1,0,0,0
flask,eager,0,initial,16,1,1,1,1,1,0,0,0
flask,eager,0,initial,17,1,1,1,1,1,0,0,0
flask,eager,0,initial,18,1,1,1,1,1,0,0,0
flask,eager,0,initial,19,1,1,1,1,1,0,0,0
flask,eager,0,initial,20,1,1,1,1,1,0,0,0
flask,eager,0,initial,21,1,1,1,1,1,0,0,0
flask,eager,0,initial,22,1,1,1,1,1,0,0,0
flask,eager,0,initial,23,1,1,1,1,1,0,0,0
flask,eager,0,initial,24,1,1,1,1,1,0,0,0
flask,eager,0,manifest_published,0,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,1,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,2,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,3,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,4,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,5,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,6,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,7,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,8,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,9,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,10,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,11,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,12,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,13,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,14,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,15,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,16,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,17,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,18,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,19,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,20,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,21,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,22,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,23,2,1,1,1,1,1,1,1
flask,eager,0,manifest_published,24,2,1,1,1,1,1,1,1
flask,eager,0,dense_inserted,0,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,1,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,2,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,3,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,4,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,5,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,6,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,7,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,8,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,9,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,10,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,11,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,12,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,13,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,14,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,15,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,16,2,1;2,1,1,1,1,1,1
flask,eager,0,dense_inserted,17,2,1;2,1,1,1,1,1,1
