fact_id,L1_surface,L2_alias,L3_inverse,L4_alt_path,L5_prompt,S1_fact_parity,S2_world_parity,S3_token_ratio,S3_within_tol
fef712e5d29039b1,False,False,False,False,False,True,True,1.158,False
395c01bbfed747ed,False,False,False,False,False,True,True,1.176,False
d92189cf2c477336,False,False,False,False,False,True,True,1.188,False
8bd3d5f0c00340ac,False,False,False,False,False,True,True,1.158,False
9bc141106ba1154a,False,False,False,False,False,True,True,1.176,False
8f8a15e31df89b70,False,False,False,False,False,True,True,1.176,False
0dd40d4ae33f8e29,False,False,False,False,False,True,True,1.136,False
42089f3b622ced92,False,False,False,False,False,True,True,1.176,False
8752a125c9cb6984,False,False,False,False,False,True,True,1.15,False
858a8db6ed1cc7be,False,False,False,False,False,True,True,1.13,False
435fdff17b179e99,False,False,False,False,False,True,True,1.176,False
8141270018d244d1,False,False,False,False,False,True,True,1.15,False
1c971dde430900a5,False,False,False,False,False,True,True,1.176,False
b817944f5971a889,False,False,False,False,False,True,True,1.167,False
f4a27170c6d451ea,False,False,False,False,False,True,True,1.15,False
834d40cd97caf002,False,False,False,False,False,True,True,1.167,False
48a652b2dadd686e,False,False,False,False,False,True,True,1.143,False
c90379eff104c708,False,False,False,False,False,True,True,1.188,False
cd77c26f5f02969e,False,False,False,False,False,True,True,1.158,False
db82db828d0fb107,False,False,False,False,False,True,True,1.167,False
15e3bda2cc6bfb85,False,False,False,False,False,True,True,1.158,False
bdd5fed4f67df034,False,False,False,False,False,True,True,1.13,False
251ce069bd7eec97,False,False,False,False,False,True,True,1.15,False
970709096d69e3b5,False,False,False,False,False,True,True,1.176,False
e954fb74f7e7bade,False,False,False,False,False,True,True,1.176,False
21066cf3a6dcf02c,False,False,False,False,False,True,True,1.15,False
c6c87f539bbe8f76,False,False,False,False,False,True,True,1.15,False
af06caeca2c934da,False,False,False,False,False,True,True,1.176,False
1becbad441e8c57a,False,False,False,False,False,True,True,1.167,False
66e23202ca6ffe7b,False,False,False,False,False,True,True,1.167,False
4b12c9f8f527d335,False,False,False,False,False,True,True,1.167,False
337936f1e056ca74,False,False,False,False,False,True,True,1.158,False
613ccca9c959e773,False,False,False,False,False,True,True,1.176,False
73e95e5b0cd4bd39,False,False,False,False,False,True,True,1.158,False
0132c35b4888a2f5,False,False,False,False,False,True,True,1.15,False
29993f166e245ccd,False,False,False,False,False,True,True,1.15,False
b0892863541d8ade,False,False,False,False,False,True,True,1.13,False
37d6203705599ed4,False,False,False,False,False,True,True,1.136,False
bce952452f131747,False,False,False,False,False,True,True,1.176,False
77c6f18f06387553,False,False,False,False,False,True,True,1.176,False
336d9e6714357f23,False,False,False,False,False,True,True,1.176,False
91423018f6808f89,False,False,False,False,False,True,True,1.167,False
60fa2a19b27af13d,False,False,False,False,False,True,True,1.167,False
42a5bf31b0ba6a56,False,False,False,False,False,True,True,1.167,False
6af4b4f55d96b3cf,False,False,False,False,False,True,True,1.176,False
86241f31312125db,False,False,False,False,False,True,True,1.158,False
7404e4ea150d854f,False,False,False,False,False,True,True,1.167,False
8ba20599fd672b82,False,False,False,False,False,True,True,1.176,False
b646481f38a5c27d,False,False,False,False,False,True,True,1.136,False
340cb5cf295e49d3,False,False,False,False,False,True,True,1.167,False
97368fce84472af5,False,False,False,False,False,True,True,1.188,False
dabfb0c011c750b4,False,False,False,False,False,True,True,1.13,False
db43261ed8a2556f,False,False,False,False,False,True,True,1.158,False
ca46b78fd1f6a401,False,False,False,False,False,True,True,1.143,False
d5a40dfc9baf320b,False,False,False,False,False,True,True,1.167,False
be8fef667fc8bc9a,False,False,False,False,False,True,True,1.15,False
1c9973efacdcefb2,False,False,False,False,False,True,True,1.13,False
27d65e85d93fb055,False,False,False,False,False,True,True,1.13,False
f363a58bb01b1b7b,False,False,False,False,False,True,True,1.158,False
f1610aa2fddd659d,False,False,False,False,False,True,True,1.176,False
783e5abadb095cbb,False,False,False,False,False,True,True,1.167,False
dff575a151207979,False,False,False,False,False,True,True,1.176,False
9959df3ef56b14ff,False,False,False,False,False,True,True,1.167,False
42e806dd4b7c8658,False,False,False,False,False,True,True,1.188,False
382310abe2af1eb2,False,False,False,False,False,True,True,1.143,False
a496fdeb69ff28f2,False,False,False,False,False,True,True,1.188,False
c6ee7eb77812bce5,False,False,False,False,False,True,True,1.158,False
a9277797b2bb718e,False,False,False,False,False,True,True,1.188,False
a5755808ec2dd44e,False,False,False,False,False,True,True,1.167,False
e7babae67b544688,False,False,False,False,False,True,True,1.176,False
0b7c5a429604fd23,False,False,False,False,False,True,True,1.167,False
dd968ab5a4a8e16f,False,False,False,False,False,True,True,1.167,False
5153ae2282e911aa,False,False,False,False,False,True,True,1.15,False
ed75c004a21e0ac4,False,False,False,False,False,True,True,1.167,False
de518e435e14a96b,False,False,False,False,False,True,True,1.15,False
06eebe2224712666,False,False,False,False,False,True,True,1.176,False
f2b506460a197434,False,False,False,False,False,True,True,1.188,False
046a89a3fd2d097f,False,False,False,False,False,True,True,1.176,False
c511b11b7681edaf,False,False,False,False,False,True,True,1.167,False
b6ec5b5b478a1f61,False,False,False,False,False,True,True,1.158,False
