contrast,measured_discordance,measured_ICC,delta,power,obs_per_cluster,DEFF,n_pairs,n_clusters
H1a_format,0.1464,0.2753,0.02,0.8,2.0,1.275,3832,2444
H1a_format,0.1464,0.2753,0.02,0.8,4.0,1.826,3832,1750
H1a_format,0.1464,0.2753,0.02,0.8,12.0,4.028,3832,1287
H1a_format,0.1464,0.2753,0.02,0.9,2.0,1.275,4945,3153
H1a_format,0.1464,0.2753,0.02,0.9,4.0,1.826,4945,2258
H1a_format,0.1464,0.2753,0.02,0.9,12.0,4.028,4945,1660
H1a_format,0.1464,0.2753,0.03,0.8,2.0,1.275,1703,1086
H1a_format,0.1464,0.2753,0.03,0.8,4.0,1.826,1703,778
H1a_format,0.1464,0.2753,0.03,0.8,12.0,4.028,1703,572
H1a_format,0.1464,0.2753,0.03,0.9,2.0,1.275,2198,1402
H1a_format,0.1464,0.2753,0.03,0.9,4.0,1.826,2198,1004
H1a_format,0.1464,0.2753,0.03,0.9,12.0,4.028,2198,738
H1a_format,0.1464,0.2753,0.05,0.8,2.0,1.275,614,391
H1a_format,0.1464,0.2753,0.05,0.8,4.0,1.826,614,280
H1a_format,0.1464,0.2753,0.05,0.8,12.0,4.028,614,206
H1a_format,0.1464,0.2753,0.05,0.9,2.0,1.275,792,505
H1a_format,0.1464,0.2753,0.05,0.9,4.0,1.826,792,362
H1a_format,0.1464,0.2753,0.05,0.9,12.0,4.028,792,266
H1a_format,0.1464,0.2753,0.08,0.8,2.0,1.275,240,153
H1a_format,0.1464,0.2753,0.08,0.8,4.0,1.826,240,110
H1a_format,0.1464,0.2753,0.08,0.8,12.0,4.028,240,81
H1a_format,0.1464,0.2753,0.08,0.9,2.0,1.275,310,198
H1a_format,0.1464,0.2753,0.08,0.9,4.0,1.826,310,142
H1a_format,0.1464,0.2753,0.08,0.9,12.0,4.028,310,104
H1b_structure,0.1402,0.2753,0.02,0.8,2.0,1.275,3670,2340
H1b_structure,0.1402,0.2753,0.02,0.8,4.0,1.826,3670,1676
H1b_structure,0.1402,0.2753,0.02,0.8,12.0,4.028,3670,1232
H1b_structure,0.1402,0.2753,0.02,0.9,2.0,1.275,4736,3020
H1b_structure,0.1402,0.2753,0.02,0.9,4.0,1.826,4736,2162
H1b_structure,0.1402,0.2753,0.02,0.9,12.0,4.028,4736,1590
H1b_structure,0.1402,0.2753,0.03,0.8,2.0,1.275,1631,1040
H1b_structure,0.1402,0.2753,0.03,0.8,4.0,1.826,1631,745
H1b_structure,0.1402,0.2753,0.03,0.8,12.0,4.028,1631,548
H1b_structure,0.1402,0.2753,0.03,0.9,2.0,1.275,2105,1342
H1b_structure,0.1402,0.2753,0.03,0.9,4.0,1.826,2105,961
H1b_structure,0.1402,0.2753,0.03,0.9,12.0,4.028,2105,707
H1b_structure,0.1402,0.2753,0.05,0.8,2.0,1.275,588,375
H1b_structure,0.1402,0.2753,0.05,0.8,4.0,1.826,588,269
H1b_structure,0.1402,0.2753,0.05,0.8,12.0,4.028,588,198
H1b_structure,0.1402,0.2753,0.05,0.9,2.0,1.275,758,484
H1b_structure,0.1402,0.2753,0.05,0.9,4.0,1.826,758,346
H1b_structure,0.1402,0.2753,0.05,0.9,12.0,4.028,758,255
H1b_structure,0.1402,0.2753,0.08,0.8,2.0,1.275,230,147
H1b_structure,0.1402,0.2753,0.08,0.8,4.0,1.826,230,105
H1b_structure,0.1402,0.2753,0.08,0.8,12.0,4.028,230,77
H1b_structure,0.1402,0.2753,0.08,0.9,2.0,1.275,296,189
H1b_structure,0.1402,0.2753,0.08,0.9,4.0,1.826,296,136
H1b_structure,0.1402,0.2753,0.08,0.9,12.0,4.028,296,100
H1_total_repr,0.1598,0.2753,0.02,0.8,2.0,1.275,4183,2667
H1_total_repr,0.1598,0.2753,0.02,0.8,4.0,1.826,4183,1910
H1_total_repr,0.1598,0.2753,0.02,0.8,12.0,4.028,4183,1405
H1_total_repr,0.1598,0.2753,0.02,0.9,2.0,1.275,5398,3442
H1_total_repr,0.1598,0.2753,0.02,0.9,4.0,1.826,5398,2464
H1_total_repr,0.1598,0.2753,0.02,0.9,12.0,4.028,5398,1812
H1_total_repr,0.1598,0.2753,0.03,0.8,2.0,1.275,1859,1186
H1_total_repr,0.1598,0.2753,0.03,0.8,4.0,1.826,1859,849
H1_total_repr,0.1598,0.2753,0.03,0.8,12.0,4.028,1859,625
H1_total_repr,0.1598,0.2753,0.03,0.9,2.0,1.275,2399,1530
H1_total_repr,0.1598,0.2753,0.03,0.9,4.0,1.826,2399,1095
H1_total_repr,0.1598,0.2753,0.03,0.9,12.0,4.028,2399,806
H1_total_repr,0.1598,0.2753,0.05,0.8,2.0,1.275,670,427
H1_total_repr,0.1598,0.2753,0.05,0.8,4.0,1.826,670,306
H1_total_repr,0.1598,0.2753,0.05,0.8,12.0,4.028,670,225
H1_total_repr,0.1598,0.2753,0.05,0.9,2.0,1.275,864,551
H1_total_repr,0.1598,0.2753,0.05,0.9,4.0,1.826,864,395
H1_total_repr,0.1598,0.2753,0.05,0.9,12.0,4.028,864,290
H1_total_repr,0.1598,0.2753,0.08,0.8,2.0,1.275,262,167
H1_total_repr,0.1598,0.2753,0.08,0.8,4.0,1.826,262,120
H1_total_repr,0.1598,0.2753,0.08,0.8,12.0,4.028,262,88
H1_total_repr,0.1598,0.2753,0.08,0.9,2.0,1.275,338,216
H1_total_repr,0.1598,0.2753,0.08,0.9,4.0,1.826,338,154
H1_total_repr,0.1598,0.2753,0.08,0.9,12.0,4.028,338,114
