scoring,service_family,representation,queries,ndcg_at_10,index_mb
semantic,body_social,caption,56,0.29141282670001173,8.069165
semantic,body_social,dual,56,0.3843852633213979,16.13833
semantic,body_social,frame,56,0.36852568617438275,8.069165
semantic,facility_access,caption,6,0.0,8.069165
semantic,facility_access,dual,6,0.0,16.13833
semantic,facility_access,frame,6,0.011571870322796211,8.069165
semantic,object_interaction,caption,41,0.22811048183605184,8.069165
semantic,object_interaction,dual,41,0.28352411493011465,16.13833
semantic,object_interaction,frame,41,0.24500959898645128,8.069165
semantic,vehicle_contact,caption,64,0.33001558936020137,8.069165
semantic,vehicle_contact,dual,64,0.4248779613605836,16.13833
semantic,vehicle_contact,frame,64,0.3267281600223159,8.069165
semantic,vehicle_maneuver,caption,26,0.2985782952445093,8.069165
semantic,vehicle_maneuver,dual,26,0.2897491056887037,16.13833
semantic,vehicle_maneuver,frame,26,0.28894670572531794,8.069165
strict,body_social,caption,56,0.07796382243090216,8.069165
strict,body_social,dual,56,0.1049466480393211,16.13833
strict,body_social,frame,56,0.1117579951575804,8.069165
strict,facility_access,caption,6,0.0,8.069165
strict,facility_access,dual,6,0.0,16.13833
strict,facility_access,frame,6,0.0,8.069165
strict,object_interaction,caption,41,0.06397729510450635,8.069165
strict,object_interaction,dual,41,0.08062521810660085,16.13833
strict,object_interaction,frame,41,0.08553751686933725,8.069165
strict,vehicle_contact,caption,64,0.08829728659261324,8.069165
strict,vehicle_contact,dual,64,0.11987816072186026,16.13833
strict,vehicle_contact,frame,64,0.10565689231677901,8.069165
strict,vehicle_maneuver,caption,26,0.077313178831306,8.069165
strict,vehicle_maneuver,dual,26,0.07557834952392167,16.13833
strict,vehicle_maneuver,frame,26,0.06503816723325198,8.069165
