scoring,service_family,queries,winner,runner_up,winner_mean,runner_up_mean,mean_delta,ci_low,ci_high,q_bh_15,cost_ratio,quality_support,cost_support,supported
strict,body_social,56,frame,dual,0.1117579951575804,0.1049466480393211,0.006811347118259301,-0.018109793502745802,0.03359021592171214,0.9720476397618011,0.5,False,True,True
strict,facility_access,6,caption,dual,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,True,True
strict,object_interaction,41,frame,dual,0.08553751686933725,0.08062521810660085,0.004912298762736392,-0.027382369822860256,0.03992103304288725,1.0,0.5,False,False,False
strict,vehicle_contact,64,dual,frame,0.11987816072186026,0.10565689231677901,0.014221268405081257,-0.010093055271326288,0.039787893353419486,0.603693410104378,2.0,False,False,False
strict,vehicle_maneuver,26,caption,dual,0.077313178831306,0.07557834952392167,0.0017348293073843335,-0.04264845070471623,0.044721175750129134,1.0,0.5,False,False,False
semantic,body_social,56,dual,frame,0.3843852633213979,0.36852568617438275,0.01585957714701509,-0.02492501385394415,0.056092803166266136,,2.0,False,False,False
semantic,facility_access,6,frame,caption,0.011571870322796211,0.0,0.011571870322796211,-0.0,0.034715610968388634,,1.0,False,False,False
semantic,object_interaction,41,dual,frame,0.28352411493011465,0.24500959898645128,0.0385145159436634,-0.018771576120584763,0.09413994296317797,,2.0,False,False,False
semantic,vehicle_contact,64,dual,caption,0.4248779613605836,0.33001558936020137,0.09486237200038222,0.06966159380715074,0.12004806185194755,,2.0,False,False,False
semantic,vehicle_maneuver,26,caption,dual,0.2985782952445093,0.2897491056887037,0.008829189555805524,-0.03277613037760415,0.04277656497570423,,0.5,False,False,False
