dataset,event_type,event_family,contract_family,cluster,query_id,strategy,text_weight,visual_weight,caption_ndcg_at_10,fusion_ndcg_at_10,diff
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t8_v1,8,1,0.6874708847784539,0.6777277508780453,-0.009743133900408596
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t4_v1,4,1,0.6874708847784539,0.6812060741152738,-0.006264810663180076
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t2_v1,2,1,0.6874708847784539,0.6520881886359192,-0.03538269614253464
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t1_v1,1,1,0.6874708847784539,0.647053841756604,-0.0404170430218499
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t1_v2,1,2,0.6874708847784539,0.6618313225363276,-0.025639562242126268
VRU,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,vru2:nofilter:0001,rrf_t1_v4,1,4,0.6874708847784539,0.5618918191694955,-0.12557906560895837
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t8_v1,8,1,0.36865805394823997,0.3418189578169027,-0.02683909613133728
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t4_v1,4,1,0.36865805394823997,0.43305492900570197,0.064396875057462
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t2_v1,2,1,0.36865805394823997,0.552265477387053,0.18360742343881303
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t1_v1,1,1,0.36865805394823997,0.5548010254700118,0.18614297152177178
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t1_v2,1,2,0.36865805394823997,0.48864468918810133,0.11998663523986136
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0002,rrf_t1_v4,1,4,0.36865805394823997,0.5988751049740156,0.23021705102577567
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t8_v1,8,1,1.0,0.9363792118010483,-0.06362078819895167
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t4_v1,4,1,1.0,0.9363792118010483,-0.06362078819895167
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t2_v1,2,1,1.0,0.92663607790064,-0.07336392209936005
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t1_v1,1,1,1.0,0.7885497208855957,-0.21145027911440428
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t1_v2,1,2,1.0,0.8572048559638626,-0.14279514403613736
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0003,rrf_t1_v4,1,4,1.0,0.9337457765456111,-0.06625422345438892
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t8_v1,8,1,0.542364015420035,0.542364015420035,0.0
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t4_v1,4,1,0.542364015420035,0.5894280199323519,0.04706400451231696
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t2_v1,2,1,0.542364015420035,0.510069131458292,-0.03229488396174296
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t1_v1,1,1,0.542364015420035,0.33405144466421566,-0.20831257075581933
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t1_v2,1,2,0.542364015420035,0.38113435412202007,-0.16122966129801491
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0004,rrf_t1_v4,1,4,0.542364015420035,0.2895229882348575,-0.2528410271851775
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t8_v1,8,1,0.8669479898642711,0.9305687780632229,0.06362078819895178
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t4_v1,4,1,0.8669479898642711,0.92663607790064,0.059688088036368825
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t2_v1,2,1,0.8669479898642711,0.9305687780632229,0.06362078819895178
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t1_v1,1,1,0.8669479898642711,0.9363792118010483,0.0694312219367772
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t1_v2,1,2,0.8669479898642711,0.9363792118010483,0.0694312219367772
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0005,rrf_t1_v4,1,4,0.8669479898642711,0.9305687780632229,0.06362078819895178
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t8_v1,8,1,0.7257275327064653,0.6768344346634848,-0.048893098042980476
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t4_v1,4,1,0.7257275327064653,0.6768344346634848,-0.048893098042980476
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t2_v1,2,1,0.7257275327064653,0.5435146988405244,-0.1822128338659409
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t1_v1,1,1,0.7257275327064653,0.45604298473911625,-0.26968454796734903
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t1_v2,1,2,0.7257275327064653,0.4393462334380634,-0.2863812992684019
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:weather_light:0006,rrf_t1_v4,1,4,0.7257275327064653,0.33847876227179224,-0.38724877043467304
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t8_v1,8,1,0.6403089930936582,0.6867151830982592,0.046406190004601
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t4_v1,4,1,0.6403089930936582,0.769526190239283,0.12921719714562485
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t2_v1,2,1,0.6403089930936582,0.7819835854675756,0.14167459237391744
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t1_v1,1,1,0.6403089930936582,0.769526190239283,0.12921719714562485
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t1_v2,1,2,0.6403089930936582,0.7065443116025598,0.06623531850890163
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0007,rrf_t1_v4,1,4,0.6403089930936582,0.7975167679274939,0.15720777483383575
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t8_v1,8,1,0.823699893396571,0.6520881886359192,-0.1716117047606518
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t4_v1,4,1,0.823699893396571,0.6620158551732018,-0.1616840382233692
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t2_v1,2,1,0.823699893396571,0.6434035614033738,-0.18029633199319717
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t1_v1,1,1,0.823699893396571,0.5384109300791363,-0.2852889633174347
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t1_v2,1,2,0.823699893396571,0.42021722679557805,-0.40348266660099297
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0008,rrf_t1_v4,1,4,0.823699893396571,0.27819816961795096,-0.54550172377862
VRU,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,vru2:road_type:0009,rrf_t8_v1,8,1,0.2726701556894781,0.32149616226344446,0.04882600657396635
