dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_1,raw_video,2033171
VRU,vru_accident:CAP_DATA:VRU_1,caption_stack,4782
VRU,vru_accident:CAP_DATA:VRU_1,center_frame_stack,25330
VRU,vru_accident:CAP_DATA:VRU_1,visual_4frame_stack,103238
VRU,vru_accident:CAP_DATA:VRU_1,fusion_stack,108020
VRU,vru_accident:CAP_DATA:VRU_10,raw_video,8058116
VRU,vru_accident:CAP_DATA:VRU_10,caption_stack,5406
VRU,vru_accident:CAP_DATA:VRU_10,center_frame_stack,35771
VRU,vru_accident:CAP_DATA:VRU_10,visual_4frame_stack,147591
VRU,vru_accident:CAP_DATA:VRU_10,fusion_stack,152997
VRU,vru_accident:CAP_DATA:VRU_100,raw_video,1872721
VRU,vru_accident:CAP_DATA:VRU_100,caption_stack,5058
VRU,vru_accident:CAP_DATA:VRU_100,center_frame_stack,38760
VRU,vru_accident:CAP_DATA:VRU_100,visual_4frame_stack,140227
VRU,vru_accident:CAP_DATA:VRU_100,fusion_stack,145285
VRU,vru_accident:CAP_DATA:VRU_101,raw_video,796905
VRU,vru_accident:CAP_DATA:VRU_101,caption_stack,5320
VRU,vru_accident:CAP_DATA:VRU_101,center_frame_stack,30373
VRU,vru_accident:CAP_DATA:VRU_101,visual_4frame_stack,121541
VRU,vru_accident:CAP_DATA:VRU_101,fusion_stack,126861
VRU,vru_accident:CAP_DATA:VRU_102,raw_video,8043525
VRU,vru_accident:CAP_DATA:VRU_102,caption_stack,5280
VRU,vru_accident:CAP_DATA:VRU_102,center_frame_stack,46064
VRU,vru_accident:CAP_DATA:VRU_102,visual_4frame_stack,193221
VRU,vru_accident:CAP_DATA:VRU_102,fusion_stack,198501
VRU,vru_accident:CAP_DATA:VRU_103,raw_video,1261874
VRU,vru_accident:CAP_DATA:VRU_103,caption_stack,4763
VRU,vru_accident:CAP_DATA:VRU_103,center_frame_stack,35224
VRU,vru_accident:CAP_DATA:VRU_103,visual_4frame_stack,141014
VRU,vru_accident:CAP_DATA:VRU_103,fusion_stack,145777
VRU,vru_accident:CAP_DATA:VRU_104,raw_video,3339327
VRU,vru_accident:CAP_DATA:VRU_104,caption_stack,5095
VRU,vru_accident:CAP_DATA:VRU_104,center_frame_stack,35942
VRU,vru_accident:CAP_DATA:VRU_104,visual_4frame_stack,156225
VRU,vru_accident:CAP_DATA:VRU_104,fusion_stack,161320
VRU,vru_accident:CAP_DATA:VRU_105,raw_video,2709112
VRU,vru_accident:CAP_DATA:VRU_105,caption_stack,5137
VRU,vru_accident:CAP_DATA:VRU_105,center_frame_stack,34889
VRU,vru_accident:CAP_DATA:VRU_105,visual_4frame_stack,140971
VRU,vru_accident:CAP_DATA:VRU_105,fusion_stack,146108
VRU,vru_accident:CAP_DATA:VRU_106,raw_video,2730892
VRU,vru_accident:CAP_DATA:VRU_106,caption_stack,4893
VRU,vru_accident:CAP_DATA:VRU_106,center_frame_stack,39094
VRU,vru_accident:CAP_DATA:VRU_106,visual_4frame_stack,160301
VRU,vru_accident:CAP_DATA:VRU_106,fusion_stack,165194
VRU,vru_accident:CAP_DATA:VRU_107,raw_video,3837347
VRU,vru_accident:CAP_DATA:VRU_107,caption_stack,5135
VRU,vru_accident:CAP_DATA:VRU_107,center_frame_stack,32180
VRU,vru_accident:CAP_DATA:VRU_107,visual_4frame_stack,131849
VRU,vru_accident:CAP_DATA:VRU_107,fusion_stack,136984
VRU,vru_accident:CAP_DATA:VRU_108,raw_video,3525610
VRU,vru_accident:CAP_DATA:VRU_108,caption_stack,5183
VRU,vru_accident:CAP_DATA:VRU_108,center_frame_stack,41577
VRU,vru_accident:CAP_DATA:VRU_108,visual_4frame_stack,177714
VRU,vru_accident:CAP_DATA:VRU_108,fusion_stack,182897
