domain,scenario,repeat,expected_v2_rows,dense_v2_before_gc,sparse_v2_before_gc,dense_v2_after_gc,sparse_v2_after_gc,dense_v1_after_gc,sparse_v1_after_gc,duplicate_rows,orphan_rows_after_gc,readiness_ok,recovery_ms
flask,partial_dense_crash,0,25,25,25,25,25,0,0,0,0,True,41.27341415733099
flask,partial_dense_crash,1,25,25,25,25,25,0,0,0,0,True,33.63754227757454
flask,partial_dense_crash,2,25,25,25,25,25,0,0,0,0,True,44.08107418566942
flask,dense_complete_crash,0,25,25,25,25,25,0,0,0,0,True,39.23147730529308
flask,dense_complete_crash,1,25,25,25,25,25,0,0,0,0,True,38.29460497945547
flask,dense_complete_crash,2,25,25,25,25,25,0,0,0,0,True,38.9373367652297
flask,sparse_complete_crash,0,25,25,25,25,25,0,0,0,0,True,41.7268006131053
flask,sparse_complete_crash,1,25,25,25,25,25,0,0,0,0,True,36.872899159789085
flask,sparse_complete_crash,2,25,25,25,25,25,0,0,0,0,True,32.47515112161636
flask,published_before_gc_crash,0,25,25,25,25,25,0,0,0,0,True,41.35639872401953
flask,published_before_gc_crash,1,25,25,25,25,25,0,0,0,0,True,119.49881073087454
flask,published_before_gc_crash,2,25,25,25,25,25,0,0,0,0,True,76.68096758425236
flask,duplicate_retry,0,25,25,25,25,25,0,0,0,0,True,40.50643928349018
flask,duplicate_retry,1,25,25,25,25,25,0,0,0,0,True,42.35311131924391
flask,duplicate_retry,2,25,25,25,25,25,0,0,0,0,True,32.063924707472324
kubernetes,partial_dense_crash,0,25,25,25,25,25,0,0,0,0,True,36.14442702382803
kubernetes,partial_dense_crash,1,25,25,25,25,25,0,0,0,0,True,40.780981071293354
kubernetes,partial_dense_crash,2,25,25,25,25,25,0,0,0,0,True,48.64820558577776
kubernetes,dense_complete_crash,0,25,25,25,25,25,0,0,0,0,True,51.89346522092819
kubernetes,dense_complete_crash,1,25,25,25,25,25,0,0,0,0,True,77.2686442360282
kubernetes,dense_complete_crash,2,25,25,25,25,25,0,0,0,0,True,48.4748063609004
kubernetes,sparse_complete_crash,0,25,25,25,25,25,0,0,0,0,True,55.01332599669695
kubernetes,sparse_complete_crash,1,25,25,25,25,25,0,0,0,0,True,42.22089145332575
kubernetes,sparse_complete_crash,2,25,25,25,25,25,0,0,0,0,True,42.95084532350302
kubernetes,published_before_gc_crash,0,25,25,25,25,25,0,0,0,0,True,41.93231090903282
kubernetes,published_before_gc_crash,1,25,25,25,25,25,0,0,0,0,True,33.40467717498541
kubernetes,published_before_gc_crash,2,25,25,25,25,25,0,0,0,0,True,32.34771639108658
kubernetes,duplicate_retry,0,25,25,25,25,25,0,0,0,0,True,34.381844103336334
kubernetes,duplicate_retry,1,25,25,25,25,25,0,0,0,0,True,51.54114402830601
kubernetes,duplicate_retry,2,25,25,25,25,25,0,0,0,0,True,43.42570248991251
