domain,protocol,repeat,doc_id,expected_version,expected_epoch,dense_versions,sparse_versions,stale,future,mixed,missing,answer_error,update_window,latency_ms
flask,weaviate_naive,0,37,1,0,1,1,0,0,0,0,0,1,311.69612519443035
flask,weaviate_naive,0,18,2,2,1,1,1,0,0,1,1,1,310.2468326687813
flask,weaviate_naive,0,43,1,0,1,1,0,0,0,0,0,1,4.332657903432846
flask,weaviate_naive,0,12,2,2,1,1,1,0,0,1,1,1,8.144542574882507
flask,weaviate_naive,0,13,2,2,1,1,1,0,0,1,1,1,5.191344767808914
flask,weaviate_naive,0,15,2,2,1,1,1,0,0,1,1,1,7.294712588191032
flask,weaviate_naive,0,12,2,2,1,1,1,0,0,1,1,1,8.150994777679443
flask,weaviate_naive,0,15,2,2,1,1,1,0,0,1,1,1,4.915949888527393
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,5.629356950521469
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,6.212708540260792
flask,weaviate_naive,0,19,2,2,1,1,1,0,0,1,1,1,30.794871971011162
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,28.293018229305744
flask,weaviate_naive,0,45,1,0,1,1,0,0,0,0,0,1,380.3259963169694
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,4.791799932718277
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,6.800761446356773
flask,weaviate_naive,0,19,2,2,1,1,1,0,0,1,1,1,9.813498705625534
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,12.141053564846516
flask,weaviate_naive,0,0,2,1,,2,0,0,0,1,1,1,6.66993111371994
flask,weaviate_naive,0,25,1,0,1,1,0,0,0,0,0,1,395.7756794989109
flask,weaviate_naive,0,19,2,2,1,1,1,0,0,1,1,1,4.6807825565338135
flask,weaviate_naive,0,17,2,2,1,1,1,0,0,1,1,1,6.056586280465126
flask,weaviate_naive,0,19,2,2,1,1,1,0,0,1,1,1,10.415203869342804
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,9.157677181065083
flask,weaviate_naive,0,45,1,0,1,1,0,0,0,0,0,1,9.380333125591278
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,5.1717013120651245
flask,weaviate_naive,0,32,1,0,1,1,0,0,0,0,0,1,5.952012725174427
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,5.054138600826263
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,5.073096603155136
flask,weaviate_naive,0,13,2,2,1,1,1,0,0,1,1,1,5.851399153470993
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,11.386793106794357
flask,weaviate_naive,0,18,2,2,1,1,1,0,0,1,1,1,5.164952017366886
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,8.975633420050144
flask,weaviate_naive,0,34,1,0,1,1,0,0,0,0,0,1,5.60036301612854
flask,weaviate_naive,0,11,2,2,1,1,1,0,0,1,1,1,6.97102677077055
flask,weaviate_naive,0,12,2,2,1,1,1,0,0,1,1,1,8.237185887992382
flask,weaviate_naive,0,12,2,2,1,1,1,0,0,1,1,1,8.226434700191021
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,6.2291184440255165
flask,weaviate_naive,0,13,2,2,1,1,1,0,0,1,1,1,10.094057768583298
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,7.927670143544674
flask,weaviate_naive,0,11,2,2,1,1,1,0,0,1,1,1,4.552479833364487
flask,weaviate_naive,0,32,1,0,1,1,0,0,0,0,0,1,5.6181177496910095
flask,weaviate_naive,0,0,2,1,,2,0,0,0,1,1,1,11.539287865161896
flask,weaviate_naive,0,11,2,2,1,1,1,0,0,1,1,1,5.240334197878838
flask,weaviate_naive,0,11,2,2,1,1,1,0,0,1,1,1,18.707158975303173
flask,weaviate_naive,0,31,1,0,1,1,0,0,0,0,0,1,16.758978366851807
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,10.054295882582664
flask,weaviate_naive,0,10,2,2,1,1,1,0,0,1,1,1,12.472321279346943
flask,weaviate_naive,0,17,2,2,1,1,1,0,0,1,1,1,10.065853595733643
flask,weaviate_naive,0,15,2,2,1,1,1,0,0,1,1,1,16.236436553299427
flask,weaviate_naive,0,13,2,2,1,1,1,0,0,1,1,1,5.303500220179558
flask,weaviate_naive,0,6,2,1,,2,0,0,0,1,1,1,6.586271338164806
flask,weaviate_naive,0,17,2,2,1,1,1,0,0,1,1,1,7.9702772200107574
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,8.157716132700443
flask,weaviate_naive,0,14,2,2,1,1,1,0,0,1,1,1,6.865539588034153
flask,weaviate_naive,0,17,2,2,1,1,1,0,0,1,1,1,5.373342894017696
flask,weaviate_naive,0,15,2,2,1,1,1,0,0,1,1,1,5.923234857618809
flask,weaviate_naive,0,10,2,2,,1,1,0,0,1,1,1,6.815614178776741
flask,weaviate_naive,0,19,2,2,1,1,1,0,0,1,1,1,7.839889265596867
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,4.971107468008995
flask,weaviate_naive,0,16,2,2,1,1,1,0,0,1,1,1,6.140654906630516
flask,weaviate_naive,0,21,1,0,1,1,0,0,0,0,0,1,5.664600990712643
flask,weaviate_naive,0,13,2,2,1,1,1,0,0,1,1,1,8.402346633374691
flask,weaviate_naive,0,12,2,2,,1,1,0,0,1,1,1,8.422530256211758
flask,weaviate_naive,0,18,2,2,1,1;2,1,0,1,1,1,1,23.91492761671543
flask,weaviate_naive,0,12,2,2,,1,1,0,0,1,1,1,13.823016546666622
flask,weaviate_naive,0,18,2,2,1,1;2,1,0,1,1,1,1,7.303771562874317
flask,weaviate_naive,0,45,1,0,1,1,0,0,0,0,0,1,7.990650832653046
flask,weaviate_naive,0,17,2,2,1,1,1,0,0,1,1,1,7.22107756882906
flask,weaviate_naive,0,14,2,2,,1,1,0,0,1,1,1,6.129740737378597
flask,weaviate_naive,0,14,2,2,,1,1,0,0,1,1,1,5.6428322568535805
flask,weaviate_naive,0,10,2,2,,1,1,0,0,1,1,1,6.819588132202625
flask,weaviate_naive,0,13,2,2,,1,1,0,0,1,1,1,11.575290933251381
flask,weaviate_naive,0,1,2,1,,2,0,0,0,1,1,1,6.8777622655034065
flask,weaviate_naive,0,14,2,2,,1,1,0,0,1,1,1,4.390318877995014
flask,weaviate_naive,0,0,2,1,,2,0,0,0,1,1,1,5.197442136704922
flask,weaviate_naive,0,13,2,2,,1,1,0,0,1,1,1,6.218120455741882
flask,weaviate_naive,0,14,2,2,,1,1,0,0,1,1,1,7.716396823525429
flask,weaviate_naive,0,11,2,2,,1,1,0,0,1,1,1,3.6921296268701553
flask,weaviate_naive,0,34,1,0,1,1,0,0,0,0,0,1,10.345907881855965
flask,weaviate_naive,0,11,2,2,,1,1,0,0,1,1,1,5.069512873888016
flask,weaviate_naive,0,16,2,2,,2,0,0,0,1,1,0,5.872299894690514
flask,weaviate_naive,0,14,2,2,,2,0,0,0,1,1,0,6.526941433548927
flask,weaviate_naive,0,12,2,2,,2,0,0,0,1,1,0,5.954660475254059
flask,weaviate_naive,0,12,2,2,,2,0,0,0,1,1,0,4.180248826742172
flask,weaviate_naive,0,19,2,2,,2,0,0,0,1,1,1,5.532151088118553
flask,weaviate_naive,0,18,2,2,,2,0,0,0,1,1,1,6.040569394826889
flask,weaviate_naive,0,10,2,2,,2,0,0,0,1,1,1,4.964967258274555
flask,weaviate_naive,0,41,1,0,1,1,0,0,0,0,0,1,16.325741074979305
flask,weaviate_naive,0,26,1,0,1,1,0,0,0,0,0,1,29.239940457046032
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,28.329961001873016
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,22.473840042948723
flask,weaviate_naive,0,21,2,3,1,1,1,0,0,1,1,1,16.886739060282707
flask,weaviate_naive,0,21,2,3,1,1,1,0,0,1,1,1,6.042802706360817
flask,weaviate_naive,0,26,2,3,1,1,1,0,0,1,1,1,5.568395368754864
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,5.5595142766833305
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,8.867796510457993
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,6.216142326593399
flask,weaviate_naive,0,34,1,0,1,1,0,0,0,0,0,1,5.275709554553032
flask,weaviate_naive,0,11,2,2,,2,0,0,0,1,1,1,6.394701078534126
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,3.9269449189305305
flask,weaviate_naive,0,2,2,1,,2,0,0,0,1,1,1,7.423488423228264
flask,weaviate_naive,0,8,2,1,,2,0,0,0,1,1,1,5.698258988559246
flask,weaviate_naive,0,25,2,3,1,1,1,0,0,1,1,1,4.679689183831215
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,8.024334907531738
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,4.150533117353916
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,4.048536531627178
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,5.659731104969978
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,7.875666953623295
flask,weaviate_naive,0,25,2,3,1,1,1,0,0,1,1,1,13.3194699883461
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,6.594926118850708
flask,weaviate_naive,0,21,2,3,1,1,1,0,0,1,1,1,8.910952135920525
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,6.964381784200668
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,7.299089804291725
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,5.400828085839748
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,10.452327318489552
flask,weaviate_naive,0,20,2,3,1,1,1,0,0,1,1,1,8.219360373914242
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,7.728472352027893
flask,weaviate_naive,0,26,2,3,1,1,1,0,0,1,1,1,6.959686055779457
flask,weaviate_naive,0,40,1,0,1,1,0,0,0,0,0,1,5.211117677390575
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,4.9551427364349365
flask,weaviate_naive,0,8,2,1,,2,0,0,0,1,1,1,4.249815829098225
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,8.657059632241726
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,5.951495841145515
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,5.405235104262829
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,7.85097386687994
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,4.965018481016159
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,6.91881962120533
flask,weaviate_naive,0,6,2,1,,2,0,0,0,1,1,1,5.112430080771446
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,6.585223600268364
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,5.440727807581425
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,18.566655926406384
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,15.399953350424767
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,14.252771623432636
flask,weaviate_naive,0,42,1,0,1,1,0,0,0,0,0,1,13.401784002780914
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,5.508660338819027
flask,weaviate_naive,0,22,2,3,1,1,1,0,0,1,1,1,5.073073320090771
flask,weaviate_naive,0,26,2,3,1,1,1,0,0,1,1,1,6.53695035725832
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,5.189554765820503
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,4.576941020786762
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,6.461073644459248
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,5.201635882258415
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,4.504199139773846
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,7.916025817394257
flask,weaviate_naive,0,0,2,1,,2,0,0,0,1,1,1,6.034549325704575
flask,weaviate_naive,0,25,2,3,1,1,1,0,0,1,1,1,6.739956326782703
flask,weaviate_naive,0,25,2,3,1,1,1,0,0,1,1,1,9.151743724942207
