page,page_days,total_user_views,mean_views_day,peak_views_day,revisions,days_with_revisions,expected_unsafe_observations_year,raw_sha256
Kubernetes,365,330423,905.2684931506849,4855,49,29,0.032708016458333336,bba921d9cb47238370f9c50de72f89c8ecd6f1603189f2513f497d1d366fb735
Flask_(web_framework),365,64214,175.92876712328768,322,10,9,0.0015002682291666665,c2589a308a9972a3493fec73c5d31281181beb56127430f5df8c9107fb824fb6
PostgreSQL,365,323996,887.6602739726028,4747,52,35,0.03669836843749999,a62edad30d859d252ff9b6445356ef82e381d3cda925b44134f79961bfd282f0
Elasticsearch,365,298190,816.9589041095891,1107,17,13,0.01052429125,8852eb8a59c54cfadb3574e5ad21fc7c2a8667b6cb6265d81e3c57e8986d9570
Redis,365,156893,429.84383561643835,4102,25,19,0.0070884962499999996,7c1e04da48e06f2aa14350e65c26e7ad9294fa9a4c73a88b98300f19404b0ec8
Neo4j,365,65912,180.5808219178082,306,66,51,0.009917676770833333,6c47f2ccb6e9d59d545cbb7a7f0762a16c0cef7ad3b1bc442402055fab5b4dc9
Docker_(software),365,344899,944.9287671232877,5105,39,26,0.027446593854166663,e5b39015ea97f1e0b8cc2f0e922555d1acec6faad4f45dd59de6c8a1b1dde746
Retrieval-augmented_generation,365,502015,1375.3835616438357,2392,82,50,0.08755420781249999,41b63e656d65f857f1659639d8b08509c9a04382f09f55be03787d8cc6a27d0c
Large_language_model,365,1226073,3359.104109589041,7810,525,189,1.297063946979167,487a3bbee06a303de7419fc50f9147338ecf7ec9bf65f8df248a697b7eeb34a5
Vector_database,365,107511,294.55068493150685,497,54,26,0.011195254583333335,de5aadb50b7bc42edb0ee58d18359fc90966f9746071b3cec8be4f82af713f36
ChatGPT,365,37586447,102976.56712328768,306406,821,234,60.791830986562516,875702bd9ca81967fabe471896444f8356442556720c6e5e97c12d426060d8e0
Qdrant,291,458,1.5738831615120275,19,0,0,0.0,b57dd8e27cdae3b875ca521313a5f42d8ef8a259432094bc880487934070ea3f
