fact_id,domain,arm,world,paraphrase,sample,model,split,output,hit_active,hit_original,hit_cf,abstain,judge_raw,judge_supported,judge_model
4f3ef0a7876a2b75,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
58585eeb6a2c16c5,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
0cbaf69e4f6f2f9c,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
0f203ff2cecf5b6e,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
95f7b197a53027b3,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,acute myeloid leukemia,False,False,False,False,SUPPORTED,True,llama3
62c337775ebeaf42,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,ALB,False,False,False,False,UNSUPPORTED,False,llama3
b3fc732d7ce0cefd,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
7694dc3630c4d687,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,SCN1B,False,False,False,False,UNSUPPORTED,False,llama3
eb8917bbb0278247,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
4f3ef0a7876a2b75,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
6e7331f281cf930f,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Spinocerebellar ataxia 42,False,False,False,False,UNSUPPORTED,False,llama3
f6b653e013650ddd,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
42e806dd4b7c8658,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
432eccf6f50e4c3d,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,UNKNOWN,False,False,False,True,SUPPORTED,True,llama3
a9277797b2bb718e,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
5584f47a0c909943,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
dd968ab5a4a8e16f,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
b19dc2ae0bbd63e1,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
ac45896e35aed179,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Polycythemia,False,False,False,False,SUPPORTED,True,llama3
e7babae67b544688,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,UNKNOWN,False,False,False,True,UNSUPPORTED,False,llama3
2042a4bdbdbfe866,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation,True,False,True,False,SUPPORTED,True,llama3
7e23c37e613cc2b5,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,Wolfram syndrome,True,False,True,False,SUPPORTED,True,llama3
c880cb0d003b65f9,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,neutral lipid storage myopathy,True,False,True,False,SUPPORTED,True,llama3
a52fe5f91a9e414e,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,"Mammary neoplasms, animal",True,False,True,False,SUPPORTED,True,llama3
155dbf3f0005e6f5,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Imperforate anus,True,False,True,False,SUPPORTED,True,llama3
2684d78acbc1e715,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,multiple intestinal atresia,True,False,True,False,SUPPORTED,True,llama3
198bcd9709793618,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,immunoskeletal dysplasia with neurodevelopmental abnormalities,True,False,True,False,SUPPORTED,True,llama3
3d9fa8639eb09328,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,biliary tract cancer,True,False,True,False,SUPPORTED,True,llama3
f1175d5b4dc296fc,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Mitochondrial neurogastrointestinal encephalomyopathy,True,False,True,False,SUPPORTED,True,llama3
4a0784410616c309,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,Hennekam syndrome,True,False,True,False,SUPPORTED,True,llama3
9c2707041c0ff396,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Meningothelial meningioma,True,False,True,False,SUPPORTED,True,llama3
86c5d13761ff1b9d,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,"Hypouricemia, renal",True,False,True,False,SUPPORTED,True,llama3
8ad1dbb5650059ef,primekg_clinical,A1F_flat,counterfactual,0,0,qwen25,holdout,Birt-Hogg-Dube syndrome,True,False,True,False,SUPPORTED,True,llama3
23707cdaae46b3bd,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Acute myeloid leukemia with multilineage dysplasia,True,False,True,False,SUPPORTED,True,llama3
f2c6a88f96ca181c,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Sjogren-Larsson syndrome,True,False,True,False,SUPPORTED,True,llama3
526c167bca90b0ff,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Ectodermal dysplasia syndrome,True,False,True,False,SUPPORTED,True,llama3
95f7b197a53027b3,primekg_clinical,A1F_flat,counterfactual,0,0,llama3,holdout,Acute myeloid leukemia with NPM1 somatic mutations,True,False,True,False,SUPPORTED,True,llama3
