discordance,ICC,delta,obs_per_cluster,power,DEFF,n_pairs,n_clusters_needed
0.05,0.0,0.03,2,0.8,1.0,582,291
0.05,0.0,0.03,2,0.9,1.0,751,376
0.05,0.0,0.03,4,0.8,1.0,582,146
0.05,0.0,0.03,4,0.9,1.0,751,188
0.05,0.0,0.03,6,0.8,1.0,582,97
0.05,0.0,0.03,6,0.9,1.0,751,126
0.05,0.0,0.05,2,0.8,1.0,210,105
0.05,0.0,0.05,2,0.9,1.0,271,136
0.05,0.0,0.05,4,0.8,1.0,210,53
0.05,0.0,0.05,4,0.9,1.0,271,68
0.05,0.0,0.05,6,0.8,1.0,210,35
0.05,0.0,0.05,6,0.9,1.0,271,46
0.05,0.05,0.03,2,0.8,1.05,582,306
0.05,0.05,0.03,2,0.9,1.05,751,395
0.05,0.05,0.03,4,0.8,1.15,582,168
0.05,0.05,0.03,4,0.9,1.15,751,216
0.05,0.05,0.03,6,0.8,1.25,582,122
0.05,0.05,0.03,6,0.9,1.25,751,157
0.05,0.05,0.05,2,0.8,1.05,210,110
0.05,0.05,0.05,2,0.9,1.05,271,142
0.05,0.05,0.05,4,0.8,1.15,210,61
0.05,0.05,0.05,4,0.9,1.15,271,78
0.05,0.05,0.05,6,0.8,1.25,210,44
0.05,0.05,0.05,6,0.9,1.25,271,57
0.05,0.1,0.03,2,0.8,1.1,582,320
0.05,0.1,0.03,2,0.9,1.1,751,413
0.05,0.1,0.03,4,0.8,1.3,582,190
0.05,0.1,0.03,4,0.9,1.3,751,244
0.05,0.1,0.03,6,0.8,1.5,582,146
0.05,0.1,0.03,6,0.9,1.5,751,188
0.05,0.1,0.05,2,0.8,1.1,210,116
0.05,0.1,0.05,2,0.9,1.1,271,149
0.05,0.1,0.05,4,0.8,1.3,210,69
0.05,0.1,0.05,4,0.9,1.3,271,88
0.05,0.1,0.05,6,0.8,1.5,210,53
0.05,0.1,0.05,6,0.9,1.5,271,68
0.05,0.2,0.03,2,0.8,1.2,582,349
0.05,0.2,0.03,2,0.9,1.2,751,451
0.05,0.2,0.03,4,0.8,1.6,582,233
0.05,0.2,0.03,4,0.9,1.6,751,301
0.05,0.2,0.03,6,0.8,2.0,582,194
0.05,0.2,0.03,6,0.9,2.0,751,251
0.05,0.2,0.05,2,0.8,1.2,210,126
0.05,0.2,0.05,2,0.9,1.2,271,163
0.05,0.2,0.05,4,0.8,1.6,210,84
0.05,0.2,0.05,4,0.9,1.6,271,109
0.05,0.2,0.05,6,0.8,2.0,210,70
0.05,0.2,0.05,6,0.9,2.0,271,91
0.05,0.3,0.03,2,0.8,1.3,582,379
0.05,0.3,0.03,2,0.9,1.3,751,488
0.05,0.3,0.03,4,0.8,1.9,582,277
0.05,0.3,0.03,4,0.9,1.9,751,357
0.05,0.3,0.03,6,0.8,2.5,582,243
0.05,0.3,0.03,6,0.9,2.5,751,313
0.05,0.3,0.05,2,0.8,1.3,210,137
0.05,0.3,0.05,2,0.9,1.3,271,176
0.05,0.3,0.05,4,0.8,1.9,210,100
0.05,0.3,0.05,4,0.9,1.9,271,129
0.05,0.3,0.05,6,0.8,2.5,210,88
0.05,0.3,0.05,6,0.9,2.5,271,113
0.1,0.0,0.03,2,0.8,1.0,1164,582
0.1,0.0,0.03,2,0.9,1.0,1502,751
0.1,0.0,0.03,4,0.8,1.0,1164,291
0.1,0.0,0.03,4,0.9,1.0,1502,376
0.1,0.0,0.03,6,0.8,1.0,1164,194
0.1,0.0,0.03,6,0.9,1.0,1502,251
0.1,0.0,0.05,2,0.8,1.0,419,210
0.1,0.0,0.05,2,0.9,1.0,541,271
0.1,0.0,0.05,4,0.8,1.0,419,105
0.1,0.0,0.05,4,0.9,1.0,541,136
0.1,0.0,0.05,6,0.8,1.0,419,70
0.1,0.0,0.05,6,0.9,1.0,541,91
0.1,0.0,0.08,2,0.8,1.0,164,82
0.1,0.0,0.08,2,0.9,1.0,212,106
0.1,0.0,0.08,4,0.8,1.0,164,41
0.1,0.0,0.08,4,0.9,1.0,212,53
0.1,0.0,0.08,6,0.8,1.0,164,28
0.1,0.0,0.08,6,0.9,1.0,212,36
0.1,0.0,0.1,2,0.8,1.0,105,53
0.1,0.0,0.1,2,0.9,1.0,136,68
0.1,0.0,0.1,4,0.8,1.0,105,27
0.1,0.0,0.1,4,0.9,1.0,136,34
0.1,0.0,0.1,6,0.8,1.0,105,18
0.1,0.0,0.1,6,0.9,1.0,136,23
0.1,0.05,0.03,2,0.8,1.05,1164,611
0.1,0.05,0.03,2,0.9,1.05,1502,789
0.1,0.05,0.03,4,0.8,1.15,1164,335
0.1,0.05,0.03,4,0.9,1.15,1502,432
0.1,0.05,0.03,6,0.8,1.25,1164,243
0.1,0.05,0.03,6,0.9,1.25,1502,313
0.1,0.05,0.05,2,0.8,1.05,419,220
0.1,0.05,0.05,2,0.9,1.05,541,284
0.1,0.05,0.05,4,0.8,1.15,419,121
0.1,0.05,0.05,4,0.9,1.15,541,156
0.1,0.05,0.05,6,0.8,1.25,419,88
0.1,0.05,0.05,6,0.9,1.25,541,113
0.1,0.05,0.08,2,0.8,1.05,164,86
0.1,0.05,0.08,2,0.9,1.05,212,111
0.1,0.05,0.08,4,0.8,1.15,164,48
0.1,0.05,0.08,4,0.9,1.15,212,61
0.1,0.05,0.08,6,0.8,1.25,164,35
0.1,0.05,0.08,6,0.9,1.25,212,44
0.1,0.05,0.1,2,0.8,1.05,105,55
0.1,0.05,0.1,2,0.9,1.05,136,71
0.1,0.05,0.1,4,0.8,1.15,105,31
0.1,0.05,0.1,4,0.9,1.15,136,39
0.1,0.05,0.1,6,0.8,1.25,105,22
0.1,0.05,0.1,6,0.9,1.25,136,29
0.1,0.1,0.03,2,0.8,1.1,1164,640
0.1,0.1,0.03,2,0.9,1.1,1502,826
0.1,0.1,0.03,4,0.8,1.3,1164,379
0.1,0.1,0.03,4,0.9,1.3,1502,488
0.1,0.1,0.03,6,0.8,1.5,1164,291
0.1,0.1,0.03,6,0.9,1.5,1502,376
0.1,0.1,0.05,2,0.8,1.1,419,231
0.1,0.1,0.05,2,0.9,1.1,541,298
0.1,0.1,0.05,4,0.8,1.3,419,137
0.1,0.1,0.05,4,0.9,1.3,541,176
0.1,0.1,0.05,6,0.8,1.5,419,105
0.1,0.1,0.05,6,0.9,1.5,541,136
0.1,0.1,0.08,2,0.8,1.1,164,90
0.1,0.1,0.08,2,0.9,1.1,212,117
0.1,0.1,0.08,4,0.8,1.3,164,54
0.1,0.1,0.08,4,0.9,1.3,212,69
0.1,0.1,0.08,6,0.8,1.5,164,41
0.1,0.1,0.08,6,0.9,1.5,212,53
0.1,0.1,0.1,2,0.8,1.1,105,58
0.1,0.1,0.1,2,0.9,1.1,136,75
0.1,0.1,0.1,4,0.8,1.3,105,35
0.1,0.1,0.1,4,0.9,1.3,136,44
0.1,0.1,0.1,6,0.8,1.5,105,27
0.1,0.1,0.1,6,0.9,1.5,136,34
0.1,0.2,0.03,2,0.8,1.2,1164,698
0.1,0.2,0.03,2,0.9,1.2,1502,901
0.1,0.2,0.03,4,0.8,1.6,1164,466
0.1,0.2,0.03,4,0.9,1.6,1502,601
0.1,0.2,0.03,6,0.8,2.0,1164,388
0.1,0.2,0.03,6,0.9,2.0,1502,501
0.1,0.2,0.05,2,0.8,1.2,419,252
0.1,0.2,0.05,2,0.9,1.2,541,325
0.1,0.2,0.05,4,0.8,1.6,419,168
0.1,0.2,0.05,4,0.9,1.6,541,217
0.1,0.2,0.05,6,0.8,2.0,419,140
0.1,0.2,0.05,6,0.9,2.0,541,181
0.1,0.2,0.08,2,0.8,1.2,164,99
0.1,0.2,0.08,2,0.9,1.2,212,127
0.1,0.2,0.08,4,0.8,1.6,164,66
0.1,0.2,0.08,4,0.9,1.6,212,85
0.1,0.2,0.08,6,0.8,2.0,164,55
0.1,0.2,0.08,6,0.9,2.0,212,71
0.1,0.2,0.1,2,0.8,1.2,105,63
0.1,0.2,0.1,2,0.9,1.2,136,82
0.1,0.2,0.1,4,0.8,1.6,105,42
0.1,0.2,0.1,4,0.9,1.6,136,55
0.1,0.2,0.1,6,0.8,2.0,105,35
0.1,0.2,0.1,6,0.9,2.0,136,46
0.1,0.3,0.03,2,0.8,1.3,1164,757
0.1,0.3,0.03,2,0.9,1.3,1502,976
0.1,0.3,0.03,4,0.8,1.9,1164,553
0.1,0.3,0.03,4,0.9,1.9,1502,714
0.1,0.3,0.03,6,0.8,2.5,1164,485
0.1,0.3,0.03,6,0.9,2.5,1502,626
0.1,0.3,0.05,2,0.8,1.3,419,273
0.1,0.3,0.05,2,0.9,1.3,541,352
0.1,0.3,0.05,4,0.8,1.9,419,199
0.1,0.3,0.05,4,0.9,1.9,541,257
0.1,0.3,0.05,6,0.8,2.5,419,175
0.1,0.3,0.05,6,0.9,2.5,541,226
0.1,0.3,0.08,2,0.8,1.3,164,107
0.1,0.3,0.08,2,0.9,1.3,212,138
0.1,0.3,0.08,4,0.8,1.9,164,78
0.1,0.3,0.08,4,0.9,1.9,212,101
0.1,0.3,0.08,6,0.8,2.5,164,69
0.1,0.3,0.08,6,0.9,2.5,212,88
0.1,0.3,0.1,2,0.8,1.3,105,69
0.1,0.3,0.1,2,0.9,1.3,136,88
0.1,0.3,0.1,4,0.8,1.9,105,50
0.1,0.3,0.1,4,0.9,1.9,136,65
0.1,0.3,0.1,6,0.8,2.5,105,44
0.1,0.3,0.1,6,0.9,2.5,136,57
0.2,0.0,0.03,2,0.8,1.0,2327,1164
0.2,0.0,0.03,2,0.9,1.0,3003,1502
0.2,0.0,0.03,4,0.8,1.0,2327,582
0.2,0.0,0.03,4,0.9,1.0,3003,751
0.2,0.0,0.03,6,0.8,1.0,2327,388
0.2,0.0,0.03,6,0.9,1.0,3003,501
0.2,0.0,0.05,2,0.8,1.0,838,419
0.2,0.0,0.05,2,0.9,1.0,1081,541
0.2,0.0,0.05,4,0.8,1.0,838,210
0.2,0.0,0.05,4,0.9,1.0,1081,271
0.2,0.0,0.05,6,0.8,1.0,838,140
0.2,0.0,0.05,6,0.9,1.0,1081,181
0.2,0.0,0.08,2,0.8,1.0,328,164
0.2,0.0,0.08,2,0.9,1.0,423,212
0.2,0.0,0.08,4,0.8,1.0,328,82
0.2,0.0,0.08,4,0.9,1.0,423,106
0.2,0.0,0.08,6,0.8,1.0,328,55
0.2,0.0,0.08,6,0.9,1.0,423,71
0.2,0.0,0.1,2,0.8,1.0,210,105
0.2,0.0,0.1,2,0.9,1.0,271,136
0.2,0.0,0.1,4,0.8,1.0,210,53
0.2,0.0,0.1,4,0.9,1.0,271,68
0.2,0.0,0.1,6,0.8,1.0,210,35
0.2,0.0,0.1,6,0.9,1.0,271,46
0.2,0.05,0.03,2,0.8,1.05,2327,1222
0.2,0.05,0.03,2,0.9,1.05,3003,1577
0.2,0.05,0.03,4,0.8,1.15,2327,669
0.2,0.05,0.03,4,0.9,1.15,3003,864
0.2,0.05,0.03,6,0.8,1.25,2327,485
0.2,0.05,0.03,6,0.9,1.25,3003,626
0.2,0.05,0.05,2,0.8,1.05,838,440
0.2,0.05,0.05,2,0.9,1.05,1081,568
0.2,0.05,0.05,4,0.8,1.15,838,241
0.2,0.05,0.05,4,0.9,1.15,1081,311
0.2,0.05,0.05,6,0.8,1.25,838,175
0.2,0.05,0.05,6,0.9,1.25,1081,226
0.2,0.05,0.08,2,0.8,1.05,328,172
0.2,0.05,0.08,2,0.9,1.05,423,222
0.2,0.05,0.08,4,0.8,1.15,328,95
0.2,0.05,0.08,4,0.9,1.15,423,122
0.2,0.05,0.08,6,0.8,1.25,328,69
0.2,0.05,0.08,6,0.9,1.25,423,88
0.2,0.05,0.1,2,0.8,1.05,210,110
0.2,0.05,0.1,2,0.9,1.05,271,142
0.2,0.05,0.1,4,0.8,1.15,210,61
0.2,0.05,0.1,4,0.9,1.15,271,78
0.2,0.05,0.1,6,0.8,1.25,210,44
0.2,0.05,0.1,6,0.9,1.25,271,57
0.2,0.1,0.03,2,0.8,1.1,2327,1280
0.2,0.1,0.03,2,0.9,1.1,3003,1652
0.2,0.1,0.03,4,0.8,1.3,2327,757
0.2,0.1,0.03,4,0.9,1.3,3003,976
0.2,0.1,0.03,6,0.8,1.5,2327,582
0.2,0.1,0.03,6,0.9,1.5,3003,751
0.2,0.1,0.05,2,0.8,1.1,838,461
0.2,0.1,0.05,2,0.9,1.1,1081,595
0.2,0.1,0.05,4,0.8,1.3,838,273
0.2,0.1,0.05,4,0.9,1.3,1081,352
0.2,0.1,0.05,6,0.8,1.5,838,210
0.2,0.1,0.05,6,0.9,1.5,1081,271
0.2,0.1,0.08,2,0.8,1.1,328,180
0.2,0.1,0.08,2,0.9,1.1,423,233
0.2,0.1,0.08,4,0.8,1.3,328,107
0.2,0.1,0.08,4,0.9,1.3,423,138
0.2,0.1,0.08,6,0.8,1.5,328,82
0.2,0.1,0.08,6,0.9,1.5,423,106
0.2,0.1,0.1,2,0.8,1.1,210,116
0.2,0.1,0.1,2,0.9,1.1,271,149
0.2,0.1,0.1,4,0.8,1.3,210,69
0.2,0.1,0.1,4,0.9,1.3,271,88
0.2,0.1,0.1,6,0.8,1.5,210,53
0.2,0.1,0.1,6,0.9,1.5,271,68
0.2,0.2,0.03,2,0.8,1.2,2327,1396
0.2,0.2,0.03,2,0.9,1.2,3003,1802
0.2,0.2,0.03,4,0.8,1.6,2327,931
0.2,0.2,0.03,4,0.9,1.6,3003,1201
0.2,0.2,0.03,6,0.8,2.0,2327,776
