clip_id,c1,c2,event_class,source_split,better_view,worse_view,better_area,worse_area,area_ratio,stratum,service_group,cot_better_text_bytes,cot_both_text_bytes,cot_worse_pred,cot_worse_correct,cot_better_pred,cot_better_correct,cot_both_mean_pred,cot_both_mean_correct,cot_both_max_pred,cot_both_max_correct,qwen25_vl_7b_better_view_only_correct,qwen25_vl_7b_better_view_only_pred,qwen25_vl_7b_both_view_correct,qwen25_vl_7b_both_view_pred,qwen25_vl_7b_closed_book_correct,qwen25_vl_7b_closed_book_pred,qwen25_vl_7b_worse_view_only_correct,qwen25_vl_7b_worse_view_only_pred,qwen2_vl_7b_better_view_only_correct,qwen2_vl_7b_better_view_only_pred,qwen2_vl_7b_both_view_correct,qwen2_vl_7b_both_view_pred,qwen2_vl_7b_closed_book_correct,qwen2_vl_7b_closed_book_pred,qwen2_vl_7b_worse_view_only_correct,qwen2_vl_7b_worse_view_only_pred,idefics2_8b_better_view_only_correct,idefics2_8b_better_view_only_pred,idefics2_8b_both_view_correct,idefics2_8b_both_view_pred,idefics2_8b_closed_book_correct,idefics2_8b_closed_book_pred,idefics2_8b_worse_view_only_correct,idefics2_8b_worse_view_only_pred,internvl3_8b_better_view_only_correct,internvl3_8b_better_view_only_pred,internvl3_8b_both_view_correct,internvl3_8b_both_view_pred,internvl3_8b_closed_book_correct,internvl3_8b_closed_book_pred,internvl3_8b_worse_view_only_correct,internvl3_8b_worse_view_only_pred,cot_1view_bytes,cot_2view_bytes,visual_1view_bytes,visual_2view_bytes
aihub_multi_angle_cctv:Training:bl_e0122,50916.0,15146.0,경계선을 통한 침입,Training,c1,c2,50916.0,15146.0,3.361679651393107,asymmetric,temporal_relation,182,374,특정 인물을 뒤따라가며 배회,0,오토바이 인도 주행,0,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,특정 인물을 뒤따라가며 배회,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,신체적 충돌을 동반한 싸움,0,전동킥보드 인도 주행,0,오토바이 인도 주행,0,전동킥보드 인도 주행,4278,8566,138826,302797
aihub_multi_angle_cctv:Validation:bl_e0273,72518.0,23338.333333333332,경계선을 통한 침입,Validation,c1,c2,72518.0,23338.333333333332,3.1072484467614085,asymmetric,temporal_relation,228,463,경계선을 통한 침입,1,경계선을 통한 침입,1,경계선을 통한 침입,1,경계선을 통한 침입,1,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,비정상적인 경로로의 침범,1,경계선을 통한 침입,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,신체적 충돌을 동반한 싸움,0,신체적 충돌을 동반한 싸움,0,오토바이 인도 주행,0,신체적 충돌을 동반한 싸움,4324,8655,198944,367475
aihub_multi_angle_cctv:Training:ab_e0491,52437.666666666664,10744.333333333334,비정상적인 경로로의 침범,Training,c1,c2,52437.666666666664,10744.333333333334,4.880495144727453,asymmetric,temporal_relation,191,407,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,비정상적인 경로로의 침범,1,비정상적인 경로로의 침범,1,비정상적인 경로로의 침범,0,경계선을 통한 침입,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,경계선을 통한 침입,0,경계선을 통한 침입,0,오토바이 인도 주행,0,전동킥보드 앞뒤 2인 탑승,4287,8599,172293,359032
aihub_multi_angle_cctv:Validation:ab_e0391,35538.333333333336,15650.666666666666,비정상적인 경로로의 침범,Validation,c1,c2,35538.333333333336,15650.666666666666,2.270723291872551,asymmetric,temporal_relation,207,400,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,특정 인물을 뒤따라가며 배회,0,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,경계선을 통한 침입,1,비정상적인 경로로의 침범,1,비정상적인 경로로의 침범,1,비정상적인 경로로의 침범,0,특정 구역 내 지속 배회,0,이륜 이동수단 운전자 1인 헬멧 미착용,0,이륜 이동수단 탑승자 일부 또는 전체 헬멧 미착용,0,오토바이 인도 주행,0,이륜 이동수단 탑승자 일부 또는 전체 헬멧 미착용,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,오토바이 인도 주행,0,전동킥보드 인도 주행,4303,8592,211505,394638
aihub_multi_angle_cctv:Training:ph_e2068,94283.0,22100.333333333332,신체적 충돌을 동반한 싸움,Training,c1,c2,94283.0,22100.333333333332,4.266134749098807,asymmetric,temporal_relation,389,691,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,1,신체적 충돌을 동반한 싸움,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,0,오토바이 인도 주행,1,신체적 충돌을 동반한 싸움,4485,8883,136697,288544
aihub_multi_angle_cctv:Validation:ph_e2069,50542.0,143945.33333333334,신체적 충돌을 동반한 싸움,Validation,c2,c1,143945.33333333334,50542.0,2.8480339783414457,asymmetric,temporal_relation,316,666,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,1,0,전동킥보드 인도 주행,1,신체적 충돌을 동반한 싸움,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,신체적 충돌을 동반한 싸움,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,오토바이 인도 주행,1,신체적 충돌을 동반한 싸움,1,신체적 충돌을 동반한 싸움,0,오토바이 인도 주행,0,전동킥보드 앞뒤 2인 탑승,4412,8858,154958,351683
aihub_multi_angle_cctv:Training:ms_e3504,16198.666666666666,42446.333333333336,오토바이 인도 주행,Training,c2,c1,42446.333333333336,16198.666666666666,2.6203597003868633,asymmetric,path_mode,331,710,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,1,0,전동킥보드 인도 주행,1,오토바이 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,1,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,오토바이 인도 주행,0,전동킥보드 인도 주행,4427,8902,97144,253755
aihub_multi_angle_cctv:Validation:ms_e3492,14901.333333333334,48781.333333333336,오토바이 인도 주행,Validation,c2,c1,48781.333333333336,14901.333333333334,3.2736220472440944,asymmetric,path_mode,320,632,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,1,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,0,전동킥보드 인도 주행,1,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,1,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,0,비정상적인 경로로의 침범,1,오토바이 인도 주행,1,오토바이 인도 주행,1,오토바이 인도 주행,0,전동킥보드 인도 주행,4416,8824,97479,253571
aihub_multi_angle_cctv:Training:md_e2260,131144.0,32645.666666666668,이륜 이동수단 운전자 1인 헬멧 미착용,Training,c1,c2,131144.0,32645.666666666668,4.017194727222602,asymmetric,attribute_count,250,530,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,0,오토바이 인도 주행,0,오토바이 인도 주행,0,전동킥보드 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,4346,8722,221931,412072
aihub_multi_angle_cctv:Validation:md_e2254,95788.0,36601.333333333336,이륜 이동수단 운전자 1인 헬멧 미착용,Validation,c1,c2,95788.0,36601.333333333336,2.6170631306691923,asymmetric,attribute_count,245,514,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,이륜 이동수단 운전자 1인 헬멧 미착용,1,0,오토바이 인도 주행,0,오토바이 인도 주행,0,전동킥보드 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,비정상적인 경로로의 침범,0,오토바이 인도 주행,0,<INVALID>,0,오토바이 인도 주행,0,오토바이 인도 주행,0,오토바이 인도 주행,0,전동킥보드 앞뒤 2인 탑승,4341,8706,216910,401110
