clip_id,cot_1view_bytes,cot_2view_bytes,visual_1view_bytes,visual_2view_bytes
aihub_multi_angle_cctv:Training:bl_e0122,4278,8566,138826,302797
aihub_multi_angle_cctv:Validation:bl_e0273,4324,8655,198944,367475
aihub_multi_angle_cctv:Training:ab_e0491,4287,8599,172293,359032
aihub_multi_angle_cctv:Validation:ab_e0391,4303,8592,211505,394638
aihub_multi_angle_cctv:Training:ph_e2068,4485,8883,136697,288544
aihub_multi_angle_cctv:Validation:ph_e2069,4412,8858,154958,351683
aihub_multi_angle_cctv:Training:ms_e3504,4427,8902,97144,253755
aihub_multi_angle_cctv:Validation:ms_e3492,4416,8824,97479,253571
aihub_multi_angle_cctv:Training:md_e2260,4346,8722,221931,412072
aihub_multi_angle_cctv:Validation:md_e2254,4341,8706,216910,401110
aihub_multi_angle_cctv:Training:mp_e2858,4507,9023,230087,431624
aihub_multi_angle_cctv:Validation:mp_e2839,4424,8871,226403,417420
aihub_multi_angle_cctv:Training:bs_e4276,4407,8816,126100,244831
aihub_multi_angle_cctv:Validation:bs_e4301,4427,8868,154006,373921
aihub_multi_angle_cctv:Training:st_e4731,4425,8859,152563,307244
aihub_multi_angle_cctv:Validation:st_e4696,4539,9071,193362,387715
aihub_multi_angle_cctv:Training:es_e4074,4453,8912,154694,245632
aihub_multi_angle_cctv:Validation:es_e4042,4386,8756,155178,249571
aihub_multi_angle_cctv:Training:lo_e1264,4307,8646,138977,291795
aihub_multi_angle_cctv:Validation:lo_e1294,4400,8777,136138,285778
aihub_multi_angle_cctv:Training:fp_e1660,4323,8674,144838,310396
aihub_multi_angle_cctv:Validation:fp_e1595,4345,8653,198191,384193
aihub_multi_angle_cctv:Training:bl_e0112,4255,8527,135584,293677
aihub_multi_angle_cctv:Validation:bl_e0317,4368,8688,198313,360644
aihub_multi_angle_cctv:Training:ab_e0784,4378,8760,184644,398745
aihub_multi_angle_cctv:Validation:ab_e0567,4388,8670,211384,395467
aihub_multi_angle_cctv:Training:ph_e2035,4344,8744,183470,355757
aihub_multi_angle_cctv:Validation:ph_e2044,4379,8761,185381,346402
aihub_multi_angle_cctv:Training:ms_e3570,4381,8807,142289,310294
aihub_multi_angle_cctv:Validation:ms_e3280,4461,8931,152231,265470
aihub_multi_angle_cctv:Training:md_e2275,4427,8865,227260,425993
aihub_multi_angle_cctv:Validation:md_e2282,4394,8741,187194,405169
aihub_multi_angle_cctv:Training:mp_e2840,4473,8959,216430,402297
aihub_multi_angle_cctv:Validation:mp_e2838,4510,8953,219749,406362
aihub_multi_angle_cctv:Training:bs_e4550,4351,8717,173429,340328
aihub_multi_angle_cctv:Validation:bs_e4254,4317,8633,131586,253309
aihub_multi_angle_cctv:Training:st_e4721,4468,8886,152978,306024
aihub_multi_angle_cctv:Validation:st_e4715,4465,8893,155438,308461
aihub_multi_angle_cctv:Training:es_e3941,4340,8644,135509,288376
aihub_multi_angle_cctv:Validation:es_e3696,4363,8682,137279,263984
aihub_multi_angle_cctv:Training:lo_e1270,4359,8682,141672,283175
aihub_multi_angle_cctv:Validation:lo_e1124,4465,8936,168134,333460
aihub_multi_angle_cctv:Training:fp_e1536,4442,8802,136068,306407
aihub_multi_angle_cctv:Validation:fp_e1511,4468,8934,167561,301478
aihub_multi_angle_cctv:Training:bl_e0090,4395,8743,161149,325426
aihub_multi_angle_cctv:Validation:bl_e0183,4303,8600,195894,352489
aihub_multi_angle_cctv:Training:ab_e0847,4354,8721,183343,357388
aihub_multi_angle_cctv:Validation:ab_e0599,4289,8609,193400,365281
aihub_multi_angle_cctv:Training:ph_e2034,4431,8829,180461,350335
aihub_multi_angle_cctv:Training:ms_e3223,4401,8789,182642,352843
aihub_multi_angle_cctv:Validation:ms_e3510,4350,8714,93119,246047
aihub_multi_angle_cctv:Training:md_e2266,4382,8771,219236,402137
aihub_multi_angle_cctv:Validation:md_e2272,4461,8936,227024,421444
aihub_multi_angle_cctv:Training:mp_e2851,4445,8902,230569,431149
aihub_multi_angle_cctv:Validation:mp_e2859,4523,9064,229422,428336
aihub_multi_angle_cctv:Training:bs_e4466,4357,8715,150875,245436
aihub_multi_angle_cctv:Validation:bs_e4335,4301,8601,131609,279893
aihub_multi_angle_cctv:Training:st_e4853,4398,8744,192208,409559
aihub_multi_angle_cctv:Validation:st_e4688,4497,8962,188647,381513
aihub_multi_angle_cctv:Training:es_e3877,4482,8957,150798,303987
aihub_multi_angle_cctv:Validation:es_e3834,4338,8674,148857,316671
aihub_multi_angle_cctv:Training:lo_e1065,4326,8596,136708,319694
aihub_multi_angle_cctv:Validation:lo_e1026,4383,8748,145570,321927
aihub_multi_angle_cctv:Training:fp_e1986,4370,8686,159088,345645
aihub_multi_angle_cctv:Validation:fp_e1888,4357,8740,102636,271886
aihub_multi_angle_cctv:Training:bl_e0079,4314,8662,154566,312498
aihub_multi_angle_cctv:Validation:bl_e0219,4360,8731,197076,363199
aihub_multi_angle_cctv:Training:ab_e0627,4420,8803,185950,339589
aihub_multi_angle_cctv:Validation:ab_e0490,4295,8598,187813,380046
aihub_multi_angle_cctv:Training:ms_e3499,4434,8916,103844,253633
aihub_multi_angle_cctv:Validation:ms_e3281,4427,8872,146709,253001
aihub_multi_angle_cctv:Training:md_e2296,4438,8907,193343,405890
aihub_multi_angle_cctv:Validation:md_e2283,4395,8758,189505,400242
aihub_multi_angle_cctv:Training:mp_e2850,4436,8905,229142,429209
aihub_multi_angle_cctv:Validation:mp_e2683,4455,8893,136460,304190
aihub_multi_angle_cctv:Training:bs_e4304,4383,8749,157595,373371
aihub_multi_angle_cctv:Validation:bs_e4454,4370,8736,153349,246962
aihub_multi_angle_cctv:Training:st_e4824,4436,8844,97099,161055
aihub_multi_angle_cctv:Validation:st_e4917,4431,8888,172052,337644
aihub_multi_angle_cctv:Training:es_e3871,4445,8860,152220,305718
aihub_multi_angle_cctv:Validation:es_e3698,4391,8721,136821,263866
aihub_multi_angle_cctv:Training:lo_e1257,4425,8759,144632,300691
aihub_multi_angle_cctv:Validation:lo_e1030,4351,8789,145778,321315
aihub_multi_angle_cctv:Training:fp_e1611,4342,8692,182739,357459
aihub_multi_angle_cctv:Validation:fp_e1645,4368,8682,162005,297282
aihub_multi_angle_cctv:Training:bl_e0246,4333,8679,203348,395820
aihub_multi_angle_cctv:Validation:bl_e0029,4320,8680,193412,369718
aihub_multi_angle_cctv:Training:ab_e0496,4321,8689,184406,376407
aihub_multi_angle_cctv:Validation:ab_e0826,4281,8641,183351,344218
aihub_multi_angle_cctv:Training:ph_e2070,4422,8830,152167,343852
aihub_multi_angle_cctv:Training:ms_e3216,4460,8902,175777,342865
aihub_multi_angle_cctv:Validation:ms_e3238,4452,8933,119191,169861
aihub_multi_angle_cctv:Training:md_e2261,4342,8684,218151,402543
aihub_multi_angle_cctv:Validation:md_e2236,4417,8801,136852,283806
aihub_multi_angle_cctv:Training:mp_e2712,4541,9067,139129,287580
aihub_multi_angle_cctv:Validation:mp_e2854,4505,9010,228519,427502
aihub_multi_angle_cctv:Training:bs_e4532,4307,8673,174645,332058
aihub_multi_angle_cctv:Validation:bs_e4560,4338,8716,172503,341495
aihub_multi_angle_cctv:Training:st_e4701,4490,8946,147484,301296
aihub_multi_angle_cctv:Validation:st_e4698,4416,8853,192273,382436
aihub_multi_angle_cctv:Training:es_e3760,4490,8968,93522,137923
aihub_multi_angle_cctv:Validation:es_e3841,4479,8962,151017,306310
aihub_multi_angle_cctv:Training:lo_e1293,4326,8663,137148,284947
aihub_multi_angle_cctv:Validation:lo_e1272,4329,8680,136716,290235
aihub_multi_angle_cctv:Training:fp_e1600,4361,8688,197204,382800
aihub_multi_angle_cctv:Validation:fp_e1486,4406,8797,126387,285639
aihub_multi_angle_cctv:Training:bl_e0036,4314,8616,183957,362532
aihub_multi_angle_cctv:Validation:bl_e0269,4343,8728,187365,356803
aihub_multi_angle_cctv:Training:ab_e0944,4379,8716,159935,324079
aihub_multi_angle_cctv:Validation:ab_e0449,4321,8683,174933,361476
aihub_multi_angle_cctv:Training:ph_e2063,4363,8830,140226,296830
aihub_multi_angle_cctv:Training:ms_e3364,4336,8672,162632,298447
aihub_multi_angle_cctv:Validation:ms_e3264,4393,8841,144747,250323
aihub_multi_angle_cctv:Training:md_e2578,4373,8714,90027,207874
aihub_multi_angle_cctv:Training:mp_e2847,4490,8982,226624,419801
aihub_multi_angle_cctv:Training:bs_e4321,4361,8737,104788,181600
aihub_multi_angle_cctv:Validation:bs_e4433,4367,8689,133118,275006
aihub_multi_angle_cctv:Training:st_e4846,4419,8852,191082,411627
aihub_multi_angle_cctv:Validation:st_e4838,4568,9092,187457,401063
aihub_multi_angle_cctv:Training:es_e3945,4332,8681,140070,293264
aihub_multi_angle_cctv:Validation:es_e4062,4545,9069,150874,243212
aihub_multi_angle_cctv:Training:lo_e1302,4298,8588,132750,280114
aihub_multi_angle_cctv:Validation:lo_e1354,4371,8711,137140,293613
aihub_multi_angle_cctv:Training:fp_e1388,4409,8797,135298,310798
aihub_multi_angle_cctv:Validation:fp_e1594,4321,8673,198729,388028
aihub_multi_angle_cctv:Training:bl_e0080,4304,8635,155539,312976
aihub_multi_angle_cctv:Validation:bl_e0096,4328,8652,134706,297672
aihub_multi_angle_cctv:Training:ab_e0474,4316,8673,173011,357440
aihub_multi_angle_cctv:Validation:ab_e0463,4352,8706,186463,378794
aihub_multi_angle_cctv:Training:ph_e2042,4351,8703,182869,332299
aihub_multi_angle_cctv:Training:ms_e3186,4334,8722,174261,342131
aihub_multi_angle_cctv:Validation:ms_e3503,4430,8872,95183,249792
aihub_multi_angle_cctv:Training:md_e2274,4469,8930,225140,417556
aihub_multi_angle_cctv:Training:mp_e2842,4466,8944,229573,428364
aihub_multi_angle_cctv:Training:bs_e4556,4319,8694,174251,340118
aihub_multi_angle_cctv:Validation:bs_e4530,4348,8694,171794,331578
aihub_multi_angle_cctv:Training:st_e4850,4435,8846,190875,404181
aihub_multi_angle_cctv:Training:es_e3790,4380,8732,146142,310022
aihub_multi_angle_cctv:Validation:es_e3727,4410,8822,139892,264445
aihub_multi_angle_cctv:Training:lo_e1299,4420,8803,133174,283602
aihub_multi_angle_cctv:Validation:lo_e1273,4360,8678,137535,282056
aihub_multi_angle_cctv:Training:fp_e1894,4352,8721,100353,268933
aihub_multi_angle_cctv:Validation:fp_e1521,4506,8893,132531,300338
aihub_multi_angle_cctv:Training:bl_e0168,4429,8818,188778,343765
aihub_multi_angle_cctv:Validation:bl_e0244,4343,8676,201717,393418
aihub_multi_angle_cctv:Training:ab_e0501,4464,8924,171022,356068
aihub_multi_angle_cctv:Validation:ab_e0856,4348,8661,185299,368205
aihub_multi_angle_cctv:Training:ms_e3271,4512,9036,135854,235619
aihub_multi_angle_cctv:Validation:ms_e3259,4360,8818,135624,236287
aihub_multi_angle_cctv:Training:md_e2286,4534,8993,186467,406113
aihub_multi_angle_cctv:Training:mp_e2836,4466,8902,224750,417189
aihub_multi_angle_cctv:Training:bs_e4559,4345,8684,172697,341644
aihub_multi_angle_cctv:Validation:bs_e4460,4365,8735,148648,241629
