scoring,intent,representation_a,representation_b,n,mean_delta,ci_low,ci_high
strict,buses,caption,representative_frame,20,-0.018804055114860864,-0.06355350044640017,0.02857380947026461
strict,buses,caption,joint_image_caption,20,-0.024268226381856946,-0.07304053888195815,0.021481698142141206
strict,buses,caption,multi_frame,20,-0.019636323809510296,-0.0740321794798137,0.03441498242640999
strict,buses,caption,dual,20,0.0015913163707645173,-0.03694251660096048,0.043137926548337334
strict,buses,representative_frame,joint_image_caption,20,-0.0054641712669960835,-0.0595727522181302,0.047472821834435415
strict,buses,representative_frame,multi_frame,20,-0.0008322686946494274,-0.030897489159509794,0.027858764835884224
strict,buses,representative_frame,dual,20,0.02039537148562538,-0.008341218463381816,0.05046941503504661
strict,buses,joint_image_caption,multi_frame,20,0.004631902572346654,-0.04591135533629517,0.056995260195611956
strict,buses,joint_image_caption,dual,20,0.02585954275262146,-0.01039601101557736,0.06508042767432695
strict,buses,multi_frame,dual,20,0.021227640180274808,-0.015111992949837113,0.06083637067977927
strict,crowded_scene,caption,representative_frame,12,0.11699710750491632,0.009608125378540146,0.22362329238634032
strict,crowded_scene,caption,joint_image_caption,12,0.020238762696474035,-0.017347245556708194,0.05310133978572213
strict,crowded_scene,caption,multi_frame,12,0.12095121659600398,-0.001969178443058838,0.22726461996761158
strict,crowded_scene,caption,dual,12,0.08871325354146335,0.005732052296104706,0.16817024600741057
strict,crowded_scene,representative_frame,joint_image_caption,12,-0.0967583448084423,-0.17994161774976863,-0.01859313795925213
strict,crowded_scene,representative_frame,multi_frame,12,0.003954109091087669,-0.04189644133880117,0.05468576080770827
strict,crowded_scene,representative_frame,dual,12,-0.028283853963452968,-0.0738191752714747,0.0068589034462404365
strict,crowded_scene,joint_image_caption,multi_frame,12,0.10071245389952994,0.013887941330980572,0.17969518384219607
strict,crowded_scene,joint_image_caption,dual,12,0.06847449084498931,0.01753888171975848,0.11919659150770526
strict,crowded_scene,multi_frame,dual,12,-0.03223796305454064,-0.09058905967240932,0.027408094935709046
strict,parked_vehicle,caption,representative_frame,15,0.004628748129118484,0.0,0.013886244387355454
strict,parked_vehicle,caption,joint_image_caption,15,-0.0016904761621849007,-0.005071428486554702,0.0
strict,parked_vehicle,caption,multi_frame,15,0.004628748129118484,0.0,0.013886244387355454
strict,parked_vehicle,caption,dual,15,-0.007336392209936006,-0.01930153254899049,0.0
strict,parked_vehicle,representative_frame,joint_image_caption,15,-0.006319224291303385,-0.018957672873910154,0.0
strict,parked_vehicle,representative_frame,multi_frame,15,0.0,0.0,0.0
strict,parked_vehicle,representative_frame,dual,15,-0.01196514033905449,-0.029345568839744023,0.0
strict,parked_vehicle,joint_image_caption,multi_frame,15,0.006319224291303385,0.0,0.018957672873910154
strict,parked_vehicle,joint_image_caption,dual,15,-0.005645916047751105,-0.015920580224620694,0.0
strict,parked_vehicle,multi_frame,dual,15,-0.01196514033905449,-0.029345568839744023,0.0
strict,stopped_vehicle,caption,representative_frame,17,-0.055125240828782014,-0.10123238586083727,-0.016041389789490153
strict,stopped_vehicle,caption,joint_image_caption,17,-0.051103456833040524,-0.09761083373157954,-0.012830051156133135
strict,stopped_vehicle,caption,multi_frame,17,-0.16582277979120064,-0.25354455097003176,-0.08803925201630246
strict,stopped_vehicle,caption,dual,17,-0.11692176591721966,-0.19867915850168852,-0.04644112455782109
strict,stopped_vehicle,representative_frame,joint_image_caption,17,0.004021783995741493,-0.022216995395544992,0.03022107335203758
strict,stopped_vehicle,representative_frame,multi_frame,17,-0.11069753896241864,-0.1910810498702565,-0.03887237421657616
strict,stopped_vehicle,representative_frame,dual,17,-0.061796525088437644,-0.14879330068348426,0.020560211349761888
strict,stopped_vehicle,joint_image_caption,multi_frame,17,-0.11471932295816013,-0.20435685161993883,-0.03218804210522437
strict,stopped_vehicle,joint_image_caption,dual,17,-0.06581830908417914,-0.16330814016253992,0.023978891047839658
strict,stopped_vehicle,multi_frame,dual,17,0.048901013873981,0.007795298863662916,0.0884885669754142
strict,two_wheeler,caption,representative_frame,21,-0.007131081912938865,-0.03602185801183254,0.019727164054601433
strict,two_wheeler,caption,joint_image_caption,21,-0.01385049814673043,-0.05888035476894307,0.023654816943653702
strict,two_wheeler,caption,multi_frame,21,-0.07623934760339426,-0.13309516682397474,-0.024434859255737778
strict,two_wheeler,caption,dual,21,-0.05850382169395432,-0.10600939998272693,-0.018120082470925777
strict,two_wheeler,representative_frame,joint_image_caption,21,-0.006719416233791562,-0.05522020979584827,0.03589263491274962
strict,two_wheeler,representative_frame,multi_frame,21,-0.0691082656904554,-0.109380289432331,-0.029981580856095133
strict,two_wheeler,representative_frame,dual,21,-0.051372739781015454,-0.09696567089701152,-0.014849075077479852
strict,two_wheeler,joint_image_caption,multi_frame,21,-0.06238884945666384,-0.12570485393343545,-0.003292465898711705
strict,two_wheeler,joint_image_caption,dual,21,-0.0446533235472239,-0.11164180554603757,0.0209083780096317
strict,two_wheeler,multi_frame,dual,21,0.017735525909439942,-0.042489836661283545,0.07308797185362373
semantic,buses,caption,representative_frame,20,-0.05270646080620561,-0.0884919047785829,-0.01883323692274109
semantic,buses,caption,joint_image_caption,20,-0.06172194476629288,-0.08696933188996021,-0.032990646751428064
semantic,buses,caption,multi_frame,20,-0.07870502445394294,-0.1300589735706516,-0.026267358250461306
semantic,buses,caption,dual,20,0.028808896713520687,-0.0015903718470621573,0.05895074697954849
semantic,buses,representative_frame,joint_image_caption,20,-0.009015483960087277,-0.04954546258099422,0.03475394677657849
semantic,buses,representative_frame,multi_frame,20,-0.025998563647737317,-0.052688267612583335,0.003614201600536028
semantic,buses,representative_frame,dual,20,0.0815153575197263,0.03789781120573362,0.12468896671963825
semantic,buses,joint_image_caption,multi_frame,20,-0.01698307968765004,-0.07470440559796894,0.03941642225333377
semantic,buses,joint_image_caption,dual,20,0.09053084147981358,0.044009070440137465,0.13517760397318282
semantic,buses,multi_frame,dual,20,0.10751392116746361,0.05031495554408552,0.1564119916092509
semantic,crowded_scene,caption,representative_frame,12,0.35157360400868126,0.2933621109664067,0.39790682083627676
semantic,crowded_scene,caption,joint_image_caption,12,0.0974437357898466,0.07395427568116679,0.12323831343107922
semantic,crowded_scene,caption,multi_frame,12,0.3948080471087989,0.327952943938449,0.4538332768623353
semantic,crowded_scene,caption,dual,12,0.24752984437610337,0.2229503560147125,0.26997135817449003
semantic,crowded_scene,representative_frame,joint_image_caption,12,-0.2541298682188347,-0.30822026844199213,-0.19189038639745468
semantic,crowded_scene,representative_frame,multi_frame,12,0.04323444310011767,0.0005612620827351042,0.08108500034795793
semantic,crowded_scene,representative_frame,dual,12,-0.1040437596325779,-0.14682908254716204,-0.057955324877472014
semantic,crowded_scene,joint_image_caption,multi_frame,12,0.2973643113189523,0.23310722955687857,0.3505547282879078
semantic,crowded_scene,joint_image_caption,dual,12,0.15008610858625682,0.12059868945951359,0.17754110638375664
semantic,crowded_scene,multi_frame,dual,12,-0.14727820273269557,-0.19259497975144502,-0.09650076891150025
semantic,parked_vehicle,caption,representative_frame,15,0.004628748129118484,0.0,0.013886244387355454
semantic,parked_vehicle,caption,joint_image_caption,15,-0.0016904761621849007,-0.005071428486554702,0.0
semantic,parked_vehicle,caption,multi_frame,15,0.004628748129118484,0.0,0.013886244387355454
semantic,parked_vehicle,caption,dual,15,-0.007336392209936006,-0.018514992516473937,0.0
semantic,parked_vehicle,representative_frame,joint_image_caption,15,-0.006319224291303385,-0.018957672873910154,0.0
semantic,parked_vehicle,representative_frame,multi_frame,15,0.0,0.0,0.0
semantic,parked_vehicle,representative_frame,dual,15,-0.01196514033905449,-0.029345568839744023,0.0
semantic,parked_vehicle,joint_image_caption,multi_frame,15,0.006319224291303385,0.0,0.018957672873910154
semantic,parked_vehicle,joint_image_caption,dual,15,-0.005645916047751105,-0.015920580224620694,0.0
semantic,parked_vehicle,multi_frame,dual,15,-0.01196514033905449,-0.029345568839744023,0.0
semantic,stopped_vehicle,caption,representative_frame,17,-0.21655022872271368,-0.26632811772380394,-0.1649461639905564
semantic,stopped_vehicle,caption,joint_image_caption,17,-0.15512971257398414,-0.19006957201204464,-0.12145391295704762
semantic,stopped_vehicle,caption,multi_frame,17,-0.628407142847135,-0.6844025089603128,-0.5635532949598981
semantic,stopped_vehicle,caption,dual,17,-0.4589726722780359,-0.5069827382440405,-0.4075195103229249
semantic,stopped_vehicle,representative_frame,joint_image_caption,17,0.06142051614872954,0.016239289617748624,0.10899121906815648
semantic,stopped_vehicle,representative_frame,multi_frame,17,-0.41185691412442127,-0.45848923969638267,-0.36267502315615613
semantic,stopped_vehicle,representative_frame,dual,17,-0.2424224435553222,-0.29305306006371257,-0.19721613952337108
semantic,stopped_vehicle,joint_image_caption,multi_frame,17,-0.4732774302731508,-0.5264291873226002,-0.41839797924514693
semantic,stopped_vehicle,joint_image_caption,dual,17,-0.3038429597040517,-0.35099460847920133,-0.25428841434444166
semantic,stopped_vehicle,multi_frame,dual,17,0.16943447056909908,0.12189136698404673,0.2190591576546063
semantic,two_wheeler,caption,representative_frame,21,-0.0009281251313594913,-0.03301760757149119,0.033460596364669214
semantic,two_wheeler,caption,joint_image_caption,21,-0.02051974957956983,-0.060242727570112994,0.02257245414101549
semantic,two_wheeler,caption,multi_frame,21,-0.33650676154171794,-0.3714352954336724,-0.2997859640278982
semantic,two_wheeler,caption,dual,21,-0.24648976436109563,-0.31100760940577704,-0.16942366332039427
semantic,two_wheeler,representative_frame,joint_image_caption,21,-0.01959162444821034,-0.06606389484061188,0.03471286348474951
semantic,two_wheeler,representative_frame,multi_frame,21,-0.3355786364103585,-0.37129907864812217,-0.2968403143691468
semantic,two_wheeler,representative_frame,dual,21,-0.24556163922973612,-0.3165132387231563,-0.17175107074612947
semantic,two_wheeler,joint_image_caption,multi_frame,21,-0.3159870119621481,-0.34586896365665565,-0.2858858841514314
semantic,two_wheeler,joint_image_caption,dual,21,-0.22597001478152587,-0.3070331521749761,-0.14931050825367376
semantic,two_wheeler,multi_frame,dual,21,0.09001699718062235,0.018880895009868875,0.16096345831231748
