service,representation,queries,event_clusters,mean_ndcg_at_10,mean_hit_at_10,mean_recall_at_10,supported_query_rate,vector_bytes_per_clip,pareto
dynamic_event,caption,93,18,0.3558237642666598,0.7741935483870968,0.18835925531258388,0.7741935483870968,4096,True
dynamic_event,center_frame,93,18,0.14711847115101712,0.4838709677419355,0.06647309830760971,0.4838709677419355,2048,True
dynamic_event,visual_4frame,93,18,0.15649362671517192,0.5483870967741935,0.07314618454372344,0.5483870967741935,8192,False
dynamic_event,fusion,93,18,0.2995126182456487,0.7956989247311828,0.14491007136242842,0.7956989247311828,12288,False
scene_state,caption,10,3,0.8993991948071761,1.0,0.34764349730508604,1.0,4096,True
scene_state,center_frame,10,3,0.7524500667201479,1.0,0.28494703468365457,1.0,2048,True
scene_state,visual_4frame,10,3,0.7090055342245076,1.0,0.27486300107020917,1.0,8192,False
scene_state,fusion,10,3,0.875381429453444,1.0,0.3388115442340026,1.0,12288,False
context_filtered,caption,82,20,0.40273970560257316,0.8292682926829268,0.22451478999561883,0.8292682926829268,4096,True
context_filtered,center_frame,82,20,0.2094021243609189,0.5365853658536586,0.10068835982710725,0.5365853658536586,2048,True
context_filtered,visual_4frame,82,20,0.21652603837519088,0.6097560975609756,0.10617473051190267,0.6097560975609756,8192,False
context_filtered,fusion,82,20,0.35914906637878263,0.8170731707317073,0.18322783888986477,0.8170731707317073,12288,False
open_event,caption,21,21,0.4314736269266726,0.6666666666666666,0.12303013988002005,0.6666666666666666,4096,True
open_event,center_frame,21,21,0.1921687755547962,0.5238095238095238,0.03690585636292641,0.5238095238095238,2048,True
open_event,visual_4frame,21,21,0.18518226095192433,0.5238095238095238,0.04023320339487393,0.5238095238095238,8192,False
open_event,fusion,21,21,0.34086973087236144,0.8095238095238095,0.08762234714652195,0.8095238095238095,12288,False
