dataset,query_id,difficulty,event_type,event_family,contract_family,cluster,positive_count,candidate_count,representation,vector_bytes_per_clip,ndcg_at_10,hit_at_10,recall_at_10
VRU,vru2:nofilter:0001,nofilter,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,419,1000,caption,4096,0.6874708847784539,1.0,0.016706443914081145
VRU,vru2:nofilter:0001,nofilter,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,419,1000,center_frame,2048,0.49152618230759804,1.0,0.011933174224343675
VRU,vru2:nofilter:0001,nofilter,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,419,1000,visual_4frame,8192,0.43042149375026467,1.0,0.011933174224343675
VRU,vru2:nofilter:0001,nofilter,car hits pedestrian,dynamic_event,open_event,VRU|car hits pedestrian,419,1000,fusion,12288,0.647053841756604,1.0,0.014319809069212411
VRU,vru2:weather_light:0002,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,268,695,caption,4096,0.36865805394823997,1.0,0.014925373134328358
VRU,vru2:weather_light:0002,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,268,695,center_frame,2048,0.618519700841442,1.0,0.022388059701492536
VRU,vru2:weather_light:0002,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,268,695,visual_4frame,8192,0.5730379245414765,1.0,0.018656716417910446
VRU,vru2:weather_light:0002,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,268,695,fusion,12288,0.5548010254700118,1.0,0.018656716417910446
VRU,vru2:weather_light:0003,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,67,102,caption,4096,1.0,1.0,0.14925373134328357
VRU,vru2:weather_light:0003,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,67,102,center_frame,2048,0.92663607790064,1.0,0.13432835820895522
VRU,vru2:weather_light:0003,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,67,102,visual_4frame,8192,0.9337457765456111,1.0,0.13432835820895522
VRU,vru2:weather_light:0003,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,67,102,fusion,12288,0.7885497208855957,1.0,0.1044776119402985
VRU,vru2:weather_light:0004,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,35,110,caption,4096,0.542364015420035,1.0,0.11428571428571428
VRU,vru2:weather_light:0004,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,35,110,center_frame,2048,0.0,0.0,0.0
VRU,vru2:weather_light:0004,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,35,110,visual_4frame,8192,0.2200917662980802,1.0,0.02857142857142857
VRU,vru2:weather_light:0004,weather_light,car hits pedestrian,dynamic_event,context_filtered,VRU|car hits pedestrian,35,110,fusion,12288,0.33405144466421566,1.0,0.08571428571428572
