scoring,intent,representation,queries,ndcg_at_10,vector_payload_mb,index_mb,latency_p95_ms
semantic,buses,multi_frame,20,0.2808636785063899,68.395008,68.395053,4.2743643
semantic,buses,joint_image_caption,20,0.2638805988187398,24.576,24.576045,1.5737895499999996
semantic,buses,representative_frame,20,0.2548651148586526,24.576,24.576045,1.5292628
semantic,buses,caption,20,0.20215865405244693,24.576,24.576045,1.4879045999999998
semantic,buses,dual,20,0.17334975733892627,92.971008,92.971098,5.66048505
semantic,crowded_scene,caption,12,0.5575621155085838,24.576,24.576045,1.4879045999999998
semantic,crowded_scene,joint_image_caption,12,0.4601183797187373,24.576,24.576045,1.5737895499999996
semantic,crowded_scene,dual,12,0.3100322711324805,92.971008,92.971098,5.66048505
semantic,crowded_scene,representative_frame,12,0.20598851149990258,24.576,24.576045,1.5292628
semantic,crowded_scene,multi_frame,12,0.1627540683997849,68.395008,68.395053,4.2743643
semantic,parked_vehicle,dual,15,0.01196514033905449,92.971008,92.971098,5.66048505
semantic,parked_vehicle,joint_image_caption,15,0.006319224291303385,24.576,24.576045,1.5737895499999996
semantic,parked_vehicle,caption,15,0.004628748129118484,24.576,24.576045,1.4879045999999998
semantic,parked_vehicle,multi_frame,15,0.0,68.395008,68.395053,4.2743643
semantic,parked_vehicle,representative_frame,15,0.0,24.576,24.576045,1.5292628
semantic,stopped_vehicle,multi_frame,17,0.7182092360507786,68.395008,68.395053,4.2743643
semantic,stopped_vehicle,dual,17,0.5487747654816795,92.971008,92.971098,5.66048505
semantic,stopped_vehicle,representative_frame,17,0.30635232192635736,24.576,24.576045,1.5292628
semantic,stopped_vehicle,joint_image_caption,17,0.2449318057776278,24.576,24.576045,1.5737895499999996
semantic,stopped_vehicle,caption,17,0.08980209320364363,24.576,24.576045,1.4879045999999998
semantic,two_wheeler,multi_frame,21,0.48200229476770307,68.395008,68.395053,4.2743643
semantic,two_wheeler,dual,21,0.39198529758708067,92.971008,92.971098,5.66048505
semantic,two_wheeler,joint_image_caption,21,0.16601528280555491,24.576,24.576045,1.5737895499999996
semantic,two_wheeler,representative_frame,21,0.14642365835734458,24.576,24.576045,1.5292628
semantic,two_wheeler,caption,21,0.1454955332259851,24.576,24.576045,1.4879045999999998
strict,buses,joint_image_caption,20,0.08570738386483441,24.576,24.576045,1.5737895499999996
strict,buses,multi_frame,20,0.08107548129248776,68.395008,68.395053,4.2743643
strict,buses,representative_frame,20,0.08024321259783833,24.576,24.576045,1.5292628
strict,buses,caption,20,0.06143915748297747,24.576,24.576045,1.4879045999999998
strict,buses,dual,20,0.05984784111221295,92.971008,92.971098,5.66048505
strict,crowded_scene,caption,12,0.2240803717872332,24.576,24.576045,1.4879045999999998
strict,crowded_scene,joint_image_caption,12,0.20384160909075918,24.576,24.576045,1.5737895499999996
strict,crowded_scene,dual,12,0.13536711824576989,92.971008,92.971098,5.66048505
strict,crowded_scene,representative_frame,12,0.10708326428231692,24.576,24.576045,1.5292628
strict,crowded_scene,multi_frame,12,0.10312915519122924,68.395008,68.395053,4.2743643
strict,parked_vehicle,dual,15,0.01196514033905449,92.971008,92.971098,5.66048505
strict,parked_vehicle,joint_image_caption,15,0.006319224291303385,24.576,24.576045,1.5737895499999996
strict,parked_vehicle,caption,15,0.004628748129118484,24.576,24.576045,1.4879045999999998
strict,parked_vehicle,multi_frame,15,0.0,68.395008,68.395053,4.2743643
strict,parked_vehicle,representative_frame,15,0.0,24.576,24.576045,1.5292628
strict,stopped_vehicle,multi_frame,17,0.1894360868371315,68.395008,68.395053,4.2743643
strict,stopped_vehicle,dual,17,0.14053507296315051,92.971008,92.971098,5.66048505
strict,stopped_vehicle,representative_frame,17,0.07873854787471286,24.576,24.576045,1.5292628
strict,stopped_vehicle,joint_image_caption,17,0.07471676387897137,24.576,24.576045,1.5737895499999996
strict,stopped_vehicle,caption,17,0.023613307045930856,24.576,24.576045,1.4879045999999998
strict,two_wheeler,multi_frame,21,0.12080435520213592,68.395008,68.395053,4.2743643
strict,two_wheeler,dual,21,0.103068829292696,92.971008,92.971098,5.66048505
strict,two_wheeler,joint_image_caption,21,0.058415505745472086,24.576,24.576045,1.5737895499999996
strict,two_wheeler,representative_frame,21,0.05169608951168053,24.576,24.576045,1.5292628
strict,two_wheeler,caption,21,0.044565007598741664,24.576,24.576045,1.4879045999999998
