scoring,intent,queries,winner,runner_up,winner_mean,runner_up_mean,mean_delta,ci_low,ci_high,winner_payload_mb,runner_up_payload_mb,payload_ratio,quality_support,cost_support,supported_winner
strict,buses,20,joint_image_caption,multi_frame,0.08570738386483441,0.08107548129248776,0.004631902572346654,-0.04503096184669257,0.056708655161161206,24.576,68.395008,0.3593244699964067,False,False,False
strict,crowded_scene,12,caption,joint_image_caption,0.2240803717872332,0.20384160909075918,0.020238762696474035,-0.01760007583929973,0.053190416647771015,24.576,24.576,1.0,False,False,False
strict,parked_vehicle,15,dual,joint_image_caption,0.01196514033905449,0.006319224291303385,0.005645916047751105,0.0,0.015920580224620694,92.971008,24.576,3.783,False,False,False
strict,stopped_vehicle,17,multi_frame,dual,0.1894360868371315,0.14053507296315051,0.048901013873981,0.007269083791480559,0.08929194717998867,68.395008,92.971008,0.7356595294739625,False,False,False
strict,two_wheeler,21,multi_frame,dual,0.12080435520213592,0.103068829292696,0.017735525909439942,-0.04097285233499819,0.07244039581720324,68.395008,92.971008,0.7356595294739625,False,False,False
semantic,buses,20,multi_frame,joint_image_caption,0.2808636785063899,0.2638805988187398,0.01698307968765004,-0.038800728935813274,0.07497284274230286,68.395008,24.576,2.783,False,False,False
semantic,crowded_scene,12,caption,joint_image_caption,0.5575621155085838,0.4601183797187373,0.0974437357898466,0.0732385412490459,0.12285788003267431,24.576,24.576,1.0,True,False,True
semantic,parked_vehicle,15,dual,joint_image_caption,0.01196514033905449,0.006319224291303385,0.005645916047751105,0.0,0.015920580224620694,92.971008,24.576,3.783,False,False,False
semantic,stopped_vehicle,17,multi_frame,dual,0.7182092360507786,0.5487747654816795,0.16943447056909908,0.12126067815194078,0.21792770510932727,68.395008,92.971008,0.7356595294739625,True,False,True
semantic,two_wheeler,21,multi_frame,dual,0.48200229476770307,0.39198529758708067,0.09001699718062235,0.017796900657112823,0.15999643801408064,68.395008,92.971008,0.7356595294739625,True,False,True
