strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,nofilter,6,0.0026455026455026454,0.16666666666666666,0.013227513227513227,0.16666666666666666,0.026455026455026454,0.16666666666666666,0.05291005291005291,0.16666666666666666,0.1714633024508838,0.16666666666666666
B1_bm25_only,nofilter,6,0.0026455026455026454,0.16666666666666666,0.013227513227513227,0.16666666666666666,0.026455026455026454,0.16666666666666666,0.05291005291005291,0.16666666666666666,0.1714633024508838,0.16666666666666666
B2_vector_only,nofilter,6,0.024092625869355427,1.0,0.11100545738910518,1.0,0.223135253402549,1.0,0.4216188313200892,1.0,1.0,0.925954149279799
B3_vector_postfilter,nofilter,6,0.024092625869355427,1.0,0.11100545738910518,1.0,0.223135253402549,1.0,0.4216188313200892,1.0,1.0,0.925954149279799
B4_prefilter_vector,nofilter,6,0.024092625869355427,1.0,0.11100545738910518,1.0,0.223135253402549,1.0,0.4216188313200892,1.0,1.0,0.925954149279799
B5_hybrid,nofilter,6,0.006812169312169312,0.3333333333333333,0.03785714285714286,0.6666666666666666,0.08311819906159527,0.8333333333333334,0.17265448737146852,0.8333333333333334,0.4325989782886335,0.37361242277248013
B0_metadata_only,night,10,0.006847826086956521,0.2,0.034239130434782605,0.2,0.06847826086956521,0.2,0.14391304347826087,0.3,0.21777865290612994,0.2
B1_bm25_only,night,10,0.0025,0.1,0.014347826086956523,0.2,0.028695652173913046,0.2,0.05739130434782609,0.2,0.13731021590276468,0.1
B2_vector_only,night,10,0.013601307189542482,0.4,0.10409821121431029,0.9,0.17936433795486156,1.0,0.3567237776880393,1.0,0.6059523809523809,0.4672711248339844
B3_vector_postfilter,night,10,0.03987895783790252,0.8,0.18123465847055834,1.0,0.3451490555032081,1.0,0.5944947428246661,1.0,0.875,0.7555078169383269
B4_prefilter_vector,night,10,0.03987895783790252,0.8,0.18123465847055834,1.0,0.3451490555032081,1.0,0.5944947428246661,1.0,0.875,0.7555078169383269
B5_hybrid,night,10,0.015514492753623188,0.4,0.12825082634121535,0.8,0.2897371187987018,0.9,0.4540841821091518,0.9,0.5866666666666667,0.5724858712668187
B0_metadata_only,place_type,2,0.06388888888888888,1.0,0.3194444444444444,1.0,0.6388888888888888,1.0,0.7777777777777778,1.0,1.0,1.0
B1_bm25_only,place_type,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_vector_only,place_type,2,0.06388888888888888,1.0,0.19166666666666665,1.0,0.24722222222222223,1.0,0.49444444444444446,1.0,1.0,0.5424303489161341
B3_vector_postfilter,place_type,2,0.06388888888888888,1.0,0.3194444444444444,1.0,0.6388888888888888,1.0,0.7777777777777778,1.0,1.0,1.0
B4_prefilter_vector,place_type,2,0.06388888888888888,1.0,0.3194444444444444,1.0,0.6388888888888888,1.0,0.7777777777777778,1.0,1.0,1.0
B5_hybrid,place_type,2,0.06388888888888888,1.0,0.3194444444444444,1.0,0.6388888888888888,1.0,0.7777777777777778,1.0,1.0,1.0
B0_metadata_only,all,18,0.01178494747335327,0.2777777777777778,0.05892473736676635,0.2777777777777778,0.1178494747335327,0.2777777777777778,0.18400812821102674,0.3333333333333333,0.2892536857648112,0.2777777777777778
B1_bm25_only,all,18,0.0022707231040564376,0.1111111111111111,0.012380185568591365,0.16666666666666666,0.02476037113718273,0.16666666666666666,0.04952074227436546,0.16666666666666666,0.1334378874296083,0.1111111111111111
B2_vector_only,all,18,0.022685922493851957,0.6666666666666666,0.11613045498950375,0.9444444444444444,0.20149440802268634,1.0,0.3936577585383232,1.0,0.781084656084656,0.6285164912139394
B3_vector_postfilter,all,18,0.037284617298496414,0.8888888888888888,0.17318156766272796,1.0,0.3371155474013974,1.0,0.557234220651264,1.0,0.9305555555555556,0.8394890591701145
B4_prefilter_vector,all,18,0.037284617298496414,0.8888888888888888,0.17318156766272796,1.0,0.3371155474013974,1.0,0.557234220651264,1.0,0.9305555555555556,0.8394890591701145
B5_hybrid,all,18,0.01798865117705697,0.4444444444444444,0.11936333385799441,0.7777777777777778,0.2596587866741315,0.8888888888888888,0.39624023893754917,0.8888888888888888,0.5812366964665815,0.5536962916279481
