query_id	target_id	target_type	relevance
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_102	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_103	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_104	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_105	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_106	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_107	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_108	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_109	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_110	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_111	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_112	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_113	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_114	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_115	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_116	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_117	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_118	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_119	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_120	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_121	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_122	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_123	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_124	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_125	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_126	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_127	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_128	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_129	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_130	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_131	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_132	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_133	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_134	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_135	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_136	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_137	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_138	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_139	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_140	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_141	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_142	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_143	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_144	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_145	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_146	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_147	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_148	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_149	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_150	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_151	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_152	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_153	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_154	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_155	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_156	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_157	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_158	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_159	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_160	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_161	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_162	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_163	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_164	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_165	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_166	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_167	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_168	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_169	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_170	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_171	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_172	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_173	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_174	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_175	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_176	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_177	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_178	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_179	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_180	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_181	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_182	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_183	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_184	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_185	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_186	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_187	clip	3
vru2:nofilter:0001	vru_accident:CAP_DATA:VRU_188	clip	3
