strategy,query_id,difficulty,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,vru2:location:0010,location,0.0,0.0,0.00954653937947494,1.0,0.01909307875894988,1.0,0.04295942720763723,1.0,0.5,0.7162874455029681
B0_metadata_only,vru2:location:0011,location,0.0,0.0,0.002386634844868735,1.0,0.014319809069212411,1.0,0.028639618138424822,1.0,0.25,0.4458567890377042
B0_metadata_only,vru2:location:0022,location,0.005076142131979695,1.0,0.005076142131979695,1.0,0.01015228426395939,1.0,0.01015228426395939,1.0,1.0,0.28371255449703187
B0_metadata_only,vru2:location:0023,location,0.005076142131979695,1.0,0.01015228426395939,1.0,0.01015228426395939,1.0,0.015228426395939087,1.0,1.0,0.30523488393970116
B0_metadata_only,vru2:location:0024,location,0.005076142131979695,1.0,0.025380710659898477,1.0,0.030456852791878174,1.0,0.030456852791878174,1.0,1.0,0.727329844310522
B0_metadata_only,vru2:location:0032,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0033,location,0.0,0.0,0.0,0.0,0.0,0.0,0.025423728813559324,1.0,0.058823529411764705,0.0
B0_metadata_only,vru2:location:0040,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0041,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
B0_metadata_only,vru2:location:0047,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0048,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
B0_metadata_only,vru2:location:0054,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0055,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
B0_metadata_only,vru2:location:0059,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0063,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0067,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0071,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0075,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0078,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:location:0082,location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0001,nofilter,0.0,0.0,0.002386634844868735,1.0,0.014319809069212411,1.0,0.03579952267303103,1.0,0.2,0.4362115423097743
B0_metadata_only,vru2:nofilter:0012,nofilter,0.005076142131979695,1.0,0.01015228426395939,1.0,0.01015228426395939,1.0,0.015228426395939087,1.0,1.0,0.3589542101716347
B0_metadata_only,vru2:nofilter:0025,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0034,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0042,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0049,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0056,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0060,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0064,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0068,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0072,nofilter,0.0,0.0,0.25,1.0,0.25,1.0,0.25,1.0,0.3333333333333333,0.23540784400158446
B0_metadata_only,vru2:nofilter:0076,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0079,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0083,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:nofilter:0084,nofilter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0007,road_type,0.0,0.0,0.00477326968973747,1.0,0.016706443914081145,1.0,0.03818615751789976,1.0,0.25,0.5309999066793252
B0_metadata_only,vru2:road_type:0008,road_type,0.002386634844868735,1.0,0.00954653937947494,1.0,0.021479713603818614,1.0,0.045346062052505964,1.0,1.0,0.8611375561264454
B0_metadata_only,vru2:road_type:0009,road_type,0.0,0.0,0.00954653937947494,1.0,0.016706443914081145,1.0,0.016706443914081145,1.0,0.5,0.642923523403608
B0_metadata_only,vru2:road_type:0017,road_type,0.005076142131979695,1.0,0.01015228426395939,1.0,0.01015228426395939,1.0,0.015228426395939087,1.0,1.0,0.3589542101716347
B0_metadata_only,vru2:road_type:0018,road_type,0.0,0.0,0.0,0.0,0.01015228426395939,1.0,0.015228426395939087,1.0,0.14285714285714285,0.13698471029831177
B0_metadata_only,vru2:road_type:0019,road_type,0.0,0.0,0.005076142131979695,1.0,0.005076142131979695,1.0,0.005076142131979695,1.0,0.5,0.13886244387355454
B0_metadata_only,vru2:road_type:0020,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.025380710659898477,1.0,0.07692307692307693,0.0
B0_metadata_only,vru2:road_type:0021,road_type,0.005076142131979695,1.0,0.02030456852791878,1.0,0.03553299492385787,1.0,0.03553299492385787,1.0,1.0,0.7849818707050382
B0_metadata_only,vru2:road_type:0029,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0
B0_metadata_only,vru2:road_type:0030,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0
B0_metadata_only,vru2:road_type:0031,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,1.0,0.09090909090909091,0.0
B0_metadata_only,vru2:road_type:0037,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0
B0_metadata_only,vru2:road_type:0038,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0039,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
B0_metadata_only,vru2:road_type:0045,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0046,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
B0_metadata_only,vru2:road_type:0051,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0052,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.05555555555555555,0.0
B0_metadata_only,vru2:road_type:0053,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0058,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0062,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0066,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0
B0_metadata_only,vru2:road_type:0070,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:road_type:0074,road_type,0.0,0.0,0.125,1.0,0.125,1.0,0.125,1.0,0.3333333333333333,0.12647135138382856
B0_metadata_only,vru2:road_type:0081,road_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0_metadata_only,vru2:weather_light:0002,weather_light,0.0,0.0,0.002386634844868735,1.0,0.011933174224343675,1.0,0.03579952267303103,1.0,0.2,0.3667803203729971
