strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,weak,39,0.0004150577754638668,0.05128205128205128,0.007776401534604329,0.1282051282051282,0.010247622526111718,0.15384615384615385,0.017603348578759375,0.23076923076923078,0.0896861120999052,0.046813829460625705
B1_bm25_only,weak,39,0.08856558850094157,0.8974358974358975,0.3485038717334869,0.9743589743589743,0.5191228786003931,0.9743589743589743,0.7154455287953599,0.9743589743589743,0.9319658119658119,0.9466058907880753
B2_vector_only,weak,39,0.07561952786910771,0.8717948717948718,0.32296943421733343,0.9230769230769231,0.4895286120244104,0.9230769230769231,0.6771954735635887,0.9487179487179487,0.9002479901265326,0.9117901658308677
B3_vector_postfilter,weak,39,0.07561952786910771,0.8717948717948718,0.32296943421733343,0.9230769230769231,0.4895286120244104,0.9230769230769231,0.6771954735635887,0.9487179487179487,0.9002479901265326,0.9117901658308677
B4_prefilter_vector,weak,39,0.07561952786910771,0.8717948717948718,0.32296943421733343,0.9230769230769231,0.4895286120244104,0.9230769230769231,0.6771954735635887,0.9487179487179487,0.9002479901265326,0.9117901658308677
B5_hybrid,weak,39,0.07835457060415045,0.9487179487179487,0.3287386649865642,0.9487179487179487,0.498095045590844,0.9487179487179487,0.7100159863841015,0.9743589743589743,0.9505681246857717,0.944015133198759
B0_metadata_only,medium,119,0.021960128413128204,0.13445378151260504,0.0969386610957373,0.2689075630252101,0.14819250883842192,0.36134453781512604,0.2161293631142438,0.4117647058823529,0.20286765052544636,0.16976219129327752
B1_bm25_only,medium,119,0.06411785179092513,0.3445378151260504,0.29114884659672274,0.6722689075630253,0.45276396742020636,0.7815126050420168,0.5831484597581779,0.8823529411764706,0.4901697332515889,0.4630925769156935
B2_vector_only,medium,119,0.0703904673385802,0.37815126050420167,0.31523083545629765,0.7394957983193278,0.45515105199469125,0.7983193277310925,0.5691423037047946,0.8823529411764706,0.5239641028798455,0.48517021072329486
B3_vector_postfilter,medium,119,0.19866264470952508,0.957983193277311,0.6326689658445441,0.9747899159663865,0.7494315691440702,0.9747899159663865,0.8326051809891617,0.9747899159663865,0.9668963173504697,0.965045475219018
B4_prefilter_vector,medium,119,0.20146376515770434,0.9663865546218487,0.6480751283095302,0.9831932773109243,0.7662382918331458,0.9831932773109243,0.8539130223075071,0.9831932773109243,0.9752996786950074,0.9794865934949845
B5_hybrid,medium,119,0.19376068392521137,0.957983193277311,0.6246232940442255,0.9663865546218487,0.7534861480557296,0.9747899159663865,0.8508449819788376,0.9915966386554622,0.9643086289774376,0.9561314497085915
B0_metadata_only,strong,86,0.05437758923460527,0.2441860465116279,0.26621162810708193,0.5,0.397713010810498,0.6046511627906976,0.5098068745757538,0.6976744186046512,0.3664521210575913,0.3403091397502879
B1_bm25_only,strong,86,0.021779836670397547,0.11627906976744186,0.15645300758315617,0.38372093023255816,0.2723403856562629,0.5813953488372093,0.41046937356242297,0.7093023255813954,0.2585353687577405,0.20517415510809833
B2_vector_only,strong,86,0.01918717015669519,0.12790697674418605,0.1425175365507357,0.38372093023255816,0.24127013233016775,0.5465116279069767,0.3893136296600853,0.686046511627907,0.25363634562536447,0.18506928898045488
B3_vector_postfilter,strong,86,0.2854836353698327,0.9651162790697675,0.7472825179344346,0.9883720930232558,0.8242881809408514,0.9883720930232558,0.8720556383431957,0.9883720930232558,0.9748062015503876,0.9432287865386718
B4_prefilter_vector,strong,86,0.2893596043620807,0.9767441860465116,0.7842011225855975,1.0,0.8823372765480866,1.0,0.9486447856300173,1.0,0.9864341085271318,0.9935041604963364
B5_hybrid,strong,86,0.2887782090132435,0.9883720930232558,0.7837166264615665,1.0,0.878746305275857,1.0,0.9420989337415133,1.0,0.9941860465116279,0.9871932521070601
B0_metadata_only,all,244,0.029942275445005738,0.1598360655737705,0.1423490997846367,0.32786885245901637,0.21408969163931718,0.4139344262295082,0.2879070328634486,0.48360655737704916,0.2424339803089232,0.21022141857126717
B1_bm25_only,all,244,0.05310306667340574,0.3524590163934426,0.25284148522445665,0.6188524590163934,0.3997785965363053,0.7418032786885246,0.5434320018877483,0.8360655737704918,0.4791430599867682,0.44946976939753663
B2_vector_only,all,244,0.05317919603959849,0.36885245901639346,0.25559338318499464,0.6434426229508197,0.38526156736358486,0.7295081967213115,0.5230308596746632,0.8237704918032787,0.4888283835304005,0.44758619014670104
B3_vector_postfilter,all,244,0.2095967579882553,0.9467213114754098,0.6235643910341727,0.9713114754098361,0.7342735908115147,0.9713114754098361,0.8216697741975615,0.9754098360655737,0.9590314209548114,0.9488438674622655
B4_prefilter_vector,all,244,0.21232899842541378,0.9549180327868853,0.6440903473183257,0.9795081967213115,0.7629302392632452,0.9795081967213115,0.8590562487203065,0.9836065573770492,0.9672281422662868,0.9736068807212783
B5_hybrid,all,244,0.20880440826147934,0.9672131147540983,0.6334041385304654,0.9754098360655737,0.7568145108622887,0.9795081967213115,0.8604987074845565,0.9918032786885246,0.9726429660289352,0.965142837669185
