family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
storage,strict,representative_frame__B2_vector__flat,caption__B2_vector__flat,85,25,-0.00012274818161818224,-0.02512542585500864,0.023121167630483313,-0.024548909404993158,0.021867716215827133,0.9926,0.9962,22,45,18,0.9926,0.9962
storage,semantic,representative_frame__B2_vector__flat,caption__B2_vector__flat,85,25,0.005490108966209903,-0.0348700197455826,0.04322323319154045,-0.07506549986714806,0.07916346821875973,0.7686,0.891,41,16,28,0.7686,0.891
storage,strict,joint_image_caption__B2_vector__flat,caption__B2_vector__flat,85,25,0.016793832293591198,-0.001419512325377004,0.036446012379369355,0.005816985315924897,0.02868673951766609,0.0664,0.0038,21,46,18,0.08853333333333334,0.0152
storage,semantic,joint_image_caption__B2_vector__flat,caption__B2_vector__flat,85,25,0.03715989486128435,0.015603263347994402,0.058555433781659325,-0.004856709627375557,0.07418818413263499,0.0008,0.0842,47,16,22,0.0010666666666666667,0.11226666666666667
storage,strict,multi_frame__B2_vector__flat,caption__B2_vector__flat,85,25,0.03872816719085967,0.00469953721384073,0.07303712196530593,0.003697098366279207,0.07620170694308327,0.0266,0.0296,33,36,16,0.08853333333333334,0.0592
storage,semantic,multi_frame__B2_vector__flat,caption__B2_vector__flat,85,25,0.17078277791310428,0.09893915710234413,0.23986453599382848,0.01779174896187312,0.31618072855513096,0.0,0.0284,55,14,16,0.0,0.11226666666666667
storage,strict,dual__B2_vector__flat,caption__B2_vector__flat,85,25,0.026234244581199582,-0.0010756863083333419,0.0533828537091038,-0.0023772909774297606,0.05608060656989292,0.0592,0.0716,26,45,14,0.08853333333333334,0.09546666666666666
storage,semantic,dual__B2_vector__flat,caption__B2_vector__flat,85,25,0.11226270937264711,0.05943109136397774,0.1654695369351451,-0.003914185271778209,0.22756480118136024,0.0,0.0612,45,14,26,0.0,0.11226666666666667
search,strict,caption__B3_postfilter__flat,caption__B2_vector__flat,85,25,0.10574926068375497,0.08135011615846191,0.13303125103578664,0.06819740951607156,0.14335752541415978,0.0,0.0,58,27,0,0.0,0.0
search,semantic,caption__B3_postfilter__flat,caption__B2_vector__flat,85,25,-0.014240708399581557,-0.04730656942751261,0.019460644042533733,-0.07260185933049176,0.03880585002480359,0.4034,0.6262,35,14,36,0.49304444444444445,0.68882
search,strict,caption__B4_prefilter__flat,caption__B2_vector__flat,85,25,0.11377507375951663,0.08804694819524783,0.14268808829059842,0.0711557064298341,0.15759370279375454,0.0,0.0,61,24,0,0.0,0.0
search,semantic,caption__B4_prefilter__flat,caption__B2_vector__flat,85,25,-0.006689515603271514,-0.04058852303812901,0.027281306910368563,-0.06784934055242042,0.05150124361887305,0.711,0.8062,35,14,36,0.711,0.8062
search,strict,caption__B5_lexical_vector_hybrid__flat,caption__B2_vector__flat,85,25,0.08744359945871902,0.049068148246706106,0.12649636130098932,0.017265767634468777,0.1483809791017858,0.0,0.0118,45,24,16,0.0,0.0118
search,semantic,caption__B5_lexical_vector_hybrid__flat,caption__B2_vector__flat,85,25,-0.03121239393737387,-0.0785458296695166,0.015112216965339537,-0.13397256162008897,0.04587952125894022,0.1848,0.4926,32,12,41,0.2541,0.6509555555555555
search,strict,representative_frame__B3_postfilter__flat,representative_frame__B2_vector__flat,85,25,0.10813442601815712,0.08090700679107496,0.13752976319152738,0.06445757751644336,0.1461218921426911,0.0,0.0,49,36,0,0.0,0.0
search,semantic,representative_frame__B3_postfilter__flat,representative_frame__B2_vector__flat,85,25,-0.0176896100861303,-0.04317625012458642,0.0075407405926791625,-0.041711525505046525,0.0040473882389004436,0.173,0.1202,30,22,33,0.2541,0.26444
search,strict,representative_frame__B4_prefilter__flat,representative_frame__B2_vector__flat,85,25,0.11777317940630663,0.08810169168509058,0.14986115925837418,0.06603431664606182,0.16557329857474642,0.0,0.0,51,34,0,0.0,0.0
search,semantic,representative_frame__B4_prefilter__flat,representative_frame__B2_vector__flat,85,25,-0.0086633087251029,-0.03428459842639718,0.017153431742907566,-0.037265329626473206,0.015984528806132596,0.518,0.5326,32,22,31,0.5698000000000001,0.6509555555555555
search,strict,joint_image_caption__B3_postfilter__flat,joint_image_caption__B2_vector__flat,85,25,0.10103425314422165,0.07737855781004252,0.12650939856965,0.0635653616051223,0.13418360851238129,0.0,0.0,53,32,0,0.0,0.0
search,semantic,joint_image_caption__B3_postfilter__flat,joint_image_caption__B2_vector__flat,85,25,-0.04047170041405216,-0.0696646769516768,-0.011054444231114928,-0.07294770364779772,-0.0063162507360680995,0.0078,0.0208,26,21,38,0.0286,0.07626666666666666
search,strict,joint_image_caption__B4_prefilter__flat,joint_image_caption__B2_vector__flat,85,25,0.1066603142277056,0.08182112900239259,0.133446689488638,0.06664335747905165,0.14181677025003445,0.0,0.0,55,30,0,0.0,0.0
