config,representation,search_plan,index,scoring,queries,ndcg_at_10,mrr,recall_at_10,hit_at_10,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,vector_payload_mb,index_mb,build_s
caption__B2_vector__flat,caption,B2_vector,flat,strict,85,0.06264082602820617,0.1802149265820523,0.012443049762324332,0.3411764705882353,1.1979585129411765,1.1548150000000001,1.4879045999999998,2.09092973,24.576,24.576045,0.0027099568396806717
caption__B2_vector__flat,caption,B2_vector,flat,semantic,85,0.18100460554466297,0.44037720897376087,0.01189103032749934,0.8235294117647058,1.1979585129411765,1.1548150000000001,1.4879045999999998,2.09092973,24.576,24.576045,0.0027099568396806717
representative_frame__B2_vector__flat,representative_frame,B2_vector,flat,strict,85,0.062518077846588,0.17122446350218845,0.01105009388974014,0.35294117647058826,1.2593917847058824,1.206988,1.5292628,1.9046062099999999,24.576,24.576045,0.009620529133826494
representative_frame__B2_vector__flat,representative_frame,B2_vector,flat,semantic,85,0.18649471451087285,0.44177249925519824,0.00845612829396421,0.8,1.2593917847058824,1.206988,1.5292628,1.9046062099999999,24.576,24.576045,0.009620529133826494
joint_image_caption__B2_vector__flat,joint_image_caption,B2_vector,flat,strict,85,0.07943465832179737,0.20788876225127786,0.019473336825294167,0.4235294117647059,1.2922600788235294,1.2429175,1.5737895499999996,2.113264969999999,24.576,24.576045,0.020351090002804995
joint_image_caption__B2_vector__flat,joint_image_caption,B2_vector,flat,semantic,85,0.2181645004059473,0.5118194294609204,0.013563786153865318,0.8117647058823529,1.2922600788235294,1.2429175,1.5737895499999996,2.113264969999999,24.576,24.576045,0.020351090002804995
multi_frame__B2_vector__flat,multi_frame,B2_vector,flat,strict,85,0.10136899321906585,0.20886791749230657,0.02226125018241882,0.4823529411764706,3.7718152329411763,3.651441,4.2743643,5.4250039899999996,68.395008,68.395053,0.02730988012626767
multi_frame__B2_vector__flat,multi_frame,B2_vector,flat,semantic,85,0.3517873834577672,0.4785961539265834,0.012312108338135865,0.8,3.7718152329411763,3.651441,4.2743643,5.4250039899999996,68.395008,68.395053,0.02730988012626767
dual__B2_vector__flat,dual,B2_vector,flat,strict,85,0.08887507060940576,0.18314341486912272,0.014455518629034212,0.43529411764705883,5.099796152941177,4.9590075,5.66048505,7.2954059199999985,92.971008,92.97109800000001,0.030019836965948343
dual__B2_vector__flat,dual,B2_vector,flat,semantic,85,0.29326731491731006,0.4654747594698678,0.013376620255831506,0.8235294117647058,5.099796152941177,4.9590075,5.66048505,7.2954059199999985,92.971008,92.97109800000001,0.030019836965948343
