strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,time_of_day,13,0.0019887546063079397,0.3076923076923077,0.010021605842734965,0.5384615384615384,0.016300084790074977,0.5384615384615384,0.02722996282058762,0.6153846153846154,0.40364095440496117,0.18122988145608085
B1_bm25_only,time_of_day,13,0.0,0.0,0.0001932740626207963,0.07692307692307693,0.0007274620968088305,0.15384615384615385,0.0007274620968088305,0.15384615384615385,0.03882453645565858,0.012192849210844698
B2_vector_only,time_of_day,13,0.007919791052321172,0.15384615384615385,0.017100874614141455,0.3076923076923077,0.018220932736076435,0.38461538461538464,0.029813994275888305,0.5384615384615384,0.2299861463323002,0.08328097531341647
B3_vector_postfilter,time_of_day,13,0.008436271320501116,0.3076923076923077,0.026272157671353987,0.5384615384615384,0.03044083648896848,0.6153846153846154,0.05115616801418957,0.6923076923076923,0.42293788648627356,0.18685857838207093
B4_prefilter_vector,time_of_day,13,0.008436271320501116,0.3076923076923077,0.026272157671353987,0.5384615384615384,0.03044083648896848,0.6153846153846154,0.05115616801418957,0.6923076923076923,0.4238021907213643,0.18685857838207093
B5_hybrid,time_of_day,13,0.006993006993006993,0.07692307692307693,0.02023533275191549,0.46153846153846156,0.026209261806647493,0.6923076923076923,0.03275786767134015,0.8461538461538461,0.22661505161505158,0.12654433670487897
B0_metadata_only,hour,40,0.011681779503866974,0.325,0.031332186340414486,0.5,0.0709841269116499,0.75,0.11883712925983876,0.875,0.4449388840209808,0.18665375182552638
B1_bm25_only,hour,40,0.0,0.0,0.0009321445113478462,0.05,0.0009321445113478462,0.05,0.0009321445113478462,0.05,0.0183230130824188,0.004739418218477539
B2_vector_only,hour,40,0.00541528811690102,0.075,0.012539471123436969,0.15,0.013716427347511712,0.175,0.0161671358721639,0.225,0.11220080030074912,0.0381551910714718
B3_vector_postfilter,hour,40,0.009903703333174797,0.175,0.041485266035442524,0.5,0.06256012879537573,0.6,0.08392397761169652,0.625,0.30239971139971134,0.17563191462207658
B4_prefilter_vector,hour,40,0.009903703333174797,0.175,0.04743764698782347,0.55,0.07498104121628815,0.675,0.1369170724690804,0.725,0.32583687804515205,0.18576803073538373
B5_hybrid,hour,40,0.007377631224541316,0.175,0.03532300895489658,0.475,0.05464853115687655,0.6,0.10661286447630909,0.8,0.33703811192097194,0.16776057868698138
B0_metadata_only,sig_has_yellow,9,0.0030416838854555317,0.4444444444444444,0.010071378415150063,0.6666666666666666,0.020637084770280235,0.7777777777777778,0.021419557383738765,0.7777777777777778,0.5462962962962963,0.31596996938048205
B1_bm25_only,sig_has_yellow,9,0.0,0.0,0.0005787037037037037,0.1111111111111111,0.005249200177478866,0.3333333333333333,0.01258934968312133,0.6666666666666666,0.08667789499351038,0.026657877200264534
B2_vector_only,sig_has_yellow,9,0.0,0.0,0.003802401900227987,0.4444444444444444,0.008308460754112929,0.5555555555555556,0.010411525357177532,0.5555555555555556,0.1881012315943823,0.09435252970477086
B3_vector_postfilter,sig_has_yellow,9,0.00025025025025025025,0.1111111111111111,0.004052652150478237,0.4444444444444444,0.009343149288801462,0.5555555555555556,0.015934409352283747,0.6666666666666666,0.2551894423158791,0.13421910620857508
B4_prefilter_vector,sig_has_yellow,9,0.00025025025025025025,0.1111111111111111,0.004052652150478237,0.4444444444444444,0.009343149288801462,0.5555555555555556,0.015934409352283747,0.6666666666666666,0.2551894423158791,0.13421910620857508
B5_hybrid,sig_has_yellow,9,0.00025025025025025025,0.1111111111111111,0.0055852630580891455,0.4444444444444444,0.010836697612802388,0.6666666666666666,0.01904909177024485,0.7777777777777778,0.273916818189264,0.11904540961443938
B0_metadata_only,sig_has_pedestrian,10,0.00351558019278977,0.4,0.0165454449519532,0.8,0.017705108817499416,0.8,0.027312281572469982,0.9,0.5379761904761905,0.23267965035061736
B1_bm25_only,sig_has_pedestrian,10,0.0,0.0,0.002163020987289388,0.3,0.002163020987289388,0.3,0.005826070225786197,0.5,0.10736805555555555,0.03903780015813222
B2_vector_only,sig_has_pedestrian,10,0.0009009009009009009,0.1,0.004895472690329326,0.4,0.010062695504610964,0.6,0.015315567817045798,0.6,0.2291417352789326,0.08395464255604954
B3_vector_postfilter,sig_has_pedestrian,10,0.0009009009009009009,0.1,0.013908849350764812,0.6,0.015000441766625627,0.6,0.02202488790871883,0.7,0.291224652540442,0.12604051027555027
B4_prefilter_vector,sig_has_pedestrian,10,0.0009009009009009009,0.1,0.013908849350764812,0.6,0.015000441766625627,0.6,0.02202488790871883,0.7,0.291224652540442,0.12604051027555027
B5_hybrid,sig_has_pedestrian,10,0.0002512562814070352,0.1,0.004000799576986136,0.4,0.007174427750614309,0.6,0.0260134194327154,0.9,0.2520358243451464,0.07756931137299843
B0_metadata_only,veh_density_bin,13,0.0033242165181102535,0.38461538461538464,0.015499685151211104,0.6153846153846154,0.02315504534262067,0.7692307692307693,0.02866788455991332,0.7692307692307693,0.4940250973295394,0.2725399303745274
B1_bm25_only,veh_density_bin,13,0.0,0.0,0.0009025835802829833,0.15384615384615385,0.00356632946436785,0.38461538461538464,0.008763124631458317,0.46153846153846156,0.08888376580684272,0.032331931843696655
B2_vector_only,veh_density_bin,13,0.0,0.0,0.0023379108939734754,0.23076923076923078,0.0035973063841381967,0.3076923076923077,0.014648688175046057,0.6153846153846154,0.1306013431013431,0.05413481140619328
B3_vector_postfilter,veh_density_bin,13,0.0,0.0,0.003077555864387677,0.23076923076923078,0.007616211776669963,0.46153846153846156,0.019913311412485948,0.7692307692307693,0.15293040293040294,0.07888938924984333
B4_prefilter_vector,veh_density_bin,13,0.0,0.0,0.003077555864387677,0.23076923076923078,0.007616211776669963,0.46153846153846156,0.019913311412485948,0.7692307692307693,0.15539566514465664,0.07888938924984333
B5_hybrid,veh_density_bin,13,0.0005197505197505198,0.07692307692307693,0.00591391609664149,0.46153846153846156,0.008718382095001224,0.6153846153846154,0.019032983753524555,0.7692307692307693,0.25157012558973346,0.09830173122596324
B0_metadata_only,all,85,0.0070455383725778,0.35294117647058826,0.02166071872698542,0.5764705882352941,0.04370666610939477,0.7294117647058823,0.06995360021786366,0.8117647058823529,0.4678075600566626,0.21806686887940563
B1_bm25_only,all,85,0.0,0.0,0.0009220055649163552,0.10588235294117647,0.001905624496698993,0.17647058823529413,0.003908567733262832,0.24705882352941178,0.04996364780242845,0.016455267986256968
B2_vector_only,all,85,0.003865621380767354,0.07058823529411765,0.009852463535862563,0.24705882352941178,0.01185526240348688,0.3176470588235294,0.017312467213338335,0.4117647058823529,0.154823503668307,0.05883920074255567
B3_vector_postfilter,all,85,0.006083304961820795,0.15294117647058825,0.026076697414638764,0.47058823529411764,0.03801458282980939,0.5764705882352941,0.05464142235614568,0.6705882352941176,0.2916615026429716,0.15233384967918384
B4_prefilter_vector,all,85,0.006083304961820795,0.15294117647058825,0.028877817862818036,0.49411764705882355,0.04385971808670935,0.611764705882353,0.07957934934785575,0.7176470588235294,0.3031999853448434,0.15710378667368133
