strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B0_metadata_only,video_class,75,0.004104024507006683,0.08,0.01491745898018252,0.25333333333333335,0.028392206300194657,0.41333333333333333,0.06951093141829955,0.68,0.19448378403887315,0.07168836615906812
B1_bm25_only,video_class,75,0.000676333628057766,0.04,0.001775608324145211,0.05333333333333334,0.004680983098000174,0.12,0.012481379447596117,0.21333333333333335,0.06348880500717984,0.024223565703515963
B2_vector_only,video_class,75,0.0008361204013377926,0.02666666666666667,0.0036278982666309158,0.12,0.008158568789502028,0.18666666666666668,0.01867933257538401,0.3333333333333333,0.08333520690870198,0.03596888601149677
B3_vector_postfilter,video_class,75,0.010496863245949856,0.18666666666666668,0.037985033093630424,0.5333333333333333,0.06910358000872256,0.6666666666666666,0.09656642114234558,0.72,0.340516354016354,0.17470400050598267
B4_prefilter_vector,video_class,75,0.010496863245949856,0.18666666666666668,0.03883688494548228,0.56,0.08017924409078049,0.76,0.14232615419318426,0.9066666666666666,0.3649910995437311,0.18911434490557527
B5_hybrid,video_class,75,0.006758202982159315,0.21333333333333335,0.040520634351363126,0.6133333333333333,0.07575587688136977,0.76,0.144881061223729,0.8933333333333333,0.39030822555932354,0.19703065150941668
B0_metadata_only,video_duration_bin,30,0.0007081097197376268,0.06666666666666667,0.0026026292678743264,0.23333333333333334,0.005287656688473314,0.36666666666666664,0.010953360461715344,0.4,0.1524335156017069,0.05826186924821139
B1_bm25_only,video_duration_bin,30,0.0019215139904795078,0.1,0.004693336509443581,0.2,0.010389742115865132,0.3,0.020092828305168876,0.43333333333333335,0.15103624926604597,0.060558914258789905
B2_vector_only,video_duration_bin,30,0.0008600494207502969,0.06666666666666667,0.007052380066378203,0.3,0.018985202312247713,0.4666666666666667,0.03135361080596621,0.7333333333333333,0.2022933925787738,0.09006630211938656
B3_vector_postfilter,video_duration_bin,30,0.0034132148554892644,0.2,0.021731910866873087,0.6,0.042421779328584125,0.7666666666666667,0.07155780675944125,0.8666666666666667,0.3709009364403183,0.2214986459374274
B4_prefilter_vector,video_duration_bin,30,0.0034132148554892644,0.2,0.021731910866873087,0.6,0.042421779328584125,0.7666666666666667,0.07155780675944125,0.8666666666666667,0.3709009364403183,0.2214986459374274
B5_hybrid,video_duration_bin,30,0.0032749639963735094,0.2,0.016356579746326195,0.5,0.030926486983386518,0.6,0.05542155675796209,0.8333333333333334,0.35981850687893174,0.18834663362558599
B0_metadata_only,event_position_bin,30,0.0009909528178175843,0.1,0.003049895442917648,0.23333333333333334,0.004646701399144219,0.3,0.009093139641512529,0.5,0.1826447239665674,0.06005455138547171
B1_bm25_only,event_position_bin,30,0.0024326826213618663,0.1,0.005438826198273339,0.23333333333333334,0.010911788176395413,0.3333333333333333,0.022146873555695484,0.4666666666666667,0.16143521875088926,0.0605589142587899
B2_vector_only,event_position_bin,30,0.0009299671944087862,0.06666666666666667,0.007133678408780669,0.3,0.01681198025894279,0.5666666666666667,0.029153595754346565,0.6666666666666666,0.20563457722184936,0.08992221502874193
B3_vector_postfilter,event_position_bin,30,0.0063697972684967075,0.3333333333333333,0.021005767548563713,0.5666666666666667,0.04066445761210984,0.8666666666666667,0.07316187874018773,0.9666666666666667,0.4698168941222971,0.24378136330478364
B4_prefilter_vector,event_position_bin,30,0.0063697972684967075,0.3333333333333333,0.021005767548563713,0.5666666666666667,0.04066445761210984,0.8666666666666667,0.07316187874018773,0.9666666666666667,0.4698168941222971,0.24378136330478364
B5_hybrid,event_position_bin,30,0.004484905555673452,0.26666666666666666,0.020139472254692394,0.5333333333333333,0.03760674237468789,0.6,0.06516983415557094,0.9,0.3903706516616353,0.21126974120246275
B0_metadata_only,all,135,0.0026575830677937596,0.08148148148148149,0.009543593813610727,0.24444444444444444,0.017981083075134265,0.37777777777777777,0.04307196192199483,0.5777777777777777,0.18250837770343492,0.06611940800696742
B1_bm25_only,all,135,0.0013433401515523977,0.06666666666666667,0.0032380407817955443,0.1259259259259259,0.007334219563835774,0.2074074074074074,0.01632070010663437,0.31851851851851853,0.1047096623410855,0.040372609505859934
B2_vector_only,all,135,0.0008622928041119032,0.044444444444444446,0.005167956475941369,0.2,0.012487467676654571,0.3333333333333333,0.023823452888616176,0.4962962962962963,0.13694799712719513,0.059980162705971195
B3_vector_postfilter,all,135,0.008005593386413469,0.2222222222222222,0.030600058033225082,0.5555555555555556,0.056854485991666745,0.7333333333333333,0.0858079418567762,0.8074074074074075,0.37600193680077787,0.20045333566825949
B4_prefilter_vector,all,135,0.008005593386413469,0.2222222222222222,0.03107330906203167,0.5703703703703704,0.06300763270392117,0.7851851851851852,0.11123001577390881,0.9111111111111111,0.3895990176493207,0.20845908255692208
B5_hybrid,all,135,0.005478972668321167,0.2222222222222222,0.03062169730653921,0.5703703703703704,0.0573162047914442,0.6888888888888889,0.10728756532730123,0.8814814814814815,0.38354660498641685,0.1982651119114645
