engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w1,location==BC2000801,natural,location==BC2000801,0.08644,11455,1000.0,1.0,1.0,1.0,6.154,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0864)|location==BC2000801,control,location==BC2000801,0.08644,11455,61.0,0.9999,0.9997,1.0,7.436,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location==중동사거리,natural,location==중동사거리,0.04851,6429,1000.0,0.9961,0.9948,0.9972,5.346,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0485)|location==중동사거리,control,location==중동사거리,0.04851,6429,109.0,0.9999,0.9997,1.0,5.903,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location==원골네거리,natural,location==원골네거리,0.04678,6199,1000.0,0.9963,0.9951,0.9974,4.987,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0468)|location==원골네거리,control,location==원골네거리,0.04678,6199,111.9,1.0,1.0,1.0,6.128,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location==연구단지네거리,natural,location==연구단지네거리,0.04417,5853,1000.0,0.9943,0.9928,0.9956,5.502,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0442)|location==연구단지네거리,control,location==연구단지네거리,0.04417,5853,117.2,1.0,1.0,1.0,5.641,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location==삼정고가교,natural,location==삼정고가교,0.04187,5548,1000.0,1.0,1.0,1.0,4.817,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0419)|location==삼정고가교,control,location==삼정고가교,0.04187,5548,123.8,0.9997,0.9993,1.0,5.873,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,location==계룡대교네거리,natural,location==계룡대교네거리,0.03898,5166,1000.0,0.9951,0.9937,0.9963,4.699,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,CTRL(s=0.0390)|location==계룡대교네거리,control,location==계룡대교네거리,0.03898,5166,130.5,0.9999,0.9997,1.0,5.561,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w1,date==20200907,natural,date==20200907,0.0769,10191,1000.0,0.9951,0.9937,0.9964,6.173,40000,True,"acorn (server default, verified via live schema read-back 2026-07-12)"
