pair,kind,selectivity,replicate,method,recall_at_10
location==BC2000801,natural,0.08644,1,postfilter_hnsw_K1x,0.8821
location==BC2000801,natural,0.08644,1,postfilter_hnsw_K2x,0.9717
location==BC2000801,natural,0.08644,1,postfilter_hnsw_K4x,0.9718
location==BC2000801,natural,0.08644,1,single_stage_ivf_batch_np8,0.9817
location==BC2000801,natural,0.08644,1,single_stage_ivf_batch_np32,0.9993
location==BC2000801,natural,0.08644,2,postfilter_hnsw_K1x,0.8791
location==BC2000801,natural,0.08644,2,postfilter_hnsw_K2x,0.9733
location==BC2000801,natural,0.08644,2,postfilter_hnsw_K4x,0.9734
location==BC2000801,natural,0.08644,2,single_stage_ivf_batch_np8,0.9821
location==BC2000801,natural,0.08644,2,single_stage_ivf_batch_np32,0.9993
location==BC2000801,natural,0.08644,3,postfilter_hnsw_K1x,0.8795
location==BC2000801,natural,0.08644,3,postfilter_hnsw_K2x,0.9773
location==BC2000801,natural,0.08644,3,postfilter_hnsw_K4x,0.9773
location==BC2000801,natural,0.08644,3,single_stage_ivf_batch_np8,0.9819
location==BC2000801,natural,0.08644,3,single_stage_ivf_batch_np32,0.9994
location==BC2000801,natural,0.08644,4,postfilter_hnsw_K1x,0.8808
location==BC2000801,natural,0.08644,4,postfilter_hnsw_K2x,0.9707
location==BC2000801,natural,0.08644,4,postfilter_hnsw_K4x,0.971
location==BC2000801,natural,0.08644,4,single_stage_ivf_batch_np8,0.9795
location==BC2000801,natural,0.08644,4,single_stage_ivf_batch_np32,0.9986
location==BC2000801,natural,0.08644,5,postfilter_hnsw_K1x,0.8844
location==BC2000801,natural,0.08644,5,postfilter_hnsw_K2x,0.9693
location==BC2000801,natural,0.08644,5,postfilter_hnsw_K4x,0.9694
location==BC2000801,natural,0.08644,5,single_stage_ivf_batch_np8,0.9797
location==BC2000801,natural,0.08644,5,single_stage_ivf_batch_np32,0.9995
location==중동사거리,natural,0.04851,1,postfilter_hnsw_K1x,0.8368
location==중동사거리,natural,0.04851,1,postfilter_hnsw_K2x,0.8863
location==중동사거리,natural,0.04851,1,postfilter_hnsw_K4x,0.8863
location==중동사거리,natural,0.04851,1,single_stage_ivf_batch_np8,0.9616
location==중동사거리,natural,0.04851,1,single_stage_ivf_batch_np32,0.9979
location==중동사거리,natural,0.04851,2,postfilter_hnsw_K1x,0.8462
location==중동사거리,natural,0.04851,2,postfilter_hnsw_K2x,0.8948
location==중동사거리,natural,0.04851,2,postfilter_hnsw_K4x,0.8948
location==중동사거리,natural,0.04851,2,single_stage_ivf_batch_np8,0.9628
location==중동사거리,natural,0.04851,2,single_stage_ivf_batch_np32,0.9979
location==중동사거리,natural,0.04851,3,postfilter_hnsw_K1x,0.8535
location==중동사거리,natural,0.04851,3,postfilter_hnsw_K2x,0.8959
location==중동사거리,natural,0.04851,3,postfilter_hnsw_K4x,0.8959
location==중동사거리,natural,0.04851,3,single_stage_ivf_batch_np8,0.9642
location==중동사거리,natural,0.04851,3,single_stage_ivf_batch_np32,0.9984
location==중동사거리,natural,0.04851,4,postfilter_hnsw_K1x,0.8512
location==중동사거리,natural,0.04851,4,postfilter_hnsw_K2x,0.8914
location==중동사거리,natural,0.04851,4,postfilter_hnsw_K4x,0.8914
location==중동사거리,natural,0.04851,4,single_stage_ivf_batch_np8,0.9623
location==중동사거리,natural,0.04851,4,single_stage_ivf_batch_np32,0.998
location==중동사거리,natural,0.04851,5,postfilter_hnsw_K1x,0.8464
location==중동사거리,natural,0.04851,5,postfilter_hnsw_K2x,0.8942
location==중동사거리,natural,0.04851,5,postfilter_hnsw_K4x,0.8942
location==중동사거리,natural,0.04851,5,single_stage_ivf_batch_np8,0.9671
location==중동사거리,natural,0.04851,5,single_stage_ivf_batch_np32,0.9978
location==원골네거리,natural,0.04678,1,postfilter_hnsw_K1x,0.8432
location==원골네거리,natural,0.04678,1,postfilter_hnsw_K2x,0.8885
location==원골네거리,natural,0.04678,1,postfilter_hnsw_K4x,0.8885
location==원골네거리,natural,0.04678,1,single_stage_ivf_batch_np8,0.9639
