predicate,pair,selectivity,method,recall_at_10_newseed
CTRL(s=0.2572)|time_of_day==morning,time_of_day==morning,0.25724,postfilter_hnsw_K1x,0.8945
CTRL(s=0.2572)|time_of_day==morning,time_of_day==morning,0.25724,postfilter_hnsw_K2x,0.9995
CTRL(s=0.2572)|time_of_day==morning,time_of_day==morning,0.25724,postfilter_hnsw_K4x,0.9995
CTRL(s=0.2572)|time_of_day==morning,time_of_day==morning,0.25724,single_stage_ivf_batch_np8,0.9975
CTRL(s=0.2572)|time_of_day==morning,time_of_day==morning,0.25724,single_stage_ivf_batch_np32,1.0
CTRL(s=0.3476)|time_of_day==afternoon,time_of_day==afternoon,0.34762,postfilter_hnsw_K1x,0.9115
CTRL(s=0.3476)|time_of_day==afternoon,time_of_day==afternoon,0.34762,postfilter_hnsw_K2x,0.9995
CTRL(s=0.3476)|time_of_day==afternoon,time_of_day==afternoon,0.34762,postfilter_hnsw_K4x,0.9995
CTRL(s=0.3476)|time_of_day==afternoon,time_of_day==afternoon,0.34762,single_stage_ivf_batch_np8,0.997
CTRL(s=0.3476)|time_of_day==afternoon,time_of_day==afternoon,0.34762,single_stage_ivf_batch_np32,1.0
CTRL(s=0.2948)|time_of_day==evening,time_of_day==evening,0.29478,postfilter_hnsw_K1x,0.914
CTRL(s=0.2948)|time_of_day==evening,time_of_day==evening,0.29478,postfilter_hnsw_K2x,0.999
CTRL(s=0.2948)|time_of_day==evening,time_of_day==evening,0.29478,postfilter_hnsw_K4x,0.999
CTRL(s=0.2948)|time_of_day==evening,time_of_day==evening,0.29478,single_stage_ivf_batch_np8,0.9965
CTRL(s=0.2948)|time_of_day==evening,time_of_day==evening,0.29478,single_stage_ivf_batch_np32,1.0
CTRL(s=0.6285)|sig_has_yellow==True,sig_has_yellow==True,0.62846,postfilter_hnsw_K1x,0.9265
CTRL(s=0.6285)|sig_has_yellow==True,sig_has_yellow==True,0.62846,postfilter_hnsw_K2x,1.0
CTRL(s=0.6285)|sig_has_yellow==True,sig_has_yellow==True,0.62846,postfilter_hnsw_K4x,1.0
CTRL(s=0.6285)|sig_has_yellow==True,sig_has_yellow==True,0.62846,single_stage_ivf_batch_np8,0.9975
CTRL(s=0.6285)|sig_has_yellow==True,sig_has_yellow==True,0.62846,single_stage_ivf_batch_np32,1.0
CTRL(s=0.3910)|sig_has_pedestrian==True,sig_has_pedestrian==True,0.39096,postfilter_hnsw_K1x,0.919
CTRL(s=0.3910)|sig_has_pedestrian==True,sig_has_pedestrian==True,0.39096,postfilter_hnsw_K2x,1.0
CTRL(s=0.3910)|sig_has_pedestrian==True,sig_has_pedestrian==True,0.39096,postfilter_hnsw_K4x,1.0
CTRL(s=0.3910)|sig_has_pedestrian==True,sig_has_pedestrian==True,0.39096,single_stage_ivf_batch_np8,0.998
CTRL(s=0.3910)|sig_has_pedestrian==True,sig_has_pedestrian==True,0.39096,single_stage_ivf_batch_np32,1.0
CTRL(s=0.2712)|sig_has_yellow==False,sig_has_yellow==False,0.27117,postfilter_hnsw_K1x,0.893
CTRL(s=0.2712)|sig_has_yellow==False,sig_has_yellow==False,0.27117,postfilter_hnsw_K2x,0.9995
CTRL(s=0.2712)|sig_has_yellow==False,sig_has_yellow==False,0.27117,postfilter_hnsw_K4x,0.9995
CTRL(s=0.2712)|sig_has_yellow==False,sig_has_yellow==False,0.27117,single_stage_ivf_batch_np8,0.9955
CTRL(s=0.2712)|sig_has_yellow==False,sig_has_yellow==False,0.27117,single_stage_ivf_batch_np32,0.9995
CTRL(s=0.5087)|sig_has_pedestrian==False,sig_has_pedestrian==False,0.50868,postfilter_hnsw_K1x,0.942
CTRL(s=0.5087)|sig_has_pedestrian==False,sig_has_pedestrian==False,0.50868,postfilter_hnsw_K2x,1.0
CTRL(s=0.5087)|sig_has_pedestrian==False,sig_has_pedestrian==False,0.50868,postfilter_hnsw_K4x,1.0
CTRL(s=0.5087)|sig_has_pedestrian==False,sig_has_pedestrian==False,0.50868,single_stage_ivf_batch_np8,0.9975
