query_id,difficulty,positive_count,B0_metadata_only__hit_at_10,B1_bm25_only__hit_at_10,B2_vector_only__hit_at_10,B3_vector_postfilter__hit_at_10,B4_prefilter_vector__hit_at_10,B5_hybrid__hit_at_10,B0_metadata_only__latency_ms,B1_bm25_only__latency_ms,B2_vector_only__latency_ms,B3_vector_postfilter__latency_ms,B4_prefilter_vector__latency_ms,B5_hybrid__latency_ms,B0_metadata_only__mrr,B1_bm25_only__mrr,B2_vector_only__mrr,B3_vector_postfilter__mrr,B4_prefilter_vector__mrr,B5_hybrid__mrr,B0_metadata_only__ndcg_at_10,B1_bm25_only__ndcg_at_10,B2_vector_only__ndcg_at_10,B3_vector_postfilter__ndcg_at_10,B4_prefilter_vector__ndcg_at_10,B5_hybrid__ndcg_at_10,B0_metadata_only__recall_at_1,B1_bm25_only__recall_at_1,B2_vector_only__recall_at_1,B3_vector_postfilter__recall_at_1,B4_prefilter_vector__recall_at_1,B5_hybrid__recall_at_1,B0_metadata_only__recall_at_10,B1_bm25_only__recall_at_10,B2_vector_only__recall_at_10,B3_vector_postfilter__recall_at_10,B4_prefilter_vector__recall_at_10,B5_hybrid__recall_at_10,B0_metadata_only__recall_at_20,B1_bm25_only__recall_at_20,B2_vector_only__recall_at_20,B3_vector_postfilter__recall_at_20,B4_prefilter_vector__recall_at_20,B5_hybrid__recall_at_20,B0_metadata_only__recall_at_5,B1_bm25_only__recall_at_5,B2_vector_only__recall_at_5,B3_vector_postfilter__recall_at_5,B4_prefilter_vector__recall_at_5,B5_hybrid__recall_at_5,b4_minus_b2__recall_at_10,b4_minus_b2__recall_at_20,b4_minus_b2__mrr,b4_minus_b2__ndcg_at_10,b4_minus_b2__hit_at_10,b4_minus_b2__latency_ms,b4_minus_b3__recall_at_10,b4_minus_b3__recall_at_20,b4_minus_b3__mrr,b4_minus_b3__ndcg_at_10,b4_minus_b3__hit_at_10,b4_minus_b3__latency_ms,b5_minus_b4__recall_at_10,b5_minus_b4__recall_at_20,b5_minus_b4__mrr,b5_minus_b4__ndcg_at_10,b5_minus_b4__hit_at_10,b5_minus_b4__latency_ms,b1_minus_b2__recall_at_10,b1_minus_b2__recall_at_20,b1_minus_b2__mrr,b1_minus_b2__ndcg_at_10,b1_minus_b2__hit_at_10,b1_minus_b2__latency_ms,b2_minus_b1__recall_at_10,b2_minus_b1__recall_at_20,b2_minus_b1__mrr,b2_minus_b1__ndcg_at_10,b2_minus_b1__hit_at_10,b2_minus_b1__latency_ms,query_text,metadata_filter_text,semantic_filter_text,qrel_filter_text
vru:medium:0040,medium,269,1.0,0.0,1.0,1.0,1.0,1.0,0.08175987750291824,127.79273884370923,117.55004478618503,4.817447159439325,84.78034380823374,215.06625413894653,0.25,0.0,1.0,1.0,1.0,1.0,0.5309999066793252,0.0,0.6028078051365983,1.0,1.0,0.5370079586075638,0.0,0.0,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076,0.026022304832713755,0.0,0.022304832713754646,0.03717472118959108,0.03717472118959108,0.01858736059479554,0.05947955390334572,0.0,0.05204460966542751,0.07434944237918216,0.07434944237918216,0.03717472118959108,0.007434944237918215,0.0,0.007434944237918215,0.01858736059479554,0.01858736059479554,0.011152416356877323,0.014869888475836434,0.02230483271375465,0.0,0.39719219486340174,0.0,-32.76970097795129,0.0,0.0,0.0,0.0,0.0,79.96289664879441,-0.01858736059479554,-0.03717472118959108,0.0,-0.4629920413924362,0.0,130.2859103307128,-0.022304832713754646,-0.05204460966542751,-1.0,-0.6028078051365983,-1.0,10.242694057524204,0.022304832713754646,0.05204460966542751,1.0,0.6028078051365983,1.0,-10.242694057524204,Find videos where the accident type is car hits pedestrian on a arterials road.,"{""road_type"": ""arterials""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""road_type"": ""arterials""}"
vru:medium:0041,medium,148,1.0,1.0,1.0,1.0,1.0,1.0,0.10115187615156174,135.53600292652845,113.06155705824494,4.854483064264059,69.54704504460096,195.66619489341974,1.0,1.0,1.0,1.0,1.0,1.0,0.3589542101716347,0.8263333286520083,0.8263333286520083,1.0,1.0,1.0,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.013513513513513514,0.05405405405405406,0.05405405405405406,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02027027027027027,0.10135135135135136,0.10135135135135136,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.013513513513513514,0.02702702702702703,0.02702702702702703,0.033783783783783786,0.033783783783783786,0.033783783783783786,0.013513513513513514,0.033783783783783786,0.0,0.17366667134799174,0.0,-43.51451201364398,0.0,0.0,0.0,0.0,0.0,64.6925619803369,0.0,0.0,0.0,0.0,0.0,126.11914984881878,0.0,0.0,0.0,0.0,0.0,22.47444586828351,0.0,0.0,0.0,0.0,0.0,-22.47444586828351,Find videos where the accident type is ego-car hits a crossing pedestrian on a arterials road.,"{""road_type"": ""arterials""}","{""accident_type"": ""ego-car hits a crossing pedestrian""}","{""accident_type"": ""ego-car hits a crossing pedestrian"", ""road_type"": ""arterials""}"
vru:medium:0042,medium,101,1.0,1.0,1.0,1.0,1.0,1.0,0.032807234674692154,124.17039927095175,114.26075408235192,4.771389998495579,28.852586168795824,151.37055469676852,1.0,1.0,0.5,1.0,1.0,1.0,0.8611375561264454,0.3570764765963919,0.2336508082431053,1.0,1.0,1.0,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0891089108910891,0.0297029702970297,0.019801980198019802,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.18811881188118812,0.0594059405940594,0.039603960396039604,0.19801980198019803,0.19801980198019803,0.19801980198019803,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.04950495049504951,0.04950495049504951,0.04950495049504951,0.07920792079207921,0.15841584158415842,0.5,0.7663491917568948,0.0,-85.4081679135561,0.0,0.0,0.0,0.0,0.0,24.081196170300245,0.0,0.0,0.0,0.0,0.0,122.5179685279727,0.0099009900990099,0.0198019801980198,0.5,0.12342566835328661,0.0,9.909645188599825,-0.0099009900990099,-0.0198019801980198,-0.5,-0.12342566835328661,0.0,-9.909645188599825,Find videos where the accident type is car hits pedestrian on a intersection road.,"{""road_type"": ""intersection""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""road_type"": ""intersection""}"
vru:medium:0043,medium,61,0.0,0.0,1.0,1.0,1.0,1.0,0.03243517130613327,124.89101989194751,115.87750818580389,4.7302949242293835,28.977450914680958,153.7680239416659,0.022727272727272728,0.011363636363636364,1.0,1.0,1.0,1.0,0.0,0.0,0.3647442587311446,1.0,1.0,1.0,0.0,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.0,0.04918032786885246,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.0,0.0,0.13114754098360656,0.32786885245901637,0.32786885245901637,0.32786885245901637,0.0,0.0,0.01639344262295082,0.08196721311475409,0.08196721311475409,0.08196721311475409,0.11475409836065573,0.1967213114754098,0.0,0.6352557412688554,0.0,-86.90005727112293,0.0,0.0,0.0,0.0,0.0,24.247155990451574,0.0,0.0,0.0,0.0,0.0,124.79057302698493,-0.04918032786885246,-0.13114754098360656,-0.9886363636363636,-0.3647442587311446,-1.0,9.013511706143618,0.04918032786885246,0.13114754098360656,0.9886363636363636,0.3647442587311446,1.0,-9.013511706143618,Find videos where the accident type is car hits cyclist on a intersection road.,"{""road_type"": ""intersection""}","{""accident_type"": ""car hits cyclist""}","{""accident_type"": ""car hits cyclist"", ""road_type"": ""intersection""}"
vru:medium:0044,medium,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0239470973610878,127.36164825037122,117.98152793198824,4.733995068818331,16.2221840582788,141.05812599882483,0.5,0.5,0.2,1.0,1.0,1.0,0.642923523403608,0.642923523403608,0.16354138662029633,1.0,1.0,0.9305687780632227,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.1590909090909091,0.1590909090909091,0.045454545454545456,0.22727272727272727,0.22727272727272727,0.20454545454545456,0.1590909090909091,0.1590909090909091,0.045454545454545456,0.4090909090909091,0.45454545454545453,0.3409090909090909,0.09090909090909091,0.09090909090909091,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.18181818181818182,0.40909090909090906,0.8,0.8364586133797036,0.0,-101.75934387370944,0.0,0.045454545454545414,0.0,0.0,0.0,11.488188989460468,-0.022727272727272707,-0.11363636363636365,0.0,-0.06943122193677731,0.0,124.83594194054604,0.11363636363636363,0.11363636363636363,0.3,0.4793821367833117,0.0,9.380120318382978,-0.11363636363636363,-0.11363636363636363,-0.3,-0.4793821367833117,0.0,-9.380120318382978,Find videos where the accident type is car hits pedestrian on a T-junction road.,"{""road_type"": ""T-junction""}","{""accident_type"": ""car hits pedestrian""}","{""accident_type"": ""car hits pedestrian"", ""road_type"": ""T-junction""}"
vru:medium:0045,medium,35,0.0,0.0,1.0,1.0,1.0,1.0,0.07882388308644295,127.19456804916263,117.18179518356919,4.725877195596695,70.30499167740345,196.56200613826513,0.010638297872340425,0.01098901098901099,0.2,1.0,1.0,1.0,0.0,0.0,0.22793826167775832,1.0,1.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.08571428571428572,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.22857142857142856,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.19999999999999998,0.34285714285714286,0.8,0.7720617383222417,0.0,-46.87680350616574,0.0,0.0,0.0,0.0,0.0,65.57911448180676,0.0,0.0,0.0,0.0,0.0,126.25701446086168,-0.08571428571428572,-0.22857142857142856,-0.18901098901098903,-0.22793826167775832,-1.0,10.012772865593433,0.08571428571428572,0.22857142857142856,0.18901098901098903,0.22793826167775832,1.0,-10.012772865593433,Find videos where the accident type is car hits cyclist on a arterials road.,"{""road_type"": ""arterials""}","{""accident_type"": ""car hits cyclist""}","{""accident_type"": ""car hits cyclist"", ""road_type"": ""arterials""}"
vru:medium:0046,medium,31,0.0,1.0,1.0,1.0,1.0,1.0,0.08359411731362343,132.05490168184042,118.9322667196393,4.856916144490242,70.43596683070064,207.55854109302163,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7827392871477701,0.7827392871477701,1.0,1.0,1.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.25806451612903225,0.25806451612903225,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.0,0.45161290322580644,0.45161290322580644,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.0,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.06451612903225806,0.1935483870967742,0.0,0.21726071285222992,0.0,-48.496299888938665,0.0,0.0,0.0,0.0,0.0,65.5790506862104,0.0,0.0,0.0,0.0,0.0,137.122574262321,0.0,0.0,0.0,0.0,0.0,13.122634962201118,0.0,0.0,0.0,0.0,0.0,-13.122634962201118,Find videos where the accident type is ego-car hits a pedestrian on a arterials road.,"{""road_type"": ""arterials""}","{""accident_type"": ""ego-car hits a pedestrian""}","{""accident_type"": ""ego-car hits a pedestrian"", ""road_type"": ""arterials""}"
vru:medium:0047,medium,28,0.0,1.0,1.0,1.0,1.0,1.0,0.03531109541654587,131.93603279069066,120.2847152017057,4.8480588011443615,30.18483892083168,159.18356319889426,0.014285714285714285,1.0,1.0,1.0,1.0,1.0,0.0,0.4576752747037683,0.4576752747037683,1.0,1.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.0,0.21428571428571427,0.21428571428571427,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.2142857142857143,0.5,0.0,0.5423247252962318,0.0,-90.09987628087401,0.0,0.0,0.0,0.0,0.0,25.33678011968732,0.0,0.0,0.0,0.0,0.0,128.99872427806258,0.0,0.0,0.0,0.0,0.0,11.651317588984966,0.0,0.0,0.0,0.0,0.0,-11.651317588984966,Find videos where the accident type is ego-car hits a crossing cyclist on a intersection road.,"{""road_type"": ""intersection""}","{""accident_type"": ""ego-car hits a crossing cyclist""}","{""accident_type"": ""ego-car hits a crossing cyclist"", ""road_type"": ""intersection""}"
vru:medium:0048,medium,24,0.0,1.0,1.0,1.0,1.0,1.0,0.08237781003117561,132.35588697716594,121.17561278864741,4.948449786752462,73.15302733331919,202.62794801965356,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.41244971364289096,0.41244971364289096,1.0,1.0,1.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.125,0.125,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.5,0.5,0.587550286357109,0.0,-48.022585455328226,0.0,0.0,0.0,0.0,0.0,68.20457754656672,0.0,0.0,0.0,0.0,0.0,129.47492068633437,0.0,0.0,0.0,0.0,0.0,11.180274188518524,0.0,0.0,0.0,0.0,0.0,-11.180274188518524,Find videos where the accident type is ego-car hits a crossing cyclist on a arterials road.,"{""road_type"": ""arterials""}","{""accident_type"": ""ego-car hits a crossing cyclist""}","{""accident_type"": ""ego-car hits a crossing cyclist"", ""road_type"": ""arterials""}"
vru:medium:0049,medium,21,0.0,0.0,1.0,1.0,1.0,1.0,0.022507738322019577,129.98027121648192,120.38845010101795,4.7874790616333485,16.734305769205093,144.31971032172441,0.09090909090909091,0.09090909090909091,0.5,1.0,1.0,1.0,0.0,0.0,0.4073174795910971,1.0,1.0,0.800693766409882,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.19047619047619047,0.47619047619047616,0.47619047619047616,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.9523809523809523,0.9523809523809523,0.5714285714285714,0.0,0.0,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.7619047619047619,0.5,0.5926825204089029,0.0,-103.65414433181286,0.0,0.0,0.0,0.0,0.0,11.946826707571745,-0.14285714285714285,-0.38095238095238093,0.0,-0.199306233590118,0.0,127.58540455251932,-0.19047619047619047,0.14285714285714285,-0.40909090909090906,-0.4073174795910971,-1.0,9.591821115463972,0.19047619047619047,-0.14285714285714285,0.40909090909090906,0.4073174795910971,1.0,-9.591821115463972,Find videos where the accident type is car hits cyclist on a T-junction road.,"{""road_type"": ""T-junction""}","{""accident_type"": ""car hits cyclist""}","{""accident_type"": ""car hits cyclist"", ""road_type"": ""T-junction""}"
