corpus,config,kind,recall_at_10,p50_ms,p95_ms,build_s,index_mb,pareto_front
A_sinnaedoro_131K,"hnsw(M=16,efSearch=16)",hnsw,0.984,0.02,0.024,34.89,287.0,True
A_sinnaedoro_131K,"hnsw(M=32,efSearch=16)",hnsw,0.982,0.023,0.029,36.51,304.0,False
A_sinnaedoro_131K,"hnsw(M=16,efSearch=64)",hnsw,0.997,0.041,0.055,34.76,287.0,True
A_sinnaedoro_131K,"hnsw(M=32,efSearch=64)",hnsw,0.997,0.044,0.062,36.49,304.0,False
A_sinnaedoro_131K,"ivfflat(nlist=1024,nprobe=1)",ivfflat,0.749,0.065,0.074,13.94,271.0,False
A_sinnaedoro_131K,"ivfflat(nlist=256,nprobe=1)",ivfflat,0.888,0.049,0.092,2.24,270.0,False
A_sinnaedoro_131K,"ivfflat(nlist=1024,nprobe=8)",ivfflat,0.994,0.113,0.144,13.9,271.0,False
A_sinnaedoro_131K,"ivfpq(nlist=1024,nprobe=8,m=32)",ivfpq,0.334,0.129,0.153,25.94,8.0,False
A_sinnaedoro_131K,"ivfpq(nlist=1024,nprobe=8,m=64)",ivfpq,0.481,0.135,0.158,26.07,12.0,False
A_sinnaedoro_131K,"hnsw(M=16,efSearch=256)",hnsw,0.998,0.132,0.198,34.85,287.0,True
A_sinnaedoro_131K,"hnsw(M=32,efSearch=256)",hnsw,0.998,0.149,0.25,36.6,304.0,False
A_sinnaedoro_131K,"ivfpq(nlist=1024,nprobe=32,m=32)",ivfpq,0.334,0.222,0.257,25.58,8.0,False
A_sinnaedoro_131K,"ivfflat(nlist=4096,nprobe=1)",ivfflat,0.572,0.249,0.298,53.98,278.0,False
A_sinnaedoro_131K,"ivfpq(nlist=1024,nprobe=32,m=64)",ivfpq,0.482,0.296,0.345,26.3,12.0,False
A_sinnaedoro_131K,"ivfflat(nlist=4096,nprobe=8)",ivfflat,0.98,0.263,0.36,53.63,278.0,False
A_sinnaedoro_131K,"ivfflat(nlist=4096,nprobe=32)",ivfflat,0.997,0.356,0.455,53.88,278.0,False
A_sinnaedoro_131K,"ivfflat(nlist=1024,nprobe=32)",ivfflat,0.998,0.373,0.494,13.93,271.0,False
A_sinnaedoro_131K,"ivfflat(nlist=256,nprobe=8)",ivfflat,0.997,0.295,0.618,2.21,270.0,False
A_sinnaedoro_131K,"ivfflat(nlist=4096,nprobe=128)",ivfflat,0.998,0.758,0.906,53.84,278.0,False
A_sinnaedoro_131K,"ivfflat(nlist=1024,nprobe=128)",ivfflat,0.999,1.818,2.036,13.95,271.0,True
A_sinnaedoro_131K,"ivfflat(nlist=256,nprobe=32)",ivfflat,0.999,1.818,2.188,2.29,270.0,False
A_sinnaedoro_131K,"ivfflat(nlist=256,nprobe=128)",ivfflat,0.999,7.132,7.955,2.26,270.0,False
A_sinnaedoro_131K,flat(),flat,1.0,13.426,14.373,0.11,268.0,True
B_522visual_142K,"hnsw(M=16,efSearch=16)",hnsw,0.9852,0.0227,0.0279,44.326,311.31,True
B_522visual_142K,"hnsw(M=32,efSearch=16)",hnsw,0.99,0.0251,0.0329,47.34,329.47,True
B_522visual_142K,"hnsw(M=16,efSearch=64)",hnsw,0.9994,0.0435,0.0607,44.343,311.31,True
B_522visual_142K,"hnsw(M=32,efSearch=64)",hnsw,0.9992,0.0473,0.0693,47.067,329.47,False
B_522visual_142K,"ivfflat(nlist=1024,nprobe=1)",ivfflat,0.8015,0.0645,0.0786,15.228,294.06,False
B_522visual_142K,"ivfflat(nlist=256,nprobe=1)",ivfflat,0.9208,0.0532,0.08,2.364,292.48,False
B_522visual_142K,"ivfpq(nlist=1024,nprobe=8,m=32)",ivfpq,0.3489,0.1311,0.1573,27.09,8.31,False
B_522visual_142K,"ivfflat(nlist=1024,nprobe=8)",ivfflat,0.9971,0.116,0.1649,15.105,294.06,False
B_522visual_142K,"ivfpq(nlist=1024,nprobe=8,m=64)",ivfpq,0.4938,0.1343,0.172,27.886,12.85,False
B_522visual_142K,"hnsw(M=16,efSearch=256)",hnsw,0.9997,0.1424,0.2484,44.276,311.31,True
B_522visual_142K,"ivfpq(nlist=1024,nprobe=32,m=32)",ivfpq,0.3489,0.24,0.2762,26.944,8.31,False
