config,evidence_recall@3,rel
flat_exact,0.5162,1.0
hnsw_M32_ef16,0.5232,1.0136
hnsw_M32_ef8,0.5243,1.0158
hnsw_M32_ef4,0.5288,1.0245
hnsw_M32_ef2,0.5413,1.0488
hnsw_M32_ef1,0.5433,1.0526
hnsw_M8_ef16,0.518,1.0036
hnsw_M8_ef8,0.5028,0.9742
hnsw_M8_ef4,0.5303,1.0274
hnsw_M8_ef2,0.5427,1.0513
hnsw_M8_ef1,0.5255,1.0181
ivfpq_nlist16_m8_nprobe8,0.5393,1.0449
ivfpq_nlist16_m8_nprobe4,0.528,1.0229
ivfpq_nlist16_m8_nprobe2,0.5273,1.0216
ivfpq_nlist16_m8_nprobe1,0.5128,0.9935
ivfpq_nlist16_m4_nprobe8,0.5397,1.0455
ivfpq_nlist16_m4_nprobe4,0.5352,1.0368
ivfpq_nlist16_m4_nprobe2,0.543,1.052
ivfpq_nlist16_m4_nprobe1,0.5295,1.0258
ivfpq_nlist25_m8_nprobe8,0.5133,0.9945
ivfpq_nlist25_m8_nprobe4,0.5345,1.0355
ivfpq_nlist25_m8_nprobe2,0.532,1.0307
ivfpq_nlist25_m8_nprobe1,0.5043,0.9771
ivfpq_nlist25_m4_nprobe8,0.5292,1.0252
ivfpq_nlist25_m4_nprobe4,0.532,1.0307
ivfpq_nlist25_m4_nprobe2,0.5335,1.0336
ivfpq_nlist25_m4_nprobe1,0.5187,1.0048
