config,moment_recall@3,rel
flat_exact,0.1203,1.0
hnsw_M32_ef16,0.1203,1.0
hnsw_M32_ef8,0.1203,1.0
hnsw_M32_ef4,0.1203,1.0
hnsw_M32_ef2,0.1196,0.9944
hnsw_M32_ef1,0.117,0.972
hnsw_M8_ef16,0.1186,0.986
hnsw_M8_ef8,0.1166,0.9692
hnsw_M8_ef4,0.1122,0.9328
hnsw_M8_ef2,0.1052,0.8739
hnsw_M8_ef1,0.0971,0.8067
ivfflat_nlist1024_nprobe8,0.12,0.9972
ivfflat_nlist1024_nprobe4,0.119,0.9888
ivfflat_nlist1024_nprobe2,0.119,0.9888
ivfflat_nlist1024_nprobe1,0.1116,0.9272
ivfpq_nlist1024_m64_nprobe8,0.0782,0.6499
ivfpq_nlist1024_m64_nprobe1,0.0755,0.6275
ivfpq_nlist1024_m32_nprobe8,0.0543,0.451
ivfpq_nlist1024_m32_nprobe1,0.0519,0.4314
