corpus,predicate,kind,selectivity,kappa_offline,gt_cluster_med_rank,deficit_postfilter_K2x,deficit_singlestage_np32
A,location==BC2000801,natural,0.08644,5.5,1000.0,0.8462,0.8031
A,location==중동사거리,natural,0.04851,5.5,1000.0,0.8489,0.9311999999999999
A,location==원골네거리,natural,0.04678,5.5,1000.0,0.7582,0.728
A,location==연구단지네거리,natural,0.04417,5.5,1000.0,0.7572,0.7439
A,location==삼정고가교,natural,0.04187,5.5,1000.0,0.8157,0.9419000000000001
A,location==계룡대교네거리,natural,0.03898,5.5,1000.0,0.7051000000000001,0.7083999999999999
A,date==20200907,natural,0.0769,5.5,1000.0,0.7781,0.6504000000000001
A,date==20200908,natural,0.06477,8.5,1000.0,0.6613,0.6148
A,date==20200909,natural,0.06105,9.0,1000.0,0.6372,0.621
A,date==20200915,natural,0.04934,12.8,1000.0,0.6374,0.6332
A,hour==01,natural,0.02637,5.5,1000.0,0.5716,0.6367
A,hour==02,natural,0.06573,5.5,1000.0,0.7652,0.5378
A,hour==05,natural,0.05311,7.0,1000.0,0.6356999999999999,0.44090000000000007
A,hour==06,natural,0.18291,5.5,233.0,0.6191,0.05280000000000007
A,hour==07,natural,0.0474,9.0,1000.0,0.5729,0.49139999999999995
A,hour==08,natural,0.02978,9.8,1000.0,0.47870000000000007,0.4978
A,hour==11,natural,0.05464,5.5,1000.0,0.6974,0.5593000000000001
A,hour==12,natural,0.15815,5.5,175.4,0.54,0.26139999999999997
A,hour==13,natural,0.04921,10.2,1000.0,0.5629,0.47
A,hour==14,natural,0.0449,8.5,1000.0,0.5406,0.4657
A,hour==16,natural,0.03445,5.5,1000.0,0.5793999999999999,0.4408000000000001
A,hour==17,natural,0.12603,5.5,218.4,0.5654,0.05460000000000009
A,hour==18,natural,0.04525,9.8,768.0,0.5414,0.40549999999999997
A,hour==19,natural,0.08022,5.5,1000.0,0.7646,0.49439999999999995
A,"hour in [06,18] (daytime)",composite,0.7737,5.5,4.5,0.15159999999999996,0.00019999999999997797
A,"hour in [11,14] (midday)",composite,0.3069,5.5,80.8,0.5190999999999999,0.2396999999999999
A,"hour in [17,19] (evening peak)",composite,0.2515,5.5,123.5,0.5687,0.024499999999999966
A,location in top-5,composite,0.26776,5.5,830.5,0.6880000000000001,0.387
A,date in 2020-09,composite,0.32112,5.5,1000.0,0.6950000000000001,0.5945
B,time_of_day==morning,natural,0.25724,5.5,42.5,0.33199999999999996,0.005499999999999949
B,time_of_day==afternoon,natural,0.34762,5.5,42.0,0.38049999999999995,0.0014999999999999458
B,time_of_day==evening,natural,0.29478,5.5,621.8,0.6595,0.2825000000000001
B,sig_has_yellow==True,natural,0.62846,6.5,8.1,0.08050000000000002,0.0004999999999999449
B,sig_has_pedestrian==True,natural,0.39096,10.2,15.3,0.1140000000000001,0.0010000000000000009
B,sig_has_yellow==False,natural,0.27117,8.8,23.6,0.276,0.02200000000000002
B,sig_has_pedestrian==False,natural,0.50868,7.5,9.3,0.09599999999999997,0.0004999999999999449
B,veh_density_bin==low,natural,0.29764,6.5,34.2,0.4285,0.10699999999999998
B,veh_density_bin==mid,natural,0.27268,8.0,30.9,0.38,0.034499999999999975
B,veh_density_bin==high,natural,0.32931,5.5,58.1,0.48750000000000004,0.020000000000000018
B,hour==6,natural,0.06983,10.0,188.9,0.3214999999999999,0.025500000000000078
B,hour==7,natural,0.07033,9.5,107.6,0.3185,0.17800000000000005
B,hour==8,natural,0.07039,10.2,104.8,0.32499999999999996,0.18400000000000005
B,hour==9,natural,0.0467,10.8,162.6,0.2915,0.1875
B,hour==13,natural,0.02319,44.2,278.2,0.1795,0.1995
B,hour==14,natural,0.11434,8.5,104.7,0.4015000000000001,0.1705000000000001
B,hour==15,natural,0.11256,10.0,117.7,0.41500000000000004,0.17149999999999999
B,hour==16,natural,0.01943,43.5,311.7,0.17049999999999998,0.19899999999999995
B,hour==17,natural,0.07809,9.5,121.6,0.23550000000000004,0.014000000000000012
B,hour==18,natural,0.10885,10.5,715.0,0.6435,0.3035
B,hour==19,natural,0.11023,11.5,689.5,0.642,0.2995
B,hour==20,natural,0.0757,14.5,748.3,0.6165,0.3145
B,"hour in [11,14] (midday)",composite,0.13754,6.5,95.5,0.4115000000000001,0.16600000000000004
B,"hour in [8,18] (working)",composite,0.57356,5.5,8.6,0.11750000000000005,0.0
B,"time_of_day in {morning,evening}",composite,0.55202,5.5,8.2,0.22299999999999998,0.0
