pair,kind,selectivity,replicate,method,recall_at_10
time_of_day==morning,natural,0.25724,1,postfilter_hnsw_K1x,0.8895
time_of_day==morning,natural,0.25724,1,postfilter_hnsw_K2x,0.999
time_of_day==morning,natural,0.25724,1,postfilter_hnsw_K4x,0.999
time_of_day==morning,natural,0.25724,1,single_stage_ivf_batch_np8,0.9975
time_of_day==morning,natural,0.25724,1,single_stage_ivf_batch_np32,1.0
time_of_day==morning,natural,0.25724,2,postfilter_hnsw_K1x,0.8755
time_of_day==morning,natural,0.25724,2,postfilter_hnsw_K2x,0.9985
time_of_day==morning,natural,0.25724,2,postfilter_hnsw_K4x,0.9985
time_of_day==morning,natural,0.25724,2,single_stage_ivf_batch_np8,0.9965
time_of_day==morning,natural,0.25724,2,single_stage_ivf_batch_np32,1.0
time_of_day==morning,natural,0.25724,3,postfilter_hnsw_K1x,0.9005
time_of_day==morning,natural,0.25724,3,postfilter_hnsw_K2x,0.999
time_of_day==morning,natural,0.25724,3,postfilter_hnsw_K4x,0.999
time_of_day==morning,natural,0.25724,3,single_stage_ivf_batch_np8,0.996
time_of_day==morning,natural,0.25724,3,single_stage_ivf_batch_np32,0.9995
time_of_day==morning,natural,0.25724,4,postfilter_hnsw_K1x,0.905
time_of_day==morning,natural,0.25724,4,postfilter_hnsw_K2x,0.999
time_of_day==morning,natural,0.25724,4,postfilter_hnsw_K4x,0.999
time_of_day==morning,natural,0.25724,4,single_stage_ivf_batch_np8,0.9955
time_of_day==morning,natural,0.25724,4,single_stage_ivf_batch_np32,1.0
time_of_day==morning,natural,0.25724,5,postfilter_hnsw_K1x,0.878
time_of_day==morning,natural,0.25724,5,postfilter_hnsw_K2x,0.9965
time_of_day==morning,natural,0.25724,5,postfilter_hnsw_K4x,0.9965
time_of_day==morning,natural,0.25724,5,single_stage_ivf_batch_np8,0.9955
time_of_day==morning,natural,0.25724,5,single_stage_ivf_batch_np32,1.0
time_of_day==afternoon,natural,0.34762,1,postfilter_hnsw_K1x,0.9125
time_of_day==afternoon,natural,0.34762,1,postfilter_hnsw_K2x,0.9995
time_of_day==afternoon,natural,0.34762,1,postfilter_hnsw_K4x,0.9995
time_of_day==afternoon,natural,0.34762,1,single_stage_ivf_batch_np8,0.9955
time_of_day==afternoon,natural,0.34762,1,single_stage_ivf_batch_np32,1.0
time_of_day==afternoon,natural,0.34762,2,postfilter_hnsw_K1x,0.909
time_of_day==afternoon,natural,0.34762,2,postfilter_hnsw_K2x,0.9995
time_of_day==afternoon,natural,0.34762,2,postfilter_hnsw_K4x,0.9995
time_of_day==afternoon,natural,0.34762,2,single_stage_ivf_batch_np8,0.997
time_of_day==afternoon,natural,0.34762,2,single_stage_ivf_batch_np32,1.0
time_of_day==afternoon,natural,0.34762,3,postfilter_hnsw_K1x,0.9065
time_of_day==afternoon,natural,0.34762,3,postfilter_hnsw_K2x,0.9995
time_of_day==afternoon,natural,0.34762,3,postfilter_hnsw_K4x,1.0
time_of_day==afternoon,natural,0.34762,3,single_stage_ivf_batch_np8,0.998
time_of_day==afternoon,natural,0.34762,3,single_stage_ivf_batch_np32,1.0
time_of_day==afternoon,natural,0.34762,4,postfilter_hnsw_K1x,0.9035
time_of_day==afternoon,natural,0.34762,4,postfilter_hnsw_K2x,0.9995
time_of_day==afternoon,natural,0.34762,4,postfilter_hnsw_K4x,0.9995
time_of_day==afternoon,natural,0.34762,4,single_stage_ivf_batch_np8,0.998
time_of_day==afternoon,natural,0.34762,4,single_stage_ivf_batch_np32,1.0
time_of_day==afternoon,natural,0.34762,5,postfilter_hnsw_K1x,0.9015
time_of_day==afternoon,natural,0.34762,5,postfilter_hnsw_K2x,0.9995
time_of_day==afternoon,natural,0.34762,5,postfilter_hnsw_K4x,1.0
time_of_day==afternoon,natural,0.34762,5,single_stage_ivf_batch_np8,0.9975
time_of_day==afternoon,natural,0.34762,5,single_stage_ivf_batch_np32,1.0
time_of_day==evening,natural,0.29478,1,postfilter_hnsw_K1x,0.903
time_of_day==evening,natural,0.29478,1,postfilter_hnsw_K2x,1.0
time_of_day==evening,natural,0.29478,1,postfilter_hnsw_K4x,1.0
time_of_day==evening,natural,0.29478,1,single_stage_ivf_batch_np8,0.9965
time_of_day==evening,natural,0.29478,1,single_stage_ivf_batch_np32,1.0
time_of_day==evening,natural,0.29478,2,postfilter_hnsw_K1x,0.89
time_of_day==evening,natural,0.29478,2,postfilter_hnsw_K2x,0.9995
time_of_day==evening,natural,0.29478,2,postfilter_hnsw_K4x,0.9995
time_of_day==evening,natural,0.29478,2,single_stage_ivf_batch_np8,0.9975
time_of_day==evening,natural,0.29478,2,single_stage_ivf_batch_np32,1.0
time_of_day==evening,natural,0.29478,3,postfilter_hnsw_K1x,0.9165
time_of_day==evening,natural,0.29478,3,postfilter_hnsw_K2x,0.9995
time_of_day==evening,natural,0.29478,3,postfilter_hnsw_K4x,0.9995
time_of_day==evening,natural,0.29478,3,single_stage_ivf_batch_np8,0.999
time_of_day==evening,natural,0.29478,3,single_stage_ivf_batch_np32,1.0
time_of_day==evening,natural,0.29478,4,postfilter_hnsw_K1x,0.906
time_of_day==evening,natural,0.29478,4,postfilter_hnsw_K2x,0.9995
time_of_day==evening,natural,0.29478,4,postfilter_hnsw_K4x,0.9995
time_of_day==evening,natural,0.29478,4,single_stage_ivf_batch_np8,0.996
time_of_day==evening,natural,0.29478,4,single_stage_ivf_batch_np32,0.999
time_of_day==evening,natural,0.29478,5,postfilter_hnsw_K1x,0.889
time_of_day==evening,natural,0.29478,5,postfilter_hnsw_K2x,0.9995
time_of_day==evening,natural,0.29478,5,postfilter_hnsw_K4x,0.9995
time_of_day==evening,natural,0.29478,5,single_stage_ivf_batch_np8,0.995
time_of_day==evening,natural,0.29478,5,single_stage_ivf_batch_np32,1.0
sig_has_yellow==True,natural,0.62846,1,postfilter_hnsw_K1x,0.932
sig_has_yellow==True,natural,0.62846,1,postfilter_hnsw_K2x,1.0
sig_has_yellow==True,natural,0.62846,1,postfilter_hnsw_K4x,1.0
sig_has_yellow==True,natural,0.62846,1,single_stage_ivf_batch_np8,0.998
sig_has_yellow==True,natural,0.62846,1,single_stage_ivf_batch_np32,1.0
sig_has_yellow==True,natural,0.62846,2,postfilter_hnsw_K1x,0.9355
sig_has_yellow==True,natural,0.62846,2,postfilter_hnsw_K2x,1.0
sig_has_yellow==True,natural,0.62846,2,postfilter_hnsw_K4x,1.0
sig_has_yellow==True,natural,0.62846,2,single_stage_ivf_batch_np8,0.9985
sig_has_yellow==True,natural,0.62846,2,single_stage_ivf_batch_np32,1.0
sig_has_yellow==True,natural,0.62846,3,postfilter_hnsw_K1x,0.9345
sig_has_yellow==True,natural,0.62846,3,postfilter_hnsw_K2x,1.0
sig_has_yellow==True,natural,0.62846,3,postfilter_hnsw_K4x,1.0
sig_has_yellow==True,natural,0.62846,3,single_stage_ivf_batch_np8,0.9985
sig_has_yellow==True,natural,0.62846,3,single_stage_ivf_batch_np32,1.0
sig_has_yellow==True,natural,0.62846,4,postfilter_hnsw_K1x,0.9215
sig_has_yellow==True,natural,0.62846,4,postfilter_hnsw_K2x,1.0
sig_has_yellow==True,natural,0.62846,4,postfilter_hnsw_K4x,1.0
sig_has_yellow==True,natural,0.62846,4,single_stage_ivf_batch_np8,0.999
sig_has_yellow==True,natural,0.62846,4,single_stage_ivf_batch_np32,1.0
sig_has_yellow==True,natural,0.62846,5,postfilter_hnsw_K1x,0.9325
sig_has_yellow==True,natural,0.62846,5,postfilter_hnsw_K2x,1.0
sig_has_yellow==True,natural,0.62846,5,postfilter_hnsw_K4x,1.0
sig_has_yellow==True,natural,0.62846,5,single_stage_ivf_batch_np8,0.9975
sig_has_yellow==True,natural,0.62846,5,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==True,natural,0.39096,1,postfilter_hnsw_K1x,0.9105
sig_has_pedestrian==True,natural,0.39096,1,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==True,natural,0.39096,1,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==True,natural,0.39096,1,single_stage_ivf_batch_np8,0.9975
sig_has_pedestrian==True,natural,0.39096,1,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==True,natural,0.39096,2,postfilter_hnsw_K1x,0.9065
sig_has_pedestrian==True,natural,0.39096,2,postfilter_hnsw_K2x,0.9995
sig_has_pedestrian==True,natural,0.39096,2,postfilter_hnsw_K4x,0.9995
sig_has_pedestrian==True,natural,0.39096,2,single_stage_ivf_batch_np8,0.9975
sig_has_pedestrian==True,natural,0.39096,2,single_stage_ivf_batch_np32,1.0
sig_has_pedestrian==True,natural,0.39096,3,postfilter_hnsw_K1x,0.9115
sig_has_pedestrian==True,natural,0.39096,3,postfilter_hnsw_K2x,1.0
sig_has_pedestrian==True,natural,0.39096,3,postfilter_hnsw_K4x,1.0
sig_has_pedestrian==True,natural,0.39096,3,single_stage_ivf_batch_np8,0.997
sig_has_pedestrian==True,natural,0.39096,3,single_stage_ivf_batch_np32,0.9995
sig_has_pedestrian==True,natural,0.39096,4,postfilter_hnsw_K1x,0.9025
sig_has_pedestrian==True,natural,0.39096,4,postfilter_hnsw_K2x,0.9995
sig_has_pedestrian==True,natural,0.39096,4,postfilter_hnsw_K4x,0.9995
sig_has_pedestrian==True,natural,0.39096,4,single_stage_ivf_batch_np8,0.9985
