predicate,pair,selectivity,method,recall_at_10_newseed
CTRL(s=0.0864)|location==BC2000801,location==BC2000801,0.08644,postfilter_hnsw_K1x,0.8766
CTRL(s=0.0864)|location==BC2000801,location==BC2000801,0.08644,postfilter_hnsw_K2x,0.9677
CTRL(s=0.0864)|location==BC2000801,location==BC2000801,0.08644,postfilter_hnsw_K4x,0.9678
CTRL(s=0.0864)|location==BC2000801,location==BC2000801,0.08644,single_stage_ivf_batch_np8,0.9817
CTRL(s=0.0864)|location==BC2000801,location==BC2000801,0.08644,single_stage_ivf_batch_np32,0.9998
CTRL(s=0.0485)|location==중동사거리,location==중동사거리,0.04851,postfilter_hnsw_K1x,0.8495
CTRL(s=0.0485)|location==중동사거리,location==중동사거리,0.04851,postfilter_hnsw_K2x,0.8962
CTRL(s=0.0485)|location==중동사거리,location==중동사거리,0.04851,postfilter_hnsw_K4x,0.8962
CTRL(s=0.0485)|location==중동사거리,location==중동사거리,0.04851,single_stage_ivf_batch_np8,0.9632
CTRL(s=0.0485)|location==중동사거리,location==중동사거리,0.04851,single_stage_ivf_batch_np32,0.9984
CTRL(s=0.0468)|location==원골네거리,location==원골네거리,0.04678,postfilter_hnsw_K1x,0.8407
CTRL(s=0.0468)|location==원골네거리,location==원골네거리,0.04678,postfilter_hnsw_K2x,0.8835
CTRL(s=0.0468)|location==원골네거리,location==원골네거리,0.04678,postfilter_hnsw_K4x,0.8835
CTRL(s=0.0468)|location==원골네거리,location==원골네거리,0.04678,single_stage_ivf_batch_np8,0.9612
CTRL(s=0.0468)|location==원골네거리,location==원골네거리,0.04678,single_stage_ivf_batch_np32,0.9985
CTRL(s=0.0442)|location==연구단지네거리,location==연구단지네거리,0.04417,postfilter_hnsw_K1x,0.8354
CTRL(s=0.0442)|location==연구단지네거리,location==연구단지네거리,0.04417,postfilter_hnsw_K2x,0.8719
CTRL(s=0.0442)|location==연구단지네거리,location==연구단지네거리,0.04417,postfilter_hnsw_K4x,0.8719
CTRL(s=0.0442)|location==연구단지네거리,location==연구단지네거리,0.04417,single_stage_ivf_batch_np8,0.9576
CTRL(s=0.0442)|location==연구단지네거리,location==연구단지네거리,0.04417,single_stage_ivf_batch_np32,0.9972
CTRL(s=0.0419)|location==삼정고가교,location==삼정고가교,0.04187,postfilter_hnsw_K1x,0.8321
CTRL(s=0.0419)|location==삼정고가교,location==삼정고가교,0.04187,postfilter_hnsw_K2x,0.868
CTRL(s=0.0419)|location==삼정고가교,location==삼정고가교,0.04187,postfilter_hnsw_K4x,0.868
CTRL(s=0.0419)|location==삼정고가교,location==삼정고가교,0.04187,single_stage_ivf_batch_np8,0.9521
CTRL(s=0.0419)|location==삼정고가교,location==삼정고가교,0.04187,single_stage_ivf_batch_np32,0.9975
CTRL(s=0.0390)|location==계룡대교네거리,location==계룡대교네거리,0.03898,postfilter_hnsw_K1x,0.8233
CTRL(s=0.0390)|location==계룡대교네거리,location==계룡대교네거리,0.03898,postfilter_hnsw_K2x,0.8471
CTRL(s=0.0390)|location==계룡대교네거리,location==계룡대교네거리,0.03898,postfilter_hnsw_K4x,0.8471
CTRL(s=0.0390)|location==계룡대교네거리,location==계룡대교네거리,0.03898,single_stage_ivf_batch_np8,0.9543
CTRL(s=0.0390)|location==계룡대교네거리,location==계룡대교네거리,0.03898,single_stage_ivf_batch_np32,0.9982
CTRL(s=0.0769)|date==20200907,date==20200907,0.0769,postfilter_hnsw_K1x,0.8735
CTRL(s=0.0769)|date==20200907,date==20200907,0.0769,postfilter_hnsw_K2x,0.9623
CTRL(s=0.0769)|date==20200907,date==20200907,0.0769,postfilter_hnsw_K4x,0.9629
CTRL(s=0.0769)|date==20200907,date==20200907,0.0769,single_stage_ivf_batch_np8,0.9785
CTRL(s=0.0769)|date==20200907,date==20200907,0.0769,single_stage_ivf_batch_np32,0.9988
CTRL(s=0.0648)|date==20200908,date==20200908,0.06477,postfilter_hnsw_K1x,0.8709
CTRL(s=0.0648)|date==20200908,date==20200908,0.06477,postfilter_hnsw_K2x,0.9421
CTRL(s=0.0648)|date==20200908,date==20200908,0.06477,postfilter_hnsw_K4x,0.9421
CTRL(s=0.0648)|date==20200908,date==20200908,0.06477,single_stage_ivf_batch_np8,0.9741
CTRL(s=0.0648)|date==20200908,date==20200908,0.06477,single_stage_ivf_batch_np32,0.9987
CTRL(s=0.0610)|date==20200909,date==20200909,0.06105,postfilter_hnsw_K1x,0.8738
CTRL(s=0.0610)|date==20200909,date==20200909,0.06105,postfilter_hnsw_K2x,0.936
CTRL(s=0.0610)|date==20200909,date==20200909,0.06105,postfilter_hnsw_K4x,0.936
CTRL(s=0.0610)|date==20200909,date==20200909,0.06105,single_stage_ivf_batch_np8,0.9753
CTRL(s=0.0610)|date==20200909,date==20200909,0.06105,single_stage_ivf_batch_np32,0.9986
CTRL(s=0.0493)|date==20200915,date==20200915,0.04934,postfilter_hnsw_K1x,0.8468
CTRL(s=0.0493)|date==20200915,date==20200915,0.04934,postfilter_hnsw_K2x,0.894
CTRL(s=0.0493)|date==20200915,date==20200915,0.04934,postfilter_hnsw_K4x,0.894
CTRL(s=0.0493)|date==20200915,date==20200915,0.04934,single_stage_ivf_batch_np8,0.9644
CTRL(s=0.0493)|date==20200915,date==20200915,0.04934,single_stage_ivf_batch_np32,0.9983
CTRL(s=0.0264)|hour==01,hour==01,0.02637,postfilter_hnsw_K1x,0.7198
CTRL(s=0.0264)|hour==01,hour==01,0.02637,postfilter_hnsw_K2x,0.7239
CTRL(s=0.0264)|hour==01,hour==01,0.02637,postfilter_hnsw_K4x,0.7239
CTRL(s=0.0264)|hour==01,hour==01,0.02637,single_stage_ivf_batch_np8,0.9203
CTRL(s=0.0264)|hour==01,hour==01,0.02637,single_stage_ivf_batch_np32,0.9956
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K1x,0.8836
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K2x,0.9494
CTRL(s=0.0657)|hour==02,hour==02,0.06573,postfilter_hnsw_K4x,0.9494
CTRL(s=0.0657)|hour==02,hour==02,0.06573,single_stage_ivf_batch_np8,0.9751
